W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.8,50.0,20.0,0.0,0,1.112,0.3,0.985777429225432,17352,0.2008333333333349,84,73,0.8690476190476191
1.8,50.0,20.0,0.0,16,1.112,0.3,0.940060588271225,18934,0.2191435185185176,81,80,0.9876543209876544
1.8,50.0,20.0,1.0,12,1.112,0.3,0.7046272004460756,28453,0.3293171296296306,85,73,0.8588235294117647
1.8,50.0,20.0,2.0,8,1.112,0.3,0.7099887373208695,28861,0.334039351851851,81,66,0.8148148148148148
1.8,50.0,20.0,3.0,4,1.112,0.3,0.919398487446568,15165,0.1755208333333325,70,55,0.7857142857142857
1.8,50.0,20.0,4.0,0,1.112,0.3,0.7307720434939511,28853,0.3339467592592602,87,66,0.7586206896551724
1.8,50.0,20.0,4.0,16,1.112,0.3,0.7273597814184255,26056,0.3015740740740721,86,44,0.5116279069767442
1.8,50.0,20.0,5.0,12,1.112,0.3,0.6102495224496465,32148,0.3720833333333335,85,33,0.388235294117647
1.8,50.0,20.0,6.0,8,1.112,0.3,0.5087408384640243,42815,0.4955439814814859,83,37,0.4457831325301205
1.8,50.0,20.0,8.0,4,1.112,0.3,0.679884139501755,21124,0.2444907407407433,68,22,0.3235294117647059
1.8,50.0,20.0,10.0,0,1.112,0.3,0.8285143334454825,13166,0.1523842592592586,77,22,0.2857142857142857
1.8,50.0,20.0,10.0,16,1.112,0.3,0.7136703854345878,24716,0.286064814814814,83,25,0.3012048192771084
1.8,50.0,20.0,0.0,12,1.39,0.3,1.0085605642516098,16457,0.1904745370370331,79,84,1.0632911392405062
1.8,50.0,20.0,1.0,8,1.39,0.3,0.9742334636948924,17287,0.2000810185185163,77,80,1.0389610389610389
1.8,50.0,20.0,2.0,4,1.39,0.3,0.9793740270345528,14758,0.170810185185185,77,56,0.7272727272727273
1.8,50.0,20.0,3.0,0,1.39,0.3,0.728141421989501,46160,0.5342592592592625,86,58,0.6744186046511628
1.8,50.0,20.0,3.0,16,1.39,0.3,0.7488798364405432,26103,0.3021180555555565,88,42,0.4772727272727273
1.8,50.0,20.0,4.0,12,1.39,0.3,0.7089423262348206,26032,0.3012962962962943,78,30,0.3846153846153846
1.8,50.0,20.0,5.0,8,1.39,0.3,0.8105856086403264,36722,0.4250231481481478,84,44,0.5238095238095238
1.8,50.0,20.0,6.0,4,1.39,0.3,0.773936523274099,44520,0.5152777777777746,64,45,0.703125
1.8,50.0,20.0,8.0,0,1.39,0.3,0.7065864207685413,51510,0.5961805555555527,80,18,0.225
1.8,50.0,20.0,8.0,16,1.39,0.3,0.8295441744841788,25350,0.2934027777777748,93,22,0.2365591397849462
1.8,50.0,20.0,10.0,12,1.39,0.3,1.0192764811291206,53265,0.6164930555555503,82,14,0.1707317073170731
1.8,50.0,20.0,0.0,8,1.668,0.3,0.9474276534053866,20388,0.2359722222222224,91,82,0.9010989010989012
1.8,50.0,20.0,1.0,4,1.668,0.3,0.9827824485404842,14398,0.1666435185185225,70,62,0.8857142857142857
1.8,50.0,20.0,2.0,0,1.668,0.3,0.82727363286361,19536,0.2261111111111129,82,42,0.5121951219512195
1.8,50.0,20.0,2.0,16,1.668,0.3,0.8186139669520968,33644,0.389398148148147,88,70,0.7954545454545454
1.8,50.0,20.0,3.0,12,1.668,0.3,0.610402222704091,29665,0.3433449074074053,79,49,0.620253164556962
1.8,50.0,20.0,4.0,8,1.668,0.3,0.9100652851648424,20520,0.2374999999999989,83,51,0.6144578313253012
1.8,50.0,20.0,5.0,4,1.668,0.3,1.0395075267098497,13190,0.1526620370370367,63,47,0.746031746031746
1.8,50.0,20.0,6.0,0,1.668,0.3,1.1842983404448115,36429,0.4216319444444479,81,28,0.345679012345679
1.8,50.0,20.0,6.0,16,1.668,0.3,0.7929624014910547,22967,0.2658217592592611,97,52,0.5360824742268041
1.8,50.0,20.0,8.0,12,1.668,0.3,0.6579870478211814,31679,0.3666550925925955,82,29,0.3536585365853658
1.8,50.0,20.0,10.0,8,1.668,0.3,0.8590648907722687,37980,0.4395833333333278,75,23,0.3066666666666666
2.1,50.0,30.0,0.0,4,1.112,0.3,1.1310679721944443,19554,0.1939880952380997,105,108,1.0285714285714285
2.1,50.0,30.0,1.0,0,1.112,0.3,0.8858099285725713,30376,0.3013492063492067,123,124,1.008130081300813
2.1,50.0,30.0,1.0,16,1.112,0.3,0.9912516786141464,25008,0.2480952380952331,117,117,1.0
2.1,50.0,30.0,2.0,12,1.112,0.3,0.7599598403604603,35705,0.3542162698412694,126,100,0.7936507936507936
2.1,50.0,30.0,3.0,8,1.112,0.3,0.8818596007822327,27314,0.2709722222222113,132,77,0.5833333333333334
2.1,50.0,30.0,4.0,4,1.112,0.3,0.6684346737499162,40502,0.4018055555555588,113,68,0.6017699115044248
2.1,50.0,30.0,5.0,0,1.112,0.3,1.111917812696303,17884,0.1774206349206352,124,75,0.6048387096774194
2.1,50.0,30.0,5.0,16,1.112,0.3,1.0126074224678645,17958,0.1781547619047604,128,35,0.2734375
2.1,50.0,30.0,6.0,12,1.112,0.3,0.8073543350866417,33753,0.334851190476191,131,91,0.6946564885496184
2.1,50.0,30.0,8.0,8,1.112,0.3,0.7061510691338683,29900,0.2966269841269785,124,33,0.2661290322580645
2.1,50.0,30.0,10.0,4,1.112,0.3,1.07140140027987,14884,0.1476587301587284,101,28,0.2772277227722772
2.1,50.0,30.0,0.0,0,1.39,0.3,1.0821805982604031,22297,0.2212003968253991,118,123,1.0423728813559323
2.1,50.0,30.0,0.0,16,1.39,0.3,1.072803532928782,22124,0.2194841269841282,116,114,0.9827586206896552
2.1,50.0,30.0,1.0,12,1.39,0.3,0.9566783796011604,28151,0.2792757936508032,126,121,0.9603174603174603
2.1,50.0,30.0,2.0,8,1.39,0.3,1.0994546459208143,17332,0.1719444444444403,127,42,0.3307086614173228
2.1,50.0,30.0,3.0,4,1.39,0.3,1.0375688957828904,21629,0.2145734126984119,112,104,0.9285714285714286
2.1,50.0,30.0,4.0,0,1.39,0.3,0.9236312507594108,23794,0.2360515873015877,127,97,0.7637795275590551
2.1,50.0,30.0,4.0,16,1.39,0.3,0.5744486794110675,46694,0.4632341269841314,122,80,0.6557377049180327
2.1,50.0,30.0,5.0,12,1.39,0.3,0.4744820957421175,125515,1.245188492063506,128,50,0.390625
2.1,50.0,30.0,6.0,8,1.39,0.3,0.7780953397837792,30570,0.3032738095237957,135,56,0.4148148148148148
2.1,50.0,30.0,8.0,4,1.39,0.3,1.0426447818635556,17758,0.1761706349206297,107,55,0.514018691588785
2.1,50.0,30.0,10.0,0,1.39,0.3,0.883407683580256,16174,0.1604563492063466,104,9,0.0865384615384615
2.1,50.0,30.0,10.0,16,1.39,0.3,0.7482093195370731,22312,0.2213492063492071,99,20,0.202020202020202
2.1,50.0,30.0,0.0,12,1.668,0.3,1.0411515536185467,23168,0.2298412698412661,117,123,1.051282051282051
2.1,50.0,30.0,1.0,8,1.668,0.3,1.0388807152526915,24188,0.2399603174603149,121,116,0.9586776859504132
2.1,50.0,30.0,2.0,4,1.668,0.3,1.0719042316090737,21270,0.2110119047619071,112,99,0.8839285714285714
2.1,50.0,30.0,3.0,0,1.668,0.3,0.7854933155084114,32604,0.3234523809523786,125,92,0.736
2.1,50.0,30.0,3.0,16,1.668,0.3,0.8956881313089949,27923,0.277013888888891,119,104,0.8739495798319328
2.1,50.0,30.0,4.0,12,1.668,0.3,0.5864565027812805,48682,0.4829563492063453,128,80,0.625
2.1,50.0,30.0,5.0,8,1.668,0.3,0.5668349126246061,71357,0.707906746031758,132,53,0.4015151515151515
2.1,50.0,30.0,6.0,4,1.668,0.3,0.714779554851928,36888,0.3659523809523888,111,93,0.8378378378378378
2.1,50.0,30.0,8.0,0,1.668,0.3,1.1866181003341545,11455,0.1136408730158725,117,21,0.1794871794871795
2.1,50.0,30.0,8.0,16,1.668,0.3,1.0951226227274349,13713,0.1360416666666654,119,20,0.1680672268907563
2.1,50.0,30.0,10.0,12,1.668,0.3,0.895299847810039,18420,0.1827380952380946,106,13,0.1226415094339622
2.4,50.0,40.0,0.0,8,1.112,0.3,1.1315578414509897,29710,0.2578993055555566,165,164,0.993939393939394
2.4,50.0,40.0,1.0,4,1.112,0.3,1.053066840128483,28841,0.2503559027777791,147,135,0.9183673469387756
2.4,50.0,40.0,2.0,0,1.112,0.3,0.9193993560976412,36676,0.3183680555555555,158,144,0.9113924050632912
2.4,50.0,40.0,2.0,16,1.112,0.3,0.89680382659284,37501,0.3255295138888869,151,153,1.0132450331125828
2.4,50.0,40.0,3.0,12,1.112,0.3,0.90490898449818,31516,0.2735763888888867,160,77,0.48125
2.4,50.0,40.0,4.0,8,1.112,0.3,1.0975328439847605,20386,0.176961805555554,177,50,0.2824858757062147
2.4,50.0,40.0,5.0,4,1.112,0.3,0.8393811512109179,33833,0.2936892361111102,147,110,0.7482993197278912
2.4,50.0,40.0,6.0,0,1.112,0.3,0.5506708472176212,58999,0.5121440972222263,157,102,0.6496815286624203
2.4,50.0,40.0,6.0,16,1.112,0.3,0.8116990927520668,34078,0.2958159722222215,166,71,0.4277108433734939
2.4,50.0,40.0,8.0,12,1.112,0.3,0.5469727734851015,34507,0.2995399305555531,136,16,0.1176470588235294
2.4,50.0,40.0,10.0,8,1.112,0.3,0.698691217129621,37457,0.3251475694444454,164,50,0.3048780487804878
2.4,50.0,40.0,0.0,4,1.39,0.3,1.1478156687208223,26428,0.2294097222222232,149,151,1.0134228187919463
2.4,50.0,40.0,1.0,0,1.39,0.3,1.1275976574291058,28848,0.2504166666666659,170,161,0.9470588235294116
2.4,50.0,40.0,1.0,16,1.39,0.3,1.0563901553362631,29704,0.257847222222222,148,149,1.0067567567567568
2.4,50.0,40.0,2.0,12,1.39,0.3,0.986924142119627,24733,0.2146961805555548,160,72,0.45
2.4,50.0,40.0,3.0,8,1.39,0.3,1.0219952568906323,30656,0.2661111111111117,174,93,0.5344827586206896
2.4,50.0,40.0,4.0,4,1.39,0.3,0.8476190394839187,34791,0.3020052083333327,143,101,0.7062937062937062
2.4,50.0,40.0,5.0,0,1.39,0.3,0.8183553570837093,35371,0.3070399305555555,164,93,0.5670731707317073
2.4,50.0,40.0,5.0,16,1.39,0.3,0.8187152181522829,37778,0.327934027777777,163,88,0.5398773006134969
2.4,50.0,40.0,6.0,12,1.39,0.3,0.9270540940510024,32145,0.2790364583333321,166,110,0.6626506024096386
2.4,50.0,40.0,8.0,8,1.39,0.3,0.916261218143992,22247,0.1931163194444451,152,19,0.125
2.4,50.0,40.0,10.0,4,1.39,0.3,0.5418895535662963,53755,0.4666232638888883,150,43,0.2866666666666667
2.4,50.0,40.0,0.0,0,1.668,0.3,1.127068023797707,29784,0.2585416666666658,157,168,1.070063694267516
2.4,50.0,40.0,0.0,16,1.668,0.3,1.1248987060317297,27906,0.2422395833333328,150,149,0.9933333333333332
2.4,50.0,40.0,1.0,12,1.668,0.3,0.9944891199206932,33955,0.2947482638888896,159,159,1.0
2.4,50.0,40.0,2.0,8,1.668,0.3,1.061611518424235,30967,0.2688107638888896,173,155,0.8959537572254336
2.4,50.0,40.0,3.0,4,1.668,0.3,1.0411076254038865,21929,0.1903559027777776,145,66,0.4551724137931034
2.4,50.0,40.0,4.0,0,1.668,0.3,0.8951237876784787,35151,0.3051302083333323,162,138,0.8518518518518519
2.4,50.0,40.0,4.0,16,1.668,0.3,0.952851429355045,32468,0.2818402777777788,157,107,0.6815286624203821
2.4,50.0,40.0,5.0,12,1.668,0.3,1.0188556300572458,30629,0.2658767361111124,161,122,0.7577639751552795
2.4,50.0,40.0,6.0,8,1.668,0.3,0.8651502291919799,36289,0.3150086805555553,176,118,0.6704545454545454
2.4,50.0,40.0,8.0,4,1.668,0.3,0.551249235012191,47700,0.4140624999999997,150,34,0.2266666666666666
2.4,50.0,40.0,10.0,0,1.668,0.3,0.2410042313728342,117072,1.0162500000000003,133,32,0.2406015037593984
2.4,50.0,40.0,10.0,16,1.668,0.3,0.7329945918755545,30339,0.2633593749999988,131,36,0.2748091603053435
2.7,50.0,30.0,0.0,12,1.112,0.3,1.150526914875337,20629,0.159174382716046,117,123,1.051282051282051
2.7,50.0,30.0,1.0,8,1.112,0.3,1.1409939913079046,21576,0.1664814814814804,121,114,0.9421487603305784
2.7,50.0,30.0,2.0,4,1.112,0.3,1.0702283005117288,21889,0.1688966049382701,112,109,0.9732142857142856
2.7,50.0,30.0,3.0,0,1.112,0.3,1.0140052510806596,25292,0.1951543209876536,125,121,0.968
2.7,50.0,30.0,3.0,16,1.112,0.3,0.8869259291196064,29382,0.2267129629629616,119,115,0.9663865546218487
2.7,50.0,30.0,4.0,12,1.112,0.3,0.8744508855170813,31393,0.2422299382716054,128,113,0.8828125
2.7,50.0,30.0,5.0,8,1.112,0.3,0.8141882881819743,34769,0.2682793209876556,132,113,0.8560606060606061
2.7,50.0,30.0,6.0,4,1.112,0.3,0.6387308317872663,44543,0.3436959876543148,111,109,0.981981981981982
2.7,50.0,30.0,8.0,0,1.112,0.3,1.19000442488325,11276,0.0870061728395045,117,17,0.1452991452991453
2.7,50.0,30.0,8.0,16,1.112,0.3,0.5239648517735518,67169,0.5182793209876573,129,80,0.6201550387596899
2.7,50.0,30.0,10.0,12,1.112,0.3,0.6125128504924232,42155,0.3252700617283987,121,90,0.743801652892562
2.7,50.0,30.0,0.0,8,1.39,0.3,1.1336946993699006,23607,0.1821527777777776,131,125,0.9541984732824428
2.7,50.0,30.0,1.0,4,1.39,0.3,1.117813225781747,19687,0.151905864197529,110,96,0.8727272727272727
2.7,50.0,30.0,2.0,0,1.39,0.3,1.0972108818259871,22726,0.1753549382716034,123,119,0.967479674796748
2.7,50.0,30.0,2.0,16,1.39,0.3,1.1337863486899966,21151,0.1632021604938261,118,117,0.9915254237288136
2.7,50.0,30.0,3.0,12,1.39,0.3,0.9525259068648148,26036,0.2008950617283943,125,108,0.864
2.7,50.0,30.0,4.0,8,1.39,0.3,0.8763449857807486,33795,0.2607638888888896,135,129,0.9555555555555556
2.7,50.0,30.0,5.0,4,1.39,0.3,1.0938441209664855,20847,0.1608564814814808,110,110,1.0
2.7,50.0,30.0,6.0,0,1.39,0.3,0.9179957033033226,26460,0.2041666666666662,121,104,0.859504132231405
2.7,50.0,30.0,6.0,16,1.39,0.3,0.8379630068989156,27614,0.2130709876543213,134,76,0.5671641791044776
2.7,50.0,30.0,8.0,12,1.39,0.3,1.1028908546690117,15253,0.117692901234565,126,34,0.2698412698412698
2.7,50.0,30.0,10.0,8,1.39,0.3,1.1260215229138275,17599,0.1357947530864194,123,52,0.4227642276422764
2.7,50.0,30.0,0.0,4,1.668,0.3,1.1815139821742586,18631,0.143757716049381,105,107,1.019047619047619
2.7,50.0,30.0,1.0,0,1.668,0.3,1.0947620078172378,22975,0.1772762345679011,123,127,1.032520325203252
2.7,50.0,30.0,1.0,16,1.668,0.3,1.1545320063768725,20943,0.1615972222222211,117,119,1.017094017094017
2.7,50.0,30.0,2.0,12,1.668,0.3,1.0987214822051512,23273,0.179575617283949,126,119,0.9444444444444444
2.7,50.0,30.0,3.0,8,1.668,0.3,0.9865317094011448,28117,0.2169521604938266,132,120,0.9090909090909092
2.7,50.0,30.0,4.0,4,1.668,0.3,0.9387590928454213,25375,0.1957947530864203,113,113,1.0
2.7,50.0,30.0,5.0,0,1.668,0.3,1.0657917744661958,21328,0.1645679012345671,124,105,0.8467741935483871
2.7,50.0,30.0,5.0,16,1.668,0.3,1.051309390433971,23727,0.183078703703705,128,106,0.828125
2.7,50.0,30.0,6.0,12,1.668,0.3,1.0386463997704596,26714,0.2061265432098763,131,131,1.0
2.7,50.0,30.0,8.0,8,1.668,0.3,1.070022664021142,19136,0.1476543209876505,124,58,0.4677419354838709
2.7,50.0,30.0,10.0,4,1.668,0.3,1.0548998837648869,17486,0.1349228395061731,101,63,0.6237623762376238
3.0,50.0,40.0,0.0,0,1.112,0.3,1.1615863807023203,28173,0.195645833333332,157,167,1.0636942675159236
3.0,50.0,40.0,0.0,16,1.112,0.3,1.1640260750325682,26722,0.1855694444444443,150,155,1.0333333333333334
3.0,50.0,40.0,1.0,12,1.112,0.3,0.9298239488530105,37346,0.2593472222222229,159,161,1.0125786163522013
3.0,50.0,40.0,2.0,8,1.112,0.3,1.0067425472974794,34520,0.2397222222222219,173,154,0.8901734104046243
3.0,50.0,40.0,3.0,4,1.112,0.3,1.0485318145184008,24304,0.1687777777777775,145,102,0.7034482758620689
3.0,50.0,40.0,4.0,0,1.112,0.3,1.0738474897799006,28736,0.1995555555555547,162,133,0.8209876543209876
3.0,50.0,40.0,4.0,16,1.112,0.3,0.9034674329832652,33478,0.2324861111111099,157,120,0.7643312101910829
3.0,50.0,40.0,5.0,12,1.112,0.3,0.9678202478155696,34534,0.2398194444444436,161,135,0.8385093167701864
3.0,50.0,40.0,6.0,8,1.112,0.3,0.8364116991552057,41593,0.2888402777777739,176,123,0.6988636363636364
3.0,50.0,40.0,8.0,4,1.112,0.3,1.0429669856981256,26882,0.1866805555555558,150,95,0.6333333333333333
3.0,50.0,40.0,10.0,0,1.112,0.3,1.151008533600197,22321,0.1550069444444435,155,101,0.6516129032258065
3.0,50.0,40.0,10.0,16,1.112,0.3,1.0308990913044596,21104,0.1465555555555561,148,46,0.3108108108108108
3.0,50.0,40.0,0.0,12,1.39,0.3,1.1075161817278318,29635,0.2057986111111088,158,154,0.9746835443037974
3.0,50.0,40.0,1.0,8,1.39,0.3,1.1514040821063536,28211,0.195909722222221,164,151,0.9207317073170732
3.0,50.0,40.0,2.0,4,1.39,0.3,1.1262337860909657,26302,0.182652777777778,148,144,0.972972972972973
3.0,50.0,40.0,3.0,0,1.39,0.3,1.0391450694432822,30673,0.2130069444444434,160,153,0.95625
3.0,50.0,40.0,3.0,16,1.39,0.3,1.0075019131756555,34119,0.2369374999999994,158,160,1.0126582278481011
3.0,50.0,40.0,4.0,12,1.39,0.3,0.8442753233540735,41843,0.2905763888888895,160,148,0.925
3.0,50.0,40.0,5.0,8,1.39,0.3,0.9662067674430868,34978,0.242902777777778,174,133,0.764367816091954
3.0,50.0,40.0,6.0,4,1.39,0.3,0.8409595776870894,35729,0.248118055555555,148,119,0.8040540540540541
