W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.5,50.0,10.0,1.0,0,1.39,0.3,0.511608623937194,35346,0.4909166666666725,44,14,0.3181818181818182
1.5,50.0,10.0,1.0,16,1.39,0.3,0.4178069032274808,16930,0.2351388888888862,43,18,0.4186046511627907
1.5,50.0,10.0,2.0,2,1.39,0.3,0.7238926655710674,70129,0.9740138888888744,36,0,0.0
1.5,50.0,10.0,2.0,18,1.39,0.3,1.1064582176408255,4150,0.0576388888888887,41,12,0.2926829268292683
1.5,50.0,10.0,3.0,4,1.39,0.3,0.5716871880242576,62285,0.8650694444444537,36,2,0.0555555555555555
1.5,50.0,10.0,3.0,20,1.39,0.3,0.8042933611923644,38780,0.5386111111110985,46,0,0.0
1.5,50.0,10.0,4.0,6,1.39,0.3,0.5656553964653953,67416,0.9363333333333228,41,9,0.2195121951219512
1.5,50.0,10.0,4.0,22,1.39,0.3,0.7265753825299865,70088,0.9734444444444372,35,0,0.0
1.5,50.0,10.0,5.0,8,1.39,0.3,0.671784666317534,18116,0.2516111111111106,44,3,0.0681818181818181
1.5,50.0,10.0,5.0,24,1.39,0.3,0.4681265666709671,34828,0.4837222222222211,42,5,0.119047619047619
1.5,50.0,10.0,6.0,10,1.39,0.3,0.8173100700228122,67387,0.9359305555555338,39,0,0.0
1.5,50.0,10.0,6.0,26,1.39,0.3,0.6836789411427876,90260,1.2536111111111168,48,0,0.0
1.5,50.0,10.0,8.0,12,1.39,0.3,0.3832968278841095,51514,0.71547222222223,48,0,0.0
1.5,50.0,10.0,8.0,28,1.39,0.3,0.6949032685342108,69897,0.9707916666666442,43,1,0.0232558139534883
1.5,50.0,10.0,10.0,14,1.39,0.3,0.8755407080487185,61388,0.8526111111111166,39,2,0.0512820512820512
1.5,50.0,20.0,1.0,0,1.39,0.3,0.5826762671213821,62726,0.8711944444444388,82,11,0.1341463414634146
1.5,50.0,20.0,1.0,16,1.39,0.3,0.4587074544593464,43466,0.6036944444444621,89,29,0.3258426966292135
1.5,50.0,20.0,2.0,2,1.39,0.3,0.7045649228776815,134687,1.8706527777777664,80,0,0.0
1.5,50.0,20.0,2.0,18,1.39,0.3,0.6182447758722632,90236,1.2532777777778012,84,0,0.0
1.5,50.0,20.0,3.0,4,1.39,0.3,0.4639397092652731,91251,1.267374999999968,70,6,0.0857142857142857
1.5,50.0,20.0,3.0,20,1.39,0.3,0.7505422033520004,145974,2.027416666666675,66,2,0.0303030303030303
1.5,50.0,20.0,4.0,6,1.39,0.3,0.3644576314082304,49016,0.6807777777777724,84,5,0.0595238095238095
1.5,50.0,20.0,4.0,22,1.39,0.3,0.7432772381057701,129147,1.7937083333333452,74,0,0.0
1.5,50.0,20.0,5.0,8,1.39,0.3,1.1815715231343906,72077,1.0010694444444157,84,3,0.0357142857142857
1.5,50.0,20.0,5.0,24,1.39,0.3,1.085737112205424,2130,0.0295833333333334,83,0,0.0
1.5,50.0,20.0,6.0,10,1.39,0.3,0.6435750533668566,94920,1.318333333333321,70,0,0.0
1.5,50.0,20.0,6.0,26,1.39,0.3,0.6640417262876297,140940,1.9575000000000389,76,0,0.0
1.5,50.0,20.0,8.0,12,1.39,0.3,0.6433731940991905,114046,1.583972222222271,60,0,0.0
1.5,50.0,20.0,8.0,28,1.39,0.3,0.7471730716114323,129603,1.80004166666668,72,1,0.0138888888888888
1.5,50.0,20.0,10.0,14,1.39,0.3,0.6893666301775397,125458,1.7424722222222189,57,0,0.0
1.8,50.0,10.0,1.0,0,1.39,0.3,1.0492760477875729,8917,0.1032060185185172,44,46,1.0454545454545454
1.8,50.0,10.0,1.0,16,1.39,0.3,1.0838289281268527,7781,0.0900578703703706,43,43,1.0
1.8,50.0,10.0,2.0,2,1.39,0.3,0.990159553887092,7703,0.0891550925925926,36,28,0.7777777777777778
1.8,50.0,10.0,2.0,18,1.39,0.3,1.0025680380795077,7829,0.0906134259259255,41,39,0.951219512195122
1.8,50.0,10.0,3.0,4,1.39,0.3,0.8852602864647005,11665,0.1350115740740747,36,26,0.7222222222222222
1.8,50.0,10.0,3.0,20,1.39,0.3,1.1098440984178295,7461,0.0863541666666654,46,34,0.7391304347826086
1.8,50.0,10.0,4.0,6,1.39,0.3,0.6875227673011958,16680,0.1930555555555539,41,16,0.3902439024390244
1.8,50.0,10.0,4.0,22,1.39,0.3,1.001815064193955,7341,0.0849652777777774,35,27,0.7714285714285715
1.8,50.0,10.0,5.0,8,1.39,0.3,1.068830104794856,8222,0.0951620370370365,44,35,0.7954545454545454
1.8,50.0,10.0,5.0,24,1.39,0.3,0.7302020364928864,12297,0.1423263888888872,42,15,0.3571428571428571
1.8,50.0,10.0,6.0,10,1.39,0.3,0.9996739264940492,35227,0.4077199074074043,39,14,0.358974358974359
1.8,50.0,10.0,6.0,26,1.39,0.3,1.0697794690716411,9185,0.1063078703703695,48,41,0.8541666666666666
1.8,50.0,10.0,8.0,12,1.39,0.3,0.8712801586997122,15455,0.1788773148148153,48,8,0.1666666666666666
1.8,50.0,10.0,8.0,28,1.39,0.3,0.8471270496711333,9270,0.1072916666666673,43,25,0.5813953488372093
1.8,50.0,10.0,10.0,14,1.39,0.3,1.185621499535282,4322,0.0500231481481485,39,4,0.1025641025641025
1.8,50.0,20.0,1.0,0,1.39,0.3,0.7082325270153096,32407,0.3750810185185168,82,73,0.8902439024390244
1.8,50.0,20.0,1.0,16,1.39,0.3,0.9053210636406004,21350,0.247106481481482,89,86,0.9662921348314608
1.8,50.0,20.0,2.0,2,1.39,0.3,0.7277548942846247,44296,0.512685185185181,80,61,0.7625
1.8,50.0,20.0,2.0,18,1.39,0.3,0.882003134560821,18544,0.2146296296296312,88,51,0.5795454545454546
1.8,50.0,20.0,3.0,4,1.39,0.3,0.9022714731949304,37845,0.4380208333333356,70,56,0.8
1.8,50.0,20.0,3.0,20,1.39,0.3,0.8303626008409052,16253,0.1881134259259278,87,8,0.0919540229885057
1.8,50.0,20.0,4.0,6,1.39,0.3,1.1069806600193912,8889,0.1028819444444452,87,8,0.0919540229885057
1.8,50.0,20.0,4.0,22,1.39,0.3,0.9872239398765076,14761,0.1708449074074067,74,55,0.7432432432432432
1.8,50.0,20.0,5.0,8,1.39,0.3,0.8105856086403264,36722,0.4250231481481478,84,44,0.5238095238095238
1.8,50.0,20.0,5.0,24,1.39,0.3,0.7554880717759627,23576,0.2728703703703753,83,38,0.4578313253012048
1.8,50.0,20.0,6.0,10,1.39,0.3,1.1251714243797228,43484,0.5032870370370398,76,37,0.4868421052631579
1.8,50.0,20.0,6.0,26,1.39,0.3,0.6387534810869256,42359,0.4902662037036977,99,44,0.4444444444444444
1.8,50.0,20.0,8.0,12,1.39,0.3,0.7464837878199883,24314,0.2814120370370374,82,12,0.1463414634146341
1.8,50.0,20.0,8.0,28,1.39,0.3,0.9473322300456366,29889,0.3459375000000003,82,23,0.2804878048780488
1.8,50.0,20.0,10.0,14,1.39,0.3,0.9778719949770804,14046,0.1625694444444445,91,31,0.3406593406593406
1.8,50.0,30.0,1.0,0,1.39,0.3,0.6529074852789557,46003,0.5324421296296277,123,106,0.8617886178861789
1.8,50.0,30.0,1.0,16,1.39,0.3,0.8514923281976075,30425,0.3521412037037001,117,112,0.9572649572649572
1.8,50.0,30.0,2.0,2,1.39,0.3,0.3813575474733259,50602,0.5856712962962963,115,18,0.1565217391304348
1.8,50.0,30.0,2.0,18,1.39,0.3,0.5073581828657406,34728,0.4019444444444442,118,49,0.4152542372881356
