W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
2.5,50.0,50.0,6.0,0,1.39,0.48,1.0952697807435547,36715,0.3059583333333338,200,198,0.99,bpentry15|qp50
2.5,50.0,50.0,6.0,12,1.39,0.48,1.121793901624619,35944,0.2995333333333285,200,198,0.99,bpentry15|qp50
2.5,50.0,50.0,6.0,24,1.39,0.48,1.1859210954366686,33813,0.2817749999999972,200,200,1.0,bpentry15|qp50
2.5,50.0,50.0,6.0,6,1.39,0.48,1.143431508032448,34734,0.2894499999999959,200,199,0.995,bpentry20|qp50
2.5,50.0,50.0,6.0,18,1.39,0.48,1.058691857313365,36892,0.3074333333333339,200,194,0.97,bpentry20|qp50
2.5,50.0,50.0,6.0,0,1.39,0.48,1.0684172016483984,35671,0.2972583333333319,200,185,0.925,bpentry30|qp50
2.5,50.0,50.0,6.0,12,1.39,0.48,1.151904925445641,34941,0.2911749999999951,200,196,0.98,bpentry30|qp50
2.5,50.0,50.0,6.0,24,1.39,0.48,1.1477319617088064,34995,0.2916249999999959,200,201,1.005,bpentry30|qp50
2.5,50.0,50.0,6.0,6,1.39,0.48,0.6749631826208599,30013,0.2501083333333313,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,6.0,18,1.39,0.48,0.6810755951177235,29658,0.2471499999999973,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,6.0,0,1.39,0.48,1.1294656681252526,35652,0.2971000000000032,200,202,1.01,bpmiddle0|qp50
2.5,50.0,50.0,6.0,12,1.39,0.48,1.158998712262046,34945,0.2912083333333298,200,200,1.0,bpmiddle0|qp50
2.5,50.0,50.0,6.0,24,1.39,0.48,1.1543606359080512,34722,0.2893499999999946,200,201,1.005,bpmiddle0|qp50
2.5,50.0,50.0,6.0,1,1.39,0.48,1.112507355798504,36026,0.3002166666666682,200,200,1.0,bpentry15|qp50
2.5,50.0,50.0,6.0,13,1.39,0.48,1.1320025595371048,35944,0.2995333333333312,200,197,0.985,bpentry15|qp50
2.5,50.0,50.0,6.0,25,1.39,0.48,1.0629530325934984,37707,0.314225000000002,200,198,0.99,bpentry15|qp50
2.5,50.0,50.0,6.0,7,1.39,0.48,1.1103054938956445,36040,0.3003333333333323,200,197,0.985,bpentry20|qp50
2.5,50.0,50.0,6.0,19,1.39,0.48,1.1248786901934476,35364,0.2947000000000003,200,199,0.995,bpentry20|qp50
2.5,50.0,50.0,6.0,1,1.39,0.48,1.0958956583203991,36783,0.3065249999999991,200,201,1.005,bpentry30|qp50
