W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
3.0,50.0,50.0,12.0,0,1.39,0.48,1.0549344253797404,38582,0.267930555555555,200,197,0.985,bend0W3.0|qp50
3.0,50.0,50.0,12.0,12,1.39,0.48,1.0880996649010033,37004,0.2569722222222194,200,198,0.99,bend0W3.0|qp50
3.0,50.0,50.0,12.0,24,1.39,0.48,1.1210327391882002,35401,0.2458402777777801,200,200,1.0,bend0W3.0|qp50
3.0,50.0,50.0,12.0,1,1.39,0.48,1.091595362508099,36744,0.2551666666666662,200,200,1.0,bend0W3.0|qp50
3.0,50.0,50.0,12.0,13,1.39,0.48,1.0618919205017698,37787,0.2624097222222221,200,196,0.98,bend0W3.0|qp50
3.0,50.0,50.0,12.0,25,1.39,0.48,1.0332655428394928,38796,0.2694166666666638,200,198,0.99,bend0W3.0|qp50
3.0,50.0,50.0,12.0,2,1.39,0.48,1.066773499734508,37660,0.2615277777777791,200,198,0.99,bend0W3.0|qp50
3.0,50.0,50.0,12.0,14,1.39,0.48,1.10054656755578,36592,0.2541111111111112,200,199,0.995,bend0W3.0|qp50
3.0,50.0,50.0,12.0,26,1.39,0.48,1.1196316666667656,36000,0.2500000000000004,200,192,0.96,bend0W3.0|qp50
3.0,50.0,50.0,12.0,3,1.39,0.48,1.08027457736618,37148,0.2579722222222216,200,200,1.0,bend0W3.0|qp50
3.0,50.0,50.0,12.0,15,1.39,0.48,1.0916064289573837,37020,0.2570833333333342,200,196,0.98,bend0W3.0|qp50
3.0,50.0,50.0,12.0,27,1.39,0.48,1.0733945756780272,37719,0.2619375000000001,200,203,1.015,bend0W3.0|qp50
3.0,50.0,50.0,12.0,4,1.39,0.48,1.1226670207413414,35774,0.2484305555555567,200,196,0.98,bend0W3.0|qp50
3.0,50.0,50.0,12.0,16,1.39,0.48,1.1035279865642242,36321,0.2522291666666658,200,196,0.98,bend0W3.0|qp50
3.0,50.0,50.0,12.0,28,1.39,0.48,1.0343072289157496,38844,0.2697499999999969,200,193,0.965,bend0W3.0|qp50
3.0,50.0,50.0,12.0,5,1.39,0.48,1.0970194295162878,36285,0.2519791666666661,200,194,0.97,bend0W3.0|qp50
3.0,50.0,50.0,12.0,17,1.39,0.48,1.074619496939372,37411,0.2597986111111098,200,194,0.97,bend0W3.0|qp50
3.0,50.0,50.0,12.0,29,1.39,0.48,1.055570791819562,38140,0.2648611111111113,200,199,0.995,bend0W3.0|qp50
3.0,50.0,50.0,12.0,6,1.39,0.48,1.0707309879364593,37634,0.2613472222222259,200,201,1.005,bend0W3.0|qp50
3.0,50.0,50.0,12.0,18,1.39,0.48,1.146881350976026,27358,0.1899861111111081,113,129,1.1415929203539823,bend0W3.0|qp50
3.0,50.0,50.0,12.0,7,1.39,0.48,1.082556804463807,37277,0.2588680555555578,200,199,0.995,bend0W3.0|qp50
3.0,50.0,50.0,12.0,19,1.39,0.48,1.122985620550129,35815,0.2487152777777785,200,198,0.99,bend0W3.0|qp50
3.0,50.0,50.0,12.0,8,1.39,0.48,1.057097875973973,37476,0.2602500000000002,200,195,0.975,bend0W3.0|qp50
3.0,50.0,50.0,12.0,20,1.39,0.48,1.0980140371958085,36617,0.2542847222222198,200,195,0.975,bend0W3.0|qp50
3.0,50.0,50.0,12.0,9,1.39,0.48,1.1025796815480091,36489,0.2533958333333346,200,195,0.975,bend0W3.0|qp50
3.0,50.0,50.0,12.0,21,1.39,0.48,1.054204217594276,38126,0.2647638888888877,200,195,0.975,bend0W3.0|qp50
3.0,50.0,50.0,12.0,10,1.39,0.48,1.0891734417345005,36900,0.2562499999999979,200,197,0.985,bend0W3.0|qp50
3.0,50.0,50.0,12.0,22,1.39,0.48,1.0826386737329194,36795,0.2555208333333327,200,196,0.98,bend0W3.0|qp50
3.0,50.0,50.0,12.0,11,1.39,0.48,1.116984000658754,36439,0.2530486111111111,200,198,0.99,bend0W3.0|qp50
3.0,50.0,50.0,12.0,23,1.39,0.48,1.0384015348562134,38831,0.2696597222222209,200,202,1.01,bend0W3.0|qp50
