W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.5,50.0,8.0,0.0,0,1.39,0.48,1.290131979695448,4925,0.0684027777777761,32,32,1.0,SIN-865245632-1|qp8
1.5,50.0,8.0,0.0,12,1.39,0.48,1.307786074672115,4955,0.0688194444444427,32,32,1.0,SIN-865245632-1|qp8
1.5,50.0,8.0,0.0,24,1.39,0.48,1.3356675581156283,4861,0.0675138888888872,32,32,1.0,SIN-865245632-1|qp8
1.5,50.0,18.0,0.0,6,1.39,0.48,1.3172062404184235,11089,0.1540138888888877,72,73,1.0138888888888888,SIN-865245632-1|qp18
1.5,50.0,18.0,0.0,18,1.39,0.48,1.2679574652777126,11520,0.1599999999999994,72,73,1.0138888888888888,SIN-865245632-1|qp18
1.8,50.0,27.0,0.0,0,1.39,0.48,1.1703301810322235,18505,0.2141782407407446,108,105,0.9722222222222222,SIN-22811726-0|qp27
1.8,50.0,27.0,0.0,12,1.39,0.48,1.2177971500419824,17895,0.2071180555555619,108,107,0.9907407407407408,SIN-22811726-0|qp27
1.8,50.0,27.0,0.0,24,1.39,0.48,1.2268247078464551,17970,0.2079861111111171,108,107,0.9907407407407408,SIN-22811726-0|qp27
1.8,50.0,45.0,0.0,6,1.39,0.48,1.0777458005404017,34052,0.3941203703703672,180,180,1.0,SIN-22811726-0|qp45
1.8,50.0,45.0,0.0,18,1.39,0.48,1.0610778337827504,34124,0.3949537037037044,180,184,1.022222222222222,SIN-22811726-0|qp45
1.2,50.0,36.0,0.0,0,1.39,0.48,1.065392207220432,27256,0.4731944444444478,144,141,0.9791666666666666,SIN-602848280-0|qp36
1.2,50.0,36.0,0.0,12,1.39,0.48,1.0816180698152074,26785,0.4650173611111107,144,142,0.9861111111111112,SIN-602848280-0|qp36
1.2,50.0,36.0,0.0,24,1.39,0.48,1.0832337807606025,26820,0.4656250000000008,144,142,0.9861111111111112,SIN-602848280-0|qp36
1.2,50.0,54.0,0.0,6,1.39,0.48,0.7362581727911556,57202,0.9930902777777796,216,191,0.8842592592592593,SIN-602848280-0|qp54
1.2,50.0,54.0,0.0,18,1.39,0.48,0.8035965543354467,52820,0.9170138888888918,216,207,0.9583333333333334,SIN-602848280-0|qp54
0.5,50.0,10.0,0.0,0,1.39,0.48,0.0,0,0.0,0,0,1.0,SIN-1189801155-0|qp10
0.5,50.0,10.0,0.0,12,1.39,0.48,0.0,0,0.0,0,0,1.0,SIN-1189801155-0|qp10
0.5,50.0,10.0,0.0,24,1.39,0.48,0.0,0,0.0,0,0,1.0,SIN-1189801155-0|qp10
0.5,50.0,18.0,0.0,6,1.39,0.48,0.0,0,0.0,0,0,1.0,SIN-1189801155-0|qp18
0.5,50.0,18.0,0.0,18,1.39,0.48,0.0,0,0.0,0,0,1.0,SIN-1189801155-0|qp18
1.0,50.0,15.0,0.0,0,1.39,0.48,0.0591108621893431,123198,2.566625000000004,0,0,1.0,LON-4260257-0|qp15
1.0,50.0,15.0,0.0,12,1.39,0.48,0.0598190642902836,125680,2.618333333333312,0,0,1.0,LON-4260257-0|qp15
1.0,50.0,15.0,0.0,24,1.39,0.48,0.0598079260300948,125889,2.6226874999999965,0,0,1.0,LON-4260257-0|qp15
1.0,50.0,25.0,0.0,6,1.39,0.48,0.0260059454799553,168195,3.504062499999979,0,0,1.0,LON-4260257-0|qp25
1.0,50.0,25.0,0.0,18,1.39,0.48,0.0272550722539934,165804,3.4542499999999623,0,0,1.0,LON-4260257-0|qp25
1.5,50.0,45.0,0.0,0,1.39,0.48,0.2435458057112119,97597,1.3555138888889036,26,40,1.5384615384615383,LON-4082521-0|qp45
1.5,50.0,45.0,0.0,12,1.39,0.48,0.0932281297534842,141345,1.963124999999993,0,7,1.0,LON-4082521-0|qp45
1.5,50.0,45.0,0.0,24,1.39,0.48,0.73088287726177,44876,0.6232777777777899,101,141,1.396039603960396,LON-4082521-0|qp45
1.5,50.0,68.0,0.0,6,1.39,0.48,0.7160166968477532,32581,0.4525138888888846,43,97,2.255813953488372,LON-4082521-0|qp68
1.5,50.0,68.0,0.0,18,1.39,0.48,0.5230861373966686,34979,0.485819444444442,0,55,1.0,LON-4082521-0|qp68
1.5,50.0,45.0,0.0,0,1.39,0.48,0.987269878679212,37339,0.5185972222222194,180,183,1.0166666666666666,LON-4082521-1|qp45
1.5,50.0,45.0,0.0,12,1.39,0.48,0.98352979187416,37141,0.515847222222225,180,180,1.0,LON-4082521-1|qp45
1.5,50.0,45.0,0.0,24,1.39,0.48,1.0239815543809077,35564,0.4939444444444462,180,181,1.0055555555555555,LON-4082521-1|qp45
1.5,50.0,68.0,0.0,6,1.39,0.48,0.2900821702683395,90422,1.2558611111111144,1,50,50.0,LON-4082521-1|qp68
1.5,50.0,68.0,0.0,18,1.39,0.48,0.3976024268866422,73345,1.018680555555554,36,78,2.1666666666666665,LON-4082521-1|qp68
1.5,50.0,45.0,0.0,0,1.39,0.48,0.9710511620486394,37606,0.5223055555555511,180,180,1.0,LON-227726113-0|qp45
1.5,50.0,45.0,0.0,12,1.39,0.48,1.0642667209728185,34373,0.4774027777777747,180,176,0.9777777777777776,LON-227726113-0|qp45
1.5,50.0,45.0,0.0,24,1.39,0.48,1.0629614380979435,34490,0.4790277777777786,180,173,0.9611111111111112,LON-227726113-0|qp45
1.5,50.0,68.0,0.0,6,1.39,0.48,0.2749947243620428,88141,1.2241805555555652,0,34,1.0,LON-227726113-0|qp68
1.5,50.0,68.0,0.0,18,1.39,0.48,0.2742888577042585,89075,1.237152777777787,7,58,8.285714285714286,LON-227726113-0|qp68
1.2,50.0,24.0,0.0,0,1.39,0.48,1.107086447931524,17525,0.3042534722222263,96,94,0.9791666666666666,TYO-39433580-0|qp24
1.2,50.0,24.0,0.0,12,1.39,0.48,1.115126871997744,17695,0.3072048611111102,96,98,1.0208333333333333,TYO-39433580-0|qp24
1.2,50.0,24.0,0.0,24,1.39,0.48,1.1392342235878072,16924,0.2938194444444431,96,97,1.0104166666666667,TYO-39433580-0|qp24
1.2,50.0,42.0,0.0,6,1.39,0.48,0.96989090397866,35565,0.6174479166666674,168,162,0.9642857142857144,TYO-39433580-0|qp42
1.2,50.0,42.0,0.0,18,1.39,0.48,0.986251864853026,34185,0.5934895833333313,168,170,1.011904761904762,TYO-39433580-0|qp42
1.5,50.0,45.0,0.0,0,1.39,0.48,1.0358853749351984,21217,0.2946805555555574,180,176,0.9777777777777776,TYO-1083468017-0|qp45
1.5,50.0,45.0,0.0,12,1.39,0.48,1.0143556376080205,22208,0.3084444444444427,180,179,0.9944444444444444,TYO-1083468017-0|qp45
1.5,50.0,45.0,0.0,24,1.39,0.48,1.0037711103126252,22264,0.30922222222222,180,182,1.011111111111111,TYO-1083468017-0|qp45
1.5,50.0,68.0,0.0,6,1.39,0.48,0.0355250432684905,286005,3.9722916666666817,15,43,2.8666666666666667,TYO-1083468017-0|qp68
1.5,50.0,68.0,0.0,18,1.39,0.48,0.0362258432268395,290343,4.032541666666659,0,23,1.0,TYO-1083468017-0|qp68
1.2,50.0,18.0,0.0,0,1.39,0.48,0.0236720437681889,85176,1.4787499999999998,0,0,1.0,TYO-669243891-0|qp18
1.2,50.0,18.0,0.0,12,1.39,0.48,0.0254477787170021,85176,1.4787499999999998,0,0,1.0,TYO-669243891-0|qp18
1.2,50.0,18.0,0.0,24,1.39,0.48,0.0255726833880671,80376,1.3954166666666652,0,0,1.0,TYO-669243891-0|qp18
1.2,50.0,30.0,0.0,6,1.39,0.48,0.0147170489296583,130800,2.2708333333333344,0,0,1.0,TYO-669243891-0|qp30
1.2,50.0,30.0,0.0,18,1.39,0.48,0.014055507246372,138000,2.395833333333334,0,0,1.0,TYO-669243891-0|qp30
1.2,50.0,18.0,0.0,0,1.39,0.48,1.05337552742616,237,0.0041145833333333,72,72,1.0,TYO-666208842-0|qp18
1.2,50.0,18.0,0.0,12,1.39,0.48,0.9356928838951306,267,0.0046354166666666,72,69,0.9583333333333334,TYO-666208842-0|qp18
1.2,50.0,18.0,0.0,24,1.39,0.48,0.9961718749999996,256,0.0044444444444444,72,72,1.0,TYO-666208842-0|qp18
1.2,50.0,30.0,0.0,6,1.39,0.48,1.0416262135922332,412,0.0071527777777777,118,120,1.0169491525423728,TYO-666208842-0|qp30
1.2,50.0,30.0,0.0,18,1.39,0.48,0.9039293139293144,481,0.0083506944444444,114,119,1.043859649122807,TYO-666208842-0|qp30
1.5,50.0,30.0,0.0,0,1.39,0.48,1.1583808818080776,5398,0.0749722222222199,120,120,1.0,AMS-1386681638-13|qp30
1.5,50.0,30.0,0.0,12,1.39,0.48,1.1907715872104103,5223,0.0725416666666645,120,119,0.9916666666666668,AMS-1386681638-13|qp30
1.5,50.0,30.0,0.0,24,1.39,0.48,1.1758430560782651,5314,0.0738055555555534,120,119,0.9916666666666668,AMS-1386681638-13|qp30
1.5,50.0,52.0,0.0,6,1.39,0.48,1.1397679038160164,9565,0.1328472222222202,208,207,0.9951923076923076,AMS-1386681638-13|qp52
1.5,50.0,52.0,0.0,18,1.39,0.48,0.8832099170839651,12181,0.1691805555555564,208,208,1.0,AMS-1386681638-13|qp52
1.2,50.0,6.0,0.0,0,1.39,0.48,1.298830687830682,3780,0.0656250000000004,24,23,0.9583333333333334,AMS-244428233-0|qp6
1.2,50.0,6.0,0.0,12,1.39,0.48,1.276012658227842,3792,0.0658333333333333,24,24,1.0,AMS-244428233-0|qp6
1.2,50.0,6.0,0.0,24,1.39,0.48,1.3308548653105858,3638,0.0631597222222219,24,24,1.0,AMS-244428233-0|qp6
1.2,50.0,14.0,0.0,6,1.39,0.48,1.273710076473252,8892,0.1543750000000016,56,55,0.9821428571428572,AMS-244428233-0|qp14
1.2,50.0,14.0,0.0,18,1.39,0.48,1.2139563762012415,9261,0.1607812500000006,56,56,1.0,AMS-244428233-0|qp14
2.5,50.0,12.0,0.0,0,1.39,0.48,1.2658003913894549,7665,0.0638750000000001,48,49,1.0208333333333333,AMS-4495978-0|qp12
2.5,50.0,12.0,0.0,12,1.39,0.48,1.3305730461199008,7242,0.0603500000000006,48,49,1.0208333333333333,AMS-4495978-0|qp12
2.5,50.0,12.0,0.0,24,1.39,0.48,1.345987297106621,7085,0.0590416666666674,48,49,1.0208333333333333,AMS-4495978-0|qp12
2.5,50.0,30.0,0.0,6,1.39,0.48,1.2539685269137912,19191,0.1599250000000021,120,120,1.0,AMS-4495978-0|qp30
2.5,50.0,30.0,0.0,18,1.39,0.48,1.1954626290569503,20243,0.1686916666666665,120,119,0.9916666666666668,AMS-4495978-0|qp30
2.5,50.0,12.0,0.0,0,1.39,0.48,1.286424766977389,7510,0.0625833333333335,48,50,1.0416666666666667,AMS-7370864-0|qp12
2.5,50.0,12.0,0.0,12,1.39,0.48,1.3512617808412313,7109,0.0592416666666673,48,49,1.0208333333333333,AMS-7370864-0|qp12
2.5,50.0,12.0,0.0,24,1.39,0.48,1.3623280423281063,6993,0.0582750000000008,48,49,1.0208333333333333,AMS-7370864-0|qp12
2.5,50.0,30.0,0.0,6,1.39,0.48,1.2642899795716578,19091,0.1590916666666676,120,122,1.0166666666666666,AMS-7370864-0|qp30
2.5,50.0,30.0,0.0,18,1.39,0.48,1.2444155309848508,19445,0.1620416666666677,120,121,1.0083333333333333,AMS-7370864-0|qp30
1.5,50.0,8.0,0.0,0,1.39,0.48,1.3053318219291188,4852,0.0673888888888873,32,33,1.03125,SIN-831704635-1|qp8
1.5,50.0,8.0,0.0,12,1.39,0.48,1.290479682854375,5045,0.0700694444444427,32,32,1.0,SIN-831704635-1|qp8
1.5,50.0,8.0,0.0,24,1.39,0.48,1.3520088068777645,4769,0.0662361111111094,32,32,1.0,SIN-831704635-1|qp8
1.5,50.0,18.0,0.0,6,1.39,0.48,1.2969348286824438,11324,0.1572777777777767,72,72,1.0,SIN-831704635-1|qp18
1.5,50.0,18.0,0.0,18,1.39,0.48,1.257977615152757,11615,0.1613194444444436,72,73,1.0138888888888888,SIN-831704635-1|qp18
1.8,50.0,27.0,0.0,0,1.39,0.48,1.1619542309739643,18790,0.2174768518518571,108,108,1.0,SIN-22811727-0|qp27
1.8,50.0,27.0,0.0,12,1.39,0.48,1.217488925802958,18060,0.2090277777777841,108,107,0.9907407407407408,SIN-22811727-0|qp27
1.8,50.0,27.0,0.0,24,1.39,0.48,1.2656316308192117,17249,0.1996412037037102,108,108,1.0,SIN-22811727-0|qp27
1.8,50.0,45.0,0.0,6,1.39,0.48,1.0253921374110826,35281,0.4083449074074043,180,178,0.9888888888888888,SIN-22811727-0|qp45
1.8,50.0,45.0,0.0,18,1.39,0.48,1.0510517715860164,34884,0.4037500000000006,180,187,1.038888888888889,SIN-22811727-0|qp45
1.5,50.0,8.0,0.0,0,1.39,0.48,1.223043144774702,5215,0.0724305555555535,32,32,1.0,SIN-877712256-0|qp8
1.5,50.0,8.0,0.0,12,1.39,0.48,1.142295423023623,5768,0.0801111111111092,32,33,1.03125,SIN-877712256-0|qp8
1.5,50.0,8.0,0.0,24,1.39,0.48,1.2580204712244218,5178,0.0719166666666647,32,32,1.0,SIN-877712256-0|qp8
1.5,50.0,18.0,0.0,6,1.39,0.48,1.0244421685101672,14646,0.2034166666666637,70,73,1.042857142857143,SIN-877712256-0|qp18
1.5,50.0,18.0,0.0,18,1.39,0.48,0.9948191153768068,14899,0.2069305555555573,72,70,0.9722222222222222,SIN-877712256-0|qp18
