W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.2,50.0,14.0,12.0,0,1.39,0.48,1.224046470846169,9124,0.1584027777777778,56,58,1.0357142857142858,AMS-244428233-0|qp14
1.2,50.0,14.0,12.0,12,1.39,0.48,1.2478215398308636,8988,0.1560416666666676,56,57,1.0178571428571428,AMS-244428233-0|qp14
1.2,50.0,14.0,12.0,24,1.39,0.48,1.2506594379288087,9038,0.1569097222222231,56,58,1.0357142857142858,AMS-244428233-0|qp14
1.2,50.0,6.0,12.0,6,1.39,0.48,1.318472521551762,3712,0.0644444444444443,24,24,1.0,AMS-244428233-0|qp6
1.2,50.0,6.0,12.0,18,1.39,0.48,1.343398931684011,3557,0.0617534722222222,24,24,1.0,AMS-244428233-0|qp6
2.5,50.0,12.0,12.0,0,1.39,0.48,1.215767289247856,3962,0.033016666666667,48,48,1.0,AMS-4480498-0|qp12
2.5,50.0,12.0,12.0,12,1.39,0.48,1.3030294906166269,3730,0.0310833333333336,48,47,0.9791666666666666,AMS-4480498-0|qp12
2.5,50.0,12.0,12.0,24,1.39,0.48,1.2879962943356162,3778,0.0314833333333337,48,47,0.9791666666666666,AMS-4480498-0|qp12
2.5,50.0,30.0,12.0,6,1.39,0.48,1.1867342364291915,10261,0.0855083333333348,120,121,1.0083333333333333,AMS-4480498-0|qp30
2.5,50.0,30.0,12.0,18,1.39,0.48,1.1777986629202388,10321,0.0860083333333337,120,119,0.9916666666666668,AMS-4480498-0|qp30
3.6,50.0,18.0,12.0,0,1.39,0.48,1.1016119192867218,12786,0.0739930555555564,72,74,1.0277777777777777,AMS-4480626-0|qp18
3.6,50.0,18.0,12.0,12,1.39,0.48,1.1390478457509878,12603,0.0729340277777792,72,71,0.9861111111111112,AMS-4480626-0|qp18
3.6,50.0,18.0,12.0,24,1.39,0.48,1.1554653336584015,12303,0.0711979166666672,72,71,0.9861111111111112,AMS-4480626-0|qp18
3.6,50.0,18.0,12.0,6,1.39,0.48,1.337777983691635,10792,0.0624537037037037,72,73,1.0138888888888888,AMS-4480644-0|qp18
3.6,50.0,18.0,12.0,18,1.39,0.48,1.2746682527094253,11349,0.0656770833333344,72,73,1.0138888888888888,AMS-4480644-0|qp18
3.6,50.0,43.0,12.0,0,1.39,0.48,1.1301841668565922,30733,0.1778530092592617,172,175,1.0174418604651163,AMS-4480644-0|qp43
3.6,50.0,43.0,12.0,12,1.39,0.48,1.175448010357018,29352,0.1698611111111111,172,168,0.9767441860465116,AMS-4480644-0|qp43
3.6,50.0,43.0,12.0,24,1.39,0.48,1.1965481967670428,28643,0.1657581018518507,172,176,1.0232558139534884,AMS-4480644-0|qp43
2.5,50.0,12.0,12.0,6,1.39,0.48,1.2635692430491516,7517,0.062641666666668,48,48,1.0,AMS-4495978-0|qp12
2.5,50.0,12.0,12.0,18,1.39,0.48,1.2766644780039302,7615,0.0634583333333347,48,48,1.0,AMS-4495978-0|qp12
2.5,50.0,30.0,12.0,0,1.39,0.48,1.1410734701527776,21342,0.1778500000000025,120,119,0.9916666666666668,AMS-4495978-0|qp30
2.5,50.0,30.0,12.0,12,1.39,0.48,1.189998520491255,20277,0.1689750000000003,120,121,1.0083333333333333,AMS-4495978-0|qp30
2.5,50.0,30.0,12.0,24,1.39,0.48,1.1947108457515043,20266,0.1688833333333356,120,120,1.0,AMS-4495978-0|qp30
2.5,50.0,12.0,12.0,6,1.39,0.48,1.126461415433831,7503,0.0625250000000013,48,49,1.0208333333333333,AMS-4495979-0|qp12
2.5,50.0,12.0,12.0,18,1.39,0.48,1.117291448058765,7624,0.0635333333333341,48,48,1.0,AMS-4495979-0|qp12
2.5,50.0,12.0,12.0,0,1.39,0.48,1.0270938928126334,9628,0.0802333333333345,48,50,1.0416666666666667,AMS-4496429-0|qp12
2.5,50.0,12.0,12.0,12,1.39,0.48,1.1721611025306329,8417,0.0701416666666683,48,49,1.0208333333333333,AMS-4496429-0|qp12
2.5,50.0,12.0,12.0,24,1.39,0.48,1.066870939800819,9236,0.0769666666666678,48,48,1.0,AMS-4496429-0|qp12
2.5,50.0,12.0,12.0,6,1.39,0.48,1.3156079679071255,7229,0.0602416666666685,48,48,1.0,AMS-7370864-0|qp12
2.5,50.0,12.0,12.0,18,1.39,0.48,1.3128809879223728,7369,0.0614083333333346,48,48,1.0,AMS-7370864-0|qp12
2.5,50.0,30.0,12.0,0,1.39,0.48,1.1608543531326443,20893,0.1741083333333357,120,119,0.9916666666666668,AMS-7370864-0|qp30
2.5,50.0,30.0,12.0,12,1.39,0.48,1.204628500000018,20000,0.1666666666666679,120,118,0.9833333333333332,AMS-7370864-0|qp30
2.5,50.0,30.0,12.0,24,1.39,0.48,1.231167592125172,19810,0.1650833333333356,120,121,1.0083333333333333,AMS-7370864-0|qp30
2.5,50.0,38.0,12.0,6,1.39,0.48,1.1769984153364863,25873,0.215608333333337,152,154,1.013157894736842,LON-4082553-0|qp38
2.5,50.0,38.0,12.0,18,1.39,0.48,1.1568309832533048,26453,0.2204416666666689,152,154,1.013157894736842,LON-4082553-0|qp38
2.5,50.0,38.0,12.0,0,1.39,0.48,1.0912807951721848,28170,0.234750000000003,152,155,1.019736842105263,LON-4082554-0|qp38
2.5,50.0,38.0,12.0,12,1.39,0.48,1.174283453626179,25909,0.2159083333333375,152,150,0.986842105263158,LON-4082554-0|qp38
2.5,50.0,38.0,12.0,24,1.39,0.48,1.1937542061194106,25558,0.2129833333333377,152,153,1.006578947368421,LON-4082554-0|qp38
