W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.65,50.0,36.0,0.0,0,1.39,0.48,1.0466881652216826,28374,0.358257575757578,144,145,1.0069444444444444,BND-253918225-0|qp36
1.65,50.0,36.0,0.0,8,1.39,0.48,1.0550183189272284,28113,0.3549621212121194,144,146,1.0138888888888888,BND-253918225-0|qp36
1.65,50.0,36.0,0.0,16,1.39,0.48,1.1297581964022088,25682,0.3242676767676732,144,145,1.0069444444444444,BND-253918225-0|qp36
1.65,50.0,36.0,0.0,24,1.39,0.48,1.1337757906553645,25833,0.3261742424242406,144,146,1.0138888888888888,BND-253918225-0|qp36
1.65,50.0,40.0,0.0,2,1.39,0.48,1.0531418649846065,31389,0.3963257575757563,160,162,1.0125,BND-253918225-0|qp40
1.65,50.0,40.0,0.0,10,1.39,0.48,1.0710918430782532,30563,0.3858964646464608,160,164,1.025,BND-253918225-0|qp40
1.65,50.0,40.0,0.0,18,1.39,0.48,1.0362336808491346,31941,0.4032954545454539,160,164,1.025,BND-253918225-0|qp40
1.65,50.0,40.0,0.0,26,1.39,0.48,1.005466845850768,32741,0.4133964646464643,160,157,0.98125,BND-253918225-0|qp40
1.65,50.0,44.0,0.0,4,1.39,0.48,0.995823731442494,36104,0.4558585858585839,176,171,0.9715909090909092,BND-253918225-0|qp44
1.65,50.0,44.0,0.0,12,1.39,0.48,0.9263230301494316,39470,0.4983585858585869,176,170,0.9659090909090908,BND-253918225-0|qp44
1.65,50.0,44.0,0.0,20,1.39,0.48,0.9769988768046568,36503,0.4608964646464626,176,171,0.9715909090909092,BND-253918225-0|qp44
1.65,50.0,44.0,0.0,28,1.39,0.48,0.972174994048734,37807,0.4773611111111132,176,169,0.9602272727272728,BND-253918225-0|qp44
1.65,50.0,48.0,0.0,6,1.39,0.48,0.9460491552194936,41786,0.5276010101010067,192,191,0.9947916666666666,BND-253918225-0|qp48
1.65,50.0,48.0,0.0,14,1.39,0.48,0.8765145531990121,45076,0.5691414141414057,192,187,0.9739583333333334,BND-253918225-0|qp48
1.65,50.0,48.0,0.0,22,1.39,0.48,0.9300861841947924,41771,0.5274116161616158,192,184,0.9583333333333334,BND-253918225-0|qp48
2.25,50.0,60.0,0.0,0,1.39,0.48,1.0816865654862136,44475,0.4118055555555611,240,242,1.0083333333333333,BND-873552517-2|qp60
2.25,50.0,60.0,0.0,8,1.39,0.48,1.069346930684563,45401,0.4203796296296274,240,241,1.0041666666666669,BND-873552517-2|qp60
2.25,50.0,60.0,0.0,16,1.39,0.48,1.1003201459355236,43855,0.4060648148148163,240,240,1.0,BND-873552517-2|qp60
2.25,50.0,60.0,0.0,24,1.39,0.48,1.1432472524882586,42402,0.3926111111111114,240,236,0.9833333333333332,BND-873552517-2|qp60
2.25,50.0,66.0,0.0,2,1.39,0.48,1.0442118207215638,50826,0.4706111111111074,264,264,1.0,BND-873552517-2|qp66
2.25,50.0,66.0,0.0,10,1.39,0.48,1.111930757315618,47774,0.442351851851849,264,266,1.0075757575757576,BND-873552517-2|qp66
2.25,50.0,66.0,0.0,18,1.39,0.48,1.090447174347026,49086,0.454500000000004,264,263,0.9962121212121212,BND-873552517-2|qp66
2.25,50.0,66.0,0.0,26,1.39,0.48,0.9664558543875844,55215,0.5112500000000004,264,258,0.9772727272727272,BND-873552517-2|qp66
2.25,50.0,70.0,0.0,4,1.39,0.48,1.0616806999205242,51663,0.478361111111109,280,281,1.0035714285714286,BND-873552517-2|qp70
2.25,50.0,70.0,0.0,12,1.39,0.48,1.086531953978542,51715,0.4788425925925922,280,280,1.0,BND-873552517-2|qp70
2.25,50.0,70.0,0.0,20,1.39,0.48,1.0200252543217567,56228,0.5206296296296299,280,285,1.0178571428571428,BND-873552517-2|qp70
2.25,50.0,70.0,0.0,28,1.39,0.48,1.0104370537127738,56858,0.5264629629629545,280,294,1.05,BND-873552517-2|qp70
2.25,50.0,74.0,0.0,6,1.39,0.48,1.071191286344477,55545,0.5143055555555587,296,304,1.027027027027027,BND-873552517-2|qp74
2.25,50.0,74.0,0.0,14,1.39,0.48,0.9947750761893008,60376,0.5590370370370386,296,296,1.0,BND-873552517-2|qp74
2.25,50.0,74.0,0.0,22,1.39,0.48,1.024168482702138,58736,0.5438518518518514,296,295,0.9966216216216216,BND-873552517-2|qp74
2.6,50.0,60.0,0.0,0,1.39,0.48,1.044983048623029,45719,0.3663381410256463,240,240,1.0,BND-661246488-2|qp60
2.6,50.0,60.0,0.0,8,1.39,0.48,1.137354157314145,42323,0.3391266025641039,240,240,1.0,BND-661246488-2|qp60
2.6,50.0,60.0,0.0,16,1.39,0.48,1.0280251731458492,46637,0.3736939102564103,240,231,0.9625,BND-661246488-2|qp60
2.6,50.0,60.0,0.0,24,1.39,0.48,0.9756318299225412,50330,0.4032852564102545,240,236,0.9833333333333332,BND-661246488-2|qp60
2.6,50.0,66.0,0.0,2,1.39,0.48,1.0578269860069909,49811,0.3991266025640992,264,266,1.0075757575757576,BND-661246488-2|qp66
2.6,50.0,66.0,0.0,10,1.39,0.48,0.953243546377005,56170,0.4500801282051315,264,262,0.9924242424242424,BND-661246488-2|qp66
2.6,50.0,66.0,0.0,18,1.39,0.48,1.0487857580610205,50583,0.405312500000003,264,261,0.9886363636363636,BND-661246488-2|qp66
2.6,50.0,66.0,0.0,26,1.39,0.48,0.9533612918258216,55797,0.4470913461538454,264,257,0.9734848484848484,BND-661246488-2|qp66
2.6,50.0,70.0,0.0,4,1.39,0.48,1.0798171643218928,52178,0.4180929487179508,280,282,1.0071428571428571,BND-661246488-2|qp70
2.6,50.0,70.0,0.0,12,1.39,0.48,1.0503982855751812,53429,0.4281169871794876,280,274,0.9785714285714284,BND-661246488-2|qp70
2.6,50.0,70.0,0.0,20,1.39,0.48,1.0208723691903487,54736,0.4385897435897414,280,273,0.975,BND-661246488-2|qp70
2.6,50.0,70.0,0.0,28,1.39,0.48,1.0789564816770154,52093,0.4174118589743609,280,285,1.0178571428571428,BND-661246488-2|qp70
2.6,50.0,74.0,0.0,6,1.39,0.48,1.092904741875891,54683,0.4381650641025695,296,302,1.0202702702702702,BND-661246488-2|qp74
2.6,50.0,74.0,0.0,14,1.39,0.48,1.0427409053041814,57616,0.4616666666666706,296,300,1.0135135135135136,BND-661246488-2|qp74
2.6,50.0,74.0,0.0,22,1.39,0.48,0.9798404281678488,60537,0.4850721153846183,296,300,1.0135135135135136,BND-661246488-2|qp74
1.65,50.0,36.0,0.0,1,1.39,0.48,1.096414771882853,26916,0.3398484848484839,144,147,1.0208333333333333,BND-253918225-0|qp36
1.65,50.0,36.0,0.0,9,1.39,0.48,1.0599696731838708,28028,0.3538888888888867,144,144,1.0,BND-253918225-0|qp36
1.65,50.0,36.0,0.0,17,1.39,0.48,1.1064727054588852,26672,0.3367676767676732,144,146,1.0138888888888888,BND-253918225-0|qp36
1.65,50.0,36.0,0.0,25,1.39,0.48,1.0764958453822828,27319,0.3449368686868691,144,142,0.9861111111111112,BND-253918225-0|qp36
1.65,50.0,40.0,0.0,3,1.39,0.48,1.074826844061768,30666,0.3871969696969675,160,164,1.025,BND-253918225-0|qp40
