cell_id,context,qp,W_c,sinuosity,qr_star,qhat_A_old,qhat_A_new,qhat_B_old,qhat_B_new,qhat_A-iso_old,qhat_A-iso_new
BND-661246488-2,MRT-frontage,78,2.599,1.0003,0.0,4.39,0.0,5.0,0.0,0.0,0.0
BND-661246488-3,MRT-frontage,78,2.599,1.0003,0.0,4.39,0.0,5.0,0.0,0.0,0.0
BND-661246488-2,MRT-frontage,117,2.599,1.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND-661246488-3,MRT-frontage,117,2.599,1.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BND-873552517-2,commercial,34,2.25,1.0,12.0,6.7,6.7,6.71,6.71,7.96,7.96
BND-873552517-3,commercial,34,2.25,1.0002,12.0,6.7,6.7,6.7,6.7,7.96,7.96
BND-873552517-2,commercial,56,2.25,1.0,3.0,4.43,4.43,4.47,4.47,0.94,0.94
BND-873552517-3,commercial,56,2.25,1.0002,4.0,4.43,4.43,4.47,4.47,0.94,0.94
BND-253918225-3,residential,8,1.649,1.0004,12.0,12.59,12.59,9.58,9.58,11.0,11.0
BND-253918225-0,residential,8,1.646,1.0024,12.0,12.54,12.54,9.53,9.53,10.97,10.97
BND-253918225-3,residential,20,1.649,1.0004,6.0,5.9,5.9,4.56,4.56,6.87,6.87
BND-253918225-0,residential,20,1.646,1.0024,8.0,5.87,5.87,4.53,4.53,6.85,6.85
