W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.65,50.0,8.0,4.0,0,1.39,0.48,1.2302892402622572,5186,0.0654797979797994,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,4.0,8,1.39,0.48,1.2480494347576394,5219,0.0658964646464662,32,31,0.96875,BND-253918225-3|qp8
1.65,50.0,8.0,4.0,16,1.39,0.48,1.2598552708781594,5113,0.0645580808080824,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,4.0,24,1.39,0.48,1.3247754185381897,4898,0.0618434343434358,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,20.0,4.0,2,1.39,0.48,1.1895877044971526,13631,0.1721085858585838,80,78,0.975,BND-253918225-3|qp20
1.65,50.0,20.0,4.0,10,1.39,0.48,1.186475828830166,13694,0.1729040404040388,80,79,0.9875,BND-253918225-3|qp20
1.65,50.0,20.0,4.0,18,1.39,0.48,1.1650994742077208,14074,0.1777020202020191,80,81,1.0125,BND-253918225-3|qp20
1.65,50.0,20.0,4.0,26,1.39,0.48,1.2114562888605924,13349,0.1685479797979791,80,80,1.0,BND-253918225-3|qp20
1.65,50.0,8.0,4.0,4,1.39,0.48,1.1926068066618722,5524,0.0697474747474764,32,31,0.96875,BND-253918225-0|qp8
1.65,50.0,8.0,4.0,12,1.39,0.48,1.185285225841331,5557,0.0701641414141431,32,33,1.03125,BND-253918225-0|qp8
1.65,50.0,8.0,4.0,20,1.39,0.48,1.2171306130054131,5367,0.0677651515151531,32,34,1.0625,BND-253918225-0|qp8
1.65,50.0,8.0,4.0,28,1.39,0.48,1.229888517279812,5382,0.0679545454545471,32,32,1.0,BND-253918225-0|qp8
1.65,50.0,20.0,4.0,6,1.39,0.48,1.2070876834343125,13697,0.1729419191919187,80,79,0.9875,BND-253918225-0|qp20
1.65,50.0,20.0,4.0,14,1.39,0.48,1.1467127226820113,14258,0.1800252525252517,80,78,0.975,BND-253918225-0|qp20
1.65,50.0,20.0,4.0,22,1.39,0.48,1.1801370846192316,13933,0.1759217171717171,80,79,0.9875,BND-253918225-0|qp20
2.25,50.0,34.0,4.0,0,1.39,0.48,1.1693424448863383,23633,0.2188240740740762,136,135,0.9926470588235294,BND-873552517-2|qp34
2.25,50.0,34.0,4.0,8,1.39,0.48,1.1673484527342175,23590,0.2184259259259293,136,136,1.0,BND-873552517-2|qp34
2.25,50.0,34.0,4.0,16,1.39,0.48,1.2453621144573903,21982,0.2035370370370401,136,135,0.9926470588235294,BND-873552517-2|qp34
2.25,50.0,34.0,4.0,24,1.39,0.48,1.2385360524398803,21968,0.2034074074074098,136,137,1.0073529411764706,BND-873552517-2|qp34
2.25,50.0,56.0,4.0,2,1.39,0.48,1.0073919533059494,44888,0.4156296296296293,224,224,1.0,BND-873552517-2|qp56
