W,qp,vbar,base_pass,mean_density_base,mean_fr_base,qr_star,above_upper
1.5,10,1.3111140948501676,True,0.08600972222221978,1.01,0.0,False
1.5,20,1.2497697246314654,True,0.18032037037036966,1.0033333333333332,0.0,False
1.5,30,1.151952533710907,True,0.2952527777777763,0.995,0.0,False
1.5,40,1.0671763620536514,True,0.42243333333332933,1.0,0.0,False
1.5,50,0.9184171129640681,True,0.6100717592592616,1.0225084044720187,0.0,False
1.5,60,0.4632202286595121,False,1.1094486111111113,3.2546920296931967,0.0,False
1.6,10,1.308354737483209,True,0.08076909722222218,1.0091666666666668,6.0,False
1.6,20,1.2494484856168704,True,0.16943012152777773,1.0025,5.0,False
1.6,30,1.1483628102654362,True,0.2777369791666666,0.9908333333333335,3.0,False
1.6,40,1.0631021818537085,True,0.39826822916666665,0.9997916666666666,0.0,False
1.6,50,0.9392599598816125,True,0.5589670138888888,0.9801666666666667,0.0,False
1.6,60,0.4657485973245745,False,1.0987209201388888,1.6956076525405972,0.0,False
1.7,10,1.3108210640038152,True,0.07580514705882643,1.0075,10.0,False
1.7,20,1.2507851859034604,True,0.15924346405228862,1.0062499999999999,6.0,False
1.7,30,1.1510215343428414,True,0.26057761437908555,0.9916666666666666,5.0,False
1.7,40,1.0459654903952877,True,0.38393627450980694,0.9972916666666668,0.0,False
1.7,50,0.8674124674278604,True,0.5840551470588212,1.069082905384376,0.0,False
1.7,60,0.46229010412324567,False,1.2210302287581751,1.7815523474067352,0.0,False
1.8,10,1.3100145338776559,True,0.07158873456790067,1.0066666666666668,12.0,False
1.8,20,1.2513246806781935,True,0.15024575617284225,1.005,6.0,False
1.8,30,1.1582573258988806,True,0.24445756172839542,0.9955555555555555,4.0,False
1.8,40,1.0725674145758957,True,0.3521581790123462,0.9993749999999999,1.0,False
1.8,50,0.9633868199418439,True,0.48905092592592697,0.9946666666666668,0.0,False
1.8,60,0.8051318757777414,True,0.6974405864197523,0.9741139846743294,0.0,False
2.1,10,1.3146914852288225,True,0.06094576719576828,1.01,15.0,False
2.1,20,1.2744974786514605,True,0.12576025132275098,1.0041666666666667,12.0,False
2.1,30,1.2086468338443437,True,0.1994460978836039,0.9988888888888889,8.0,False
2.1,40,1.14647400307881,True,0.280192460317462,1.0018750000000003,2.0,False
2.1,50,1.076791258271979,True,0.3731385582010708,1.0001666666666666,0.0,False
2.1,60,1.0063111433616139,True,0.47860019841269924,0.9981944444444444,0.0,False
2.4,10,1.323214791117803,True,0.05291319444444512,1.0091666666666668,20.0,True
2.4,20,1.300169731567029,True,0.10740451388888846,1.0025,15.0,False
2.4,30,1.258801850706861,True,0.16660445601851884,1.001111111111111,12.0,False
2.4,40,1.215967901079479,True,0.229492476851852,1.0025,12.0,False
2.4,50,1.1894105522946714,True,0.29353182870370365,0.9974999999999999,6.0,False
2.4,60,1.1534345656380582,True,0.36303298611111107,1.007638888888889,4.0,False
2.7,10,1.3253897364641924,True,0.04693852880658536,1.0075,20.0,True
2.7,20,1.3092543362693285,True,0.0947463991769538,1.0033333333333334,20.0,True
2.7,30,1.2715999846026935,True,0.14630041152263282,1.0013888888888889,18.0,False
2.7,40,1.2335386167413067,True,0.20061702674897025,1.0020833333333334,15.0,False
2.7,50,1.2044508435420203,True,0.2569819958847737,0.9948333333333336,10.0,False
2.7,60,1.1693205495396441,True,0.31754912551440495,1.0008333333333335,6.0,False
3.0,10,1.3255845451506503,True,0.04223634259259136,1.0075,20.0,True
3.0,20,1.313181784500435,True,0.08496342592592558,1.0020833333333334,20.0,True
3.0,30,1.2762627964516566,True,0.13112291666666634,1.0008333333333335,18.0,False
3.0,40,1.2380720737785573,True,0.1797942129629617,1.0018749999999998,15.0,False
3.0,50,1.2072894865792396,True,0.2306682870370357,0.9945,10.0,False
3.0,60,1.1712288196325416,True,0.2851395833333339,0.9991666666666669,6.0,False
