W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
1.5,10,1,0.0,0.19661495873412554,0.25778464365469606,0.46588611111111133,2.6619573890162127
1.5,10,2,0.0,0.18029599904432417,0.23638862559210577,0.4697328703703693,2.068015873015873
1.5,10,3,0.0,0.1235398216828562,0.1619748014836691,0.5797449074074079,1.0583333333333333
1.5,10,4,0.0,0.1185754498960435,0.15546594366190247,0.4490129629629623,1.2333333333333334
1.5,10,5,0.0,0.10520283091950519,0.13793291443670228,0.4567356481481504,1.1
1.5,10,6,0.0,0.08066183768078894,0.10575687229979873,0.535961111111115,1.0
1.5,10,8,0.0,0.07391176784267434,0.0969067605938237,0.4612810185185215,1.0
1.5,10,10,0.0,0.064566245245369,0.08465371419275591,0.4019166666666621,1.0
1.5,20,1,0.0,0.14478430892238434,0.1809470458928853,0.9907800925925939,1.48564627039627
1.5,20,2,0.0,0.1982620803782346,0.24778194559916772,0.8071796296296277,5.451666666666667
1.5,20,3,0.0,0.1585183356781867,0.19811141672956561,0.702688888888888,1.4
1.5,20,4,0.0,0.19418535600096293,0.2426869788967865,0.6036333333333317,1.0
1.5,20,5,0.0,0.10236286542523028,0.1279300101349778,1.0639879629629678,1.0
1.5,20,6,0.0,0.054187114208420595,0.06772141480283157,1.5129060185185208,1.0
1.5,20,8,0.0,0.0445288644820496,0.055650826701882976,1.4909717592592662,1.0
1.5,20,10,0.0,0.040269217333462635,0.05032724865796623,1.4596958333333303,1.0
1.5,30,1,0.0,0.16454362644598142,0.18954644739042928,1.3321865740740677,3.4769514728566455
1.5,30,2,0.0,0.1569605873415949,0.18081114628090236,1.152515277777774,1.1666666666666667
1.5,30,3,0.0,0.16724662877799437,0.1926601777754181,0.8515226851851845,1.6
1.5,30,4,0.0,0.13350366650106676,0.15378988688559977,1.1696569444444465,1.0
1.5,30,5,0.0,0.09223647175537128,0.10625203733915445,1.2675027777777748,1.0
1.5,30,6,0.0,0.07469925051504328,0.08604999089710988,1.4382041666666627,1.0
1.5,30,8,0.0,0.035239809134490666,0.04059458741996528,2.010135648148144,1.0
1.5,30,10,0.0,0.034597409345654605,0.03985457335556023,1.9932995370370419,1.0
1.5,40,1,0.0,0.12804931551754958,0.13665120269747874,1.8298939814814876,1.4166666666666667
1.5,40,2,0.0,0.1287743578326514,0.13742495071764405,1.5847930555555536,1.0
1.5,40,3,0.0,0.14771582960415677,0.1576388416547011,1.1543930555555548,1.0
1.5,40,4,0.0,0.13658091397760136,0.14575592290457934,1.178210648148138,1.0
1.5,40,5,0.0,0.08695885726878129,0.09280043694844074,1.4590634259259252,1.0
1.5,40,6,0.0,0.074611501160559,0.07962363037588714,1.5787597222222196,1.0
1.5,40,8,0.0,0.044299986534689695,0.04727589846911589,1.9980921296296315,1.0
1.5,40,10,0.0,0.03644182561445424,0.03888985488582685,2.1406476851851823,1.0
1.5,50,1,0.0,0.11944914285510201,0.10970413692701533,1.9505226851851802,1.0
1.5,50,2,0.0,0.13500112722654561,0.12398734551429888,1.5738796296296187,1.0
1.5,50,3,0.0,0.13132912528871743,0.12061491609576026,1.638731481481473,1.0
1.5,50,4,0.0,0.1221745268850836,0.1122071762595494,1.6767768518518615,1.2666666666666666
1.5,50,5,0.0,0.08726352424965356,0.08014431400843677,1.8761879629629503,1.0
1.5,50,6,0.0,0.061668372836664063,0.05663728894184077,2.1367912037036905,1.0
1.5,50,8,0.0,0.05266126060457619,0.048365002929503284,1.953825925925936,1.0
1.5,50,10,0.0,0.046365504373239365,0.04258287266759337,2.2363861111111016,1.0
1.6,10,1,1.0,0.9900487406872046,1.2953349602173891,0.08157204861111107,1.0033333333333334
1.6,10,2,1.0,0.9781858768433808,1.279814126107204,0.08270920138888885,1.0033333333333334
1.6,10,3,1.0,0.9661711068076192,1.264094544811144,0.08372569444444442,1.0058333333333336
1.6,10,4,0.9666666666666667,0.9482142379865495,1.240600590418733,0.08554774305555553,1.0041666666666667
1.6,10,5,1.0,0.9472180941246965,1.2392972808778628,0.08544835069444441,1.005
1.6,10,6,0.9,0.9250701012500832,1.2103198494746181,0.08763020833333329,1.0041666666666667
1.6,10,8,0.5333333333333333,0.8996390566582747,1.1770470218037787,0.09011284722222221,1.0025000000000002
1.6,10,10,0.23333333333333334,0.8829444494169121,1.1552045533291204,0.09185980902777774,0.995
1.6,20,1,1.0,0.9857305916918935,1.2316195950156579,0.17183246527777782,1.0045833333333334
1.6,20,2,1.0,0.9692083018205769,1.2109758449570185,0.17493012152777773,0.9991666666666668
1.6,20,3,1.0,0.9476155388576099,1.1839967999726553,0.17933203124999997,1.005
1.6,20,4,0.9666666666666667,0.9278695890198682,1.1593252528508222,0.18327213541666657,0.9974999999999999
1.6,20,5,0.8,0.9194292875628904,1.1487795309772515,0.18534592013888887,0.99625
1.6,20,6,0.3,0.889742902215927,1.1116879217620492,0.19185503472222218,0.9975
1.6,20,8,0.0,0.8487756891248268,1.0605014994054305,0.20158767361111105,0.99875
1.6,20,10,0.0,0.8236153136513514,1.0290649063725448,0.20747135416666662,0.9954166666666667
1.6,30,1,1.0,0.9815263055799481,1.1271483066252406,0.2825355902777778,0.9974999999999999
1.6,30,2,1.0,0.9553834341297959,1.0971268052983356,0.2911124131944444,0.9983333333333334
1.6,30,3,0.8,0.923205544342411,1.0601749133536829,0.3021888020833334,0.9913888888888891
1.6,30,4,0.4,0.8955593344350424,1.028427034051269,0.31192838541666656,0.9958333333333335
1.6,30,5,0.03333333333333333,0.8536732379407809,0.9803265985700695,0.3261141493055556,1.0003703703703704
1.6,30,6,0.03333333333333333,0.8195359521065013,0.9411246090745817,0.34215190972222226,1.012733097657976
1.6,30,8,0.0,0.7755876993785962,0.890656070065709,0.36277604166666677,0.9966510172143975
1.6,30,10,0.0,0.724922371600606,0.8324738918755568,0.4008884548611111,1.1125
1.6,40,1,0.7333333333333333,0.8820421133474772,0.9377008951865591,0.5399917534722223,1.5825661375661373
1.6,40,2,0.5,0.8777448229466439,0.9331324363853742,0.4724700520833334,1.0104545454545455
1.6,40,3,0.1,0.7306503236561521,0.7767559532509737,0.6009848090277778,1.1459105141555497
1.6,40,4,0.0,0.7437396270695831,0.7906712202687373,0.5605577256944445,1.4573928117170436
1.6,40,5,0.0,0.7433837570672399,0.7902928940927899,0.5769014756944445,1.0444748050303605
1.6,40,6,0.0,0.7390986755513318,0.7857374145838071,0.5471063368055555,1.0114395206243032
1.6,40,8,0.0,0.6212103611279552,0.6604100903052594,0.6556423611111112,1.004610104577293
1.6,40,10,0.0,0.6796267249049376,0.7225126540925293,0.5788441840277778,1.1562238588674774
1.6,50,1,0.23333333333333334,0.5877838142865769,0.5520818018258714,1.0040104166666666,1.7272325113786884
1.6,50,2,0.0,0.44181466814416936,0.41497882747620046,1.074033420138889,2.4496645167146323
1.6,50,3,0.06666666666666667,0.5528533119129392,0.5192729795677639,0.9535099826388891,2.3910897407595773
1.6,50,4,0.0,0.4959290174083394,0.46580626899508437,0.8644366319444445,2.82689101834959
1.6,50,5,0.0,0.5295048772938404,0.49734272980413075,0.8412204861111109,1.731073586196642
1.6,50,6,0.0,0.48362861585816597,0.4542529943285407,0.8835920138888889,1.8707791802658802
1.6,50,8,0.0,0.5424296160340214,0.5094824193947134,0.6965104166666667,4.23381290973911
1.6,50,10,0.0,0.46031292749538005,0.43235350181229826,0.7927903645833335,3.8352901788734814
1.7,10,1,1.0,0.9927456047639728,1.3013118499218217,0.07635580065359773,1.0050000000000001
1.7,10,2,1.0,0.9838311230119186,1.2896265594665515,0.07707271241830366,1.0025000000000002
1.7,10,3,1.0,0.9758036573359045,1.2791039883678645,0.07775326797385922,1.0058333333333334
1.7,10,4,1.0,0.963991008323901,1.2636197192212466,0.07881331699346708,1.0041666666666667
1.7,10,5,1.0,0.9589465093882196,1.2570072837590105,0.0792471405228789,1.0016666666666667
1.7,10,6,0.9666666666666667,0.9478480863860299,1.2424592371105159,0.0800698529411795,1.0025
1.7,10,8,0.9,0.9317509651457734,1.2213587915189643,0.08138153594771554,1.0041666666666667
1.7,10,10,0.6666666666666666,0.9127291332619906,1.1964245736097625,0.08324346405229076,0.9999999999999999
1.7,10,12,0.23333333333333334,0.8891276166220675,1.1654872084557149,0.08542687908497056,0.9983333333333333
1.7,10,15,0.1,0.8657445100713913,1.1348361398472429,0.08759313725490524,1.0041666666666667
1.7,10,18,0.0,0.8202009297415757,1.0751366554207706,0.09264869281046091,0.9966666666666667
1.7,10,20,0.0,0.8007488765415773,1.04963849434809,0.09488562091503622,1.0025
1.7,20,1,1.0,0.9846851496989679,1.2316295980226004,0.16172058823529514,1.0029166666666667
1.7,20,2,1.0,0.9746357505688957,1.219059958463475,0.16361192810457606,1.00375
1.7,20,3,1.0,0.9630258595865615,1.204538478812817,0.16552165032679841,1.0029166666666667
1.7,20,4,1.0,0.9478297561573897,1.1855314177601524,0.16843423202614474,1.0066666666666666
1.7,20,5,0.9666666666666667,0.9384780349826459,1.173834423452083,0.17063684640522964,0.9954166666666668
1.7,20,6,0.8,0.9154316096806171,1.1450082960962746,0.17489133986928204,1.0016666666666667
1.7,20,8,0.3,0.8915071832913889,1.1150839779873902,0.17960130718954315,0.9983333333333333
1.7,20,10,0.03333333333333333,0.8597932423335819,1.0754166504507483,0.1866213235294125,0.9966666666666667
1.7,30,1,1.0,0.9913029920337095,1.1410110908892899,0.2634816176470592,0.9963888888888889
1.7,30,2,1.0,0.974590161291456,1.121774262805129,0.267727941176471,0.9977777777777778
1.7,30,3,0.9,0.9189263491982212,1.0577040164022022,0.29375612745098056,1.0136111111111112
1.7,30,4,0.8666666666666667,0.9297401136183229,1.0701508921170497,0.28203594771241863,0.9947979797979798
1.7,30,5,0.6,0.9080269503377244,1.0451585736023785,0.28943300653594867,0.9877777777777778
1.7,30,6,0.3333333333333333,0.8927808181635474,1.0276099471544635,0.2947687908496735,0.995
1.7,30,8,0.0,0.8143575346453172,0.9373430590311067,0.34679697712418406,1.0718010215966192
1.7,30,10,0.0,0.809636306101358,0.9319088233084554,0.3260196078431399,0.9933333333333334
1.7,40,1,0.8333333333333334,0.9095677314894928,0.9513764583151367,0.5016384803921603,1.530543203776899
1.7,40,2,0.8333333333333334,0.8899673936459398,0.9308751813306915,0.47877859477124424,1.1655523189255597
1.7,40,3,0.6666666666666666,0.8350442768655774,0.8734274965534821,0.527858660130724,1.0734068815523174
1.7,40,4,0.43333333333333335,0.8348291968201006,0.8732025302482407,0.46409027777778106,1.087387444111766
1.7,40,5,0.3,0.7073346338767077,0.7398476171964219,0.6305077614379102,1.57117248311793
1.7,40,6,0.06666666666666667,0.7188556073269975,0.7518981578411853,0.6239244281045789,1.1250556602647233
1.7,40,8,0.0,0.6531682074290732,0.6831914043941616,0.6814603758169948,1.1138228015150227
1.7,40,10,0.0,0.6229135940182337,0.651546122841173,0.6206196895424809,1.1674564383224495
1.7,50,1,0.3,0.6631896834828265,0.5752589997225402,0.9373039215686247,1.943781302915225
1.7,50,2,0.26666666666666666,0.573471409564656,0.4974362503698114,0.9770232843137237,1.5444305573993298
1.7,50,3,0.16666666666666666,0.4780534560266404,0.4146695278544843,1.0617091503267988,2.3004323231732027
1.7,50,4,0.23333333333333334,0.5829678752261618,0.505673603081102,0.9321768790849667,5.495873360414974
1.7,50,5,0.2,0.4507611908811347,0.3909958768029258,1.1761993464052312,3.698070899659012
1.7,50,6,0.0,0.4456989182561069,0.38660479841445794,1.0243488562091556,2.2702246164282958
1.7,50,8,0.0,0.532913748779651,0.46225602975518804,0.8395661764705886,2.330142602406869
1.7,50,10,0.0,0.4910745582128406,0.4259641942304465,0.7305604575163419,4.7963750967335015
1.8,10,1,1.0,0.9932553243716865,1.3011789107782747,0.07208333333333279,1.0041666666666667
1.8,10,2,1.0,0.9854898564093096,1.2910060348851997,0.07269560185185134,1.0058333333333331
