W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.5,50.0,10.0,0.0,0,1.39,0.48,1.253892493049127,6474,0.0899166666666646,40,42,1.05
1.5,50.0,10.0,0.0,4,1.39,0.48,1.294843035179047,6339,0.0880416666666636,40,40,1.0
1.5,50.0,10.0,0.0,8,1.39,0.48,1.2914486661277371,6185,0.0859027777777752,40,40,1.0
1.5,50.0,10.0,0.0,12,1.39,0.48,1.2912627159696497,6193,0.086013888888886,40,40,1.0
1.5,50.0,10.0,0.0,16,1.39,0.48,1.33924472295514,6064,0.0842222222222194,40,41,1.025
1.5,50.0,10.0,0.0,20,1.39,0.48,1.29706762028605,6152,0.0854444444444414,40,39,0.975
1.5,50.0,10.0,0.0,24,1.39,0.48,1.3229159183673656,6125,0.0850694444444413,40,41,1.025
1.5,50.0,10.0,0.0,28,1.39,0.48,1.3336648250460403,5973,0.0829583333333311,40,38,0.95
1.5,50.0,20.0,0.0,2,1.39,0.48,1.1987954812206425,13632,0.1893333333333332,80,78,0.975
1.5,50.0,20.0,0.0,6,1.39,0.48,1.2356771472392416,13040,0.1811111111111109,80,78,0.975
1.5,50.0,20.0,0.0,10,1.39,0.48,1.2131600119189074,13424,0.1864444444444434,80,79,0.9875
1.5,50.0,20.0,0.0,14,1.39,0.48,1.1968108108108315,13690,0.1901388888888895,80,77,0.9625
1.5,50.0,20.0,0.0,18,1.39,0.48,1.2231332678207434,13229,0.1837361111111121,80,80,1.0
1.5,50.0,20.0,0.0,22,1.39,0.48,1.2573753219386847,12813,0.1779583333333331,80,80,1.0
1.5,50.0,20.0,0.0,26,1.39,0.48,1.2088217054263706,13545,0.1881249999999988,80,82,1.025
1.5,50.0,30.0,0.0,0,1.39,0.48,1.1018557808513054,22341,0.3102916666666658,120,125,1.0416666666666667
1.5,50.0,30.0,0.0,4,1.39,0.48,1.1286042056287833,21923,0.3044861111111103,120,119,0.9916666666666668
1.5,50.0,30.0,0.0,8,1.39,0.48,1.0682413328113811,22989,0.3192916666666643,120,121,1.0083333333333333
1.5,50.0,30.0,0.0,12,1.39,0.48,1.1200214347607569,21927,0.304541666666665,120,120,1.0
1.5,50.0,30.0,0.0,16,1.39,0.48,1.0994218193298826,22173,0.3079583333333332,120,123,1.025
1.5,50.0,30.0,0.0,20,1.39,0.48,1.0909505243345108,22314,0.3099166666666646,120,115,0.9583333333333334
1.5,50.0,30.0,0.0,24,1.39,0.48,1.0780460983548876,22734,0.315749999999998,120,116,0.9666666666666668
1.5,50.0,30.0,0.0,28,1.39,0.48,1.0646450889970849,23203,0.3222638888888876,120,119,0.9916666666666668
1.5,50.0,40.0,0.0,2,1.39,0.48,0.9332326335552,35154,0.4882499999999971,160,158,0.9875
1.5,50.0,40.0,0.0,6,1.39,0.48,0.9736342833368038,33649,0.4673472222222256,160,159,0.99375
1.5,50.0,40.0,0.0,10,1.39,0.48,1.0120304335869366,32727,0.4545416666666604,160,164,1.025
1.5,50.0,40.0,0.0,14,1.39,0.48,0.938537016760718,35619,0.4947083333333379,160,161,1.00625
1.5,50.0,40.0,0.0,18,1.39,0.48,0.9446619861850556,35324,0.4906111111111056,160,160,1.0
1.5,50.0,40.0,0.0,22,1.39,0.48,0.9877387902497976,33230,0.4615277777777725,160,159,0.99375
1.5,50.0,40.0,0.0,26,1.39,0.48,0.968435476584884,33205,0.461180555555555,160,158,0.9875
1.5,50.0,50.0,0.0,0,1.39,0.48,0.8249594533405067,48586,0.6748055555555693,200,199,0.995
1.5,50.0,50.0,0.0,4,1.39,0.48,0.786302020687953,49884,0.6928333333333246,123,165,1.3414634146341464
1.5,50.0,50.0,0.0,8,1.39,0.48,0.748886132245403,54414,0.7557499999999941,200,188,0.94
1.5,50.0,50.0,0.0,12,1.39,0.48,0.7613762150007142,55144,0.7658888888888749,200,192,0.96
1.5,50.0,50.0,0.0,16,1.39,0.48,0.7772699495754113,53347,0.7409305555555379,150,175,1.1666666666666667
1.5,50.0,50.0,0.0,20,1.39,0.48,0.7637175149509091,54679,0.7594305555555447,200,190,0.95
1.5,50.0,50.0,0.0,24,1.39,0.48,0.8361433837549479,39335,0.546319444444464,135,149,1.1037037037037036
1.5,50.0,50.0,0.0,28,1.39,0.48,0.6916312955337186,59983,0.8330972222222254,200,188,0.94
1.5,50.0,60.0,0.0,2,1.39,0.48,0.1116313725490468,113475,1.5760416666666583,0,0,1.0
1.5,50.0,60.0,0.0,6,1.39,0.48,0.1716613656694561,80488,1.117888888888884,0,0,1.0
1.5,50.0,60.0,0.0,10,1.39,0.48,0.7276777071272936,31611,0.4390416666666673,15,55,3.6666666666666665
