W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.8,50.0,20.0,0.0,0,1.112,0.48,1.2291859488353831,13095,0.151562500000004,80,79,0.9875
1.8,50.0,20.0,0.0,8,1.112,0.48,1.2375297891841497,13092,0.1515277777777817,80,80,1.0
1.8,50.0,20.0,0.0,16,1.112,0.48,1.2600514040202315,13034,0.1508564814814845,80,80,1.0
1.8,50.0,20.0,1.0,4,1.112,0.48,1.2522459357423,12979,0.1502199074074096,80,80,1.0
1.8,50.0,20.0,1.0,12,1.112,0.48,1.215633949880617,13408,0.1551851851851903,80,79,0.9875
1.8,50.0,20.0,2.0,0,1.112,0.48,1.1933859259259043,13500,0.1562500000000038,80,79,0.9875
1.8,50.0,20.0,2.0,8,1.112,0.48,1.1780108186079514,13865,0.1604745370370434,80,78,0.975
1.8,50.0,20.0,2.0,16,1.112,0.48,1.2135170348183988,13355,0.1545717592592629,80,81,1.0125
1.8,50.0,20.0,3.0,4,1.112,0.48,1.1941610144499808,13564,0.1569907407407442,80,78,0.975
1.8,50.0,20.0,3.0,12,1.112,0.48,1.140751654475755,14355,0.1661458333333393,80,79,0.9875
1.8,50.0,20.0,4.0,0,1.112,0.48,1.1660330283099338,13988,0.161898148148153,80,81,1.0125
1.8,50.0,20.0,4.0,8,1.112,0.48,1.0841724388152074,15159,0.1754513888888944,80,75,0.9375
1.8,50.0,20.0,4.0,16,1.112,0.48,1.1795708466685826,13748,0.1591203703703745,80,78,0.975
1.8,50.0,20.0,5.0,4,1.112,0.48,1.1598762960314233,13985,0.1618634259259299,80,78,0.975
1.8,50.0,20.0,5.0,12,1.112,0.48,1.1320762886597702,14550,0.1684027777777831,80,79,0.9875
1.8,50.0,20.0,6.0,0,1.112,0.48,1.1346764295676068,14340,0.1659722222222275,80,80,1.0
1.8,50.0,20.0,6.0,8,1.112,0.48,1.089898558462348,14984,0.1734259259259319,80,75,0.9375
1.8,50.0,20.0,6.0,16,1.112,0.48,1.1492608633910573,14084,0.1630092592592644,80,81,1.0125
