W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.5,50.0,10.0,1.0,0,1.39,0.48,0.3734983821525755,23488,0.326222222222225,24,22,0.9166666666666666
1.5,50.0,10.0,1.0,8,1.39,0.48,0.1134200184533843,58526,0.8128611111111106,0,5,1.0
1.5,50.0,10.0,1.0,16,1.39,0.48,0.3538491264131539,24325,0.3378472222222217,17,20,1.1764705882352942
1.5,50.0,10.0,1.0,24,1.39,0.48,0.4164990580425394,22294,0.3096388888888892,28,31,1.1071428571428572
1.5,50.0,10.0,2.0,2,1.39,0.48,0.3028464682871319,22751,0.3159861111111076,1,5,5.0
1.5,50.0,10.0,2.0,10,1.39,0.48,0.2558618603658273,28102,0.3903055555555577,2,5,2.5
1.5,50.0,10.0,2.0,18,1.39,0.48,0.3018279904554247,28917,0.4016249999999935,4,6,1.5
1.5,50.0,10.0,2.0,26,1.39,0.48,0.1540501374586851,42922,0.5961388888888848,0,2,1.0
1.5,50.0,10.0,3.0,4,1.39,0.48,0.1249273041215528,39961,0.5550138888888904,0,2,1.0
1.5,50.0,10.0,3.0,12,1.39,0.48,0.2435491389806841,28745,0.3992361111111066,0,2,1.0
1.5,50.0,10.0,3.0,20,1.39,0.48,0.1463063465143562,33609,0.4667916666666701,0,3,1.0
1.5,50.0,10.0,3.0,28,1.39,0.48,0.1327575442248061,50933,0.7074027777777808,0,2,1.0
1.5,50.0,10.0,4.0,6,1.39,0.48,0.0968529241459488,48356,0.6716111111111148,0,0,1.0
1.5,50.0,10.0,4.0,14,1.39,0.48,0.129295923149043,34144,0.474222222222223,0,2,1.0
1.5,50.0,10.0,4.0,22,1.39,0.48,0.1105193003320197,40362,0.5605833333333274,0,0,1.0
1.5,50.0,10.0,5.0,0,1.39,0.48,0.1244821197506314,34004,0.4722777777777818,0,0,1.0
1.5,50.0,10.0,5.0,8,1.39,0.48,0.1298287735553912,31946,0.443694444444449,0,2,1.0
1.5,50.0,10.0,5.0,16,1.39,0.48,0.1172789868769541,37034,0.5143611111111112,0,1,1.0
1.5,50.0,10.0,5.0,24,1.39,0.48,0.0897092330603347,53720,0.7461111111111253,0,2,1.0
1.5,50.0,10.0,6.0,2,1.39,0.48,0.0983565459610155,37336,0.5185555555555724,0,0,1.0
1.5,50.0,10.0,6.0,10,1.39,0.48,0.0995693939309964,36019,0.5002638888889039,0,0,1.0
1.5,50.0,10.0,6.0,18,1.39,0.48,0.1371682028489258,27449,0.3812361111111155,0,1,1.0
1.5,50.0,10.0,6.0,26,1.39,0.48,0.0805769494626159,43730,0.6073611111111238,0,0,1.0
1.5,50.0,10.0,8.0,4,1.39,0.48,0.1065999797918794,29691,0.4123750000000058,0,4,1.0
1.5,50.0,10.0,8.0,12,1.39,0.48,0.0762322782246301,34562,0.4800277777777647,0,0,1.0
1.5,50.0,10.0,8.0,20,1.39,0.48,0.0711451006548394,32984,0.4581111111111101,0,0,1.0
1.5,50.0,10.0,8.0,28,1.39,0.48,0.0868757323040779,29018,0.4030277777777867,0,0,1.0
1.5,50.0,10.0,10.0,6,1.39,0.48,0.0703689571164251,34069,0.4731805555555535,0,0,1.0
1.5,50.0,10.0,10.0,14,1.39,0.48,0.0591908708981413,44035,0.6115972222222441,0,0,1.0
1.5,50.0,10.0,10.0,22,1.39,0.48,0.0565738033443685,30439,0.4227638888888645,0,0,1.0
1.5,50.0,20.0,1.0,0,1.39,0.48,0.0741478896702143,114058,1.5841388888888814,0,3,1.0
1.5,50.0,20.0,1.0,8,1.39,0.48,0.074719463975863,111786,1.5525833333333494,0,3,1.0
1.5,50.0,20.0,1.0,16,1.39,0.48,0.3822130639014333,33849,0.4701249999999928,20,47,2.35
1.5,50.0,20.0,1.0,24,1.39,0.48,0.1382315308652165,77061,1.0702916666666538,0,10,1.0
1.5,50.0,20.0,2.0,2,1.39,0.48,0.2370956455410793,60306,0.8375833333333349,5,15,3.0
1.5,50.0,20.0,2.0,10,1.39,0.48,0.2330589476112931,60681,0.8427916666666511,5,14,2.8
1.5,50.0,20.0,2.0,18,1.39,0.48,0.2291517661174572,68342,0.949194444444441,24,41,1.7083333333333333
1.5,50.0,20.0,2.0,26,1.39,0.48,0.3722765005400769,32405,0.4500694444444424,1,17,17.0
1.5,50.0,20.0,3.0,4,1.39,0.48,0.1367011127238143,51675,0.7177083333333288,0,3,1.0
1.5,50.0,20.0,3.0,12,1.39,0.48,0.133275291659438,51687,0.7178750000000003,0,3,1.0
1.5,50.0,20.0,3.0,20,1.39,0.48,0.1863537327780123,37452,0.520166666666666,0,3,1.0
1.5,50.0,20.0,3.0,28,1.39,0.48,0.1242336898503922,49647,0.689541666666656,0,3,1.0
1.5,50.0,20.0,4.0,6,1.39,0.48,0.2319410294852419,20010,0.2779166666666656,0,4,1.0
1.5,50.0,20.0,4.0,14,1.39,0.48,0.239691639455399,32462,0.4508611111111076,0,9,1.0
1.5,50.0,20.0,4.0,22,1.39,0.48,0.162616871824646,58654,0.8146388888888925,0,7,1.0
1.5,50.0,20.0,5.0,0,1.39,0.48,0.0600179880229189,89504,1.24311111111116,0,0,1.0
1.5,50.0,20.0,5.0,8,1.39,0.48,0.1335163021048565,79959,1.110541666666675,0,10,1.0
1.5,50.0,20.0,5.0,16,1.39,0.48,0.41830647813221,15205,0.2111805555555681,0,6,1.0
