cell_id,way_id,name,highway,type,context,W_eff,width_src,L,sinuosity,cum_turn_deg,max_turn_deg,n_barriers,junc_deg_max,lat0,lon0,evidence
AMS-1073074102-0,1073074102,Postzegelmarkt,pedestrian,B,commercial,2.5,default:pedestrian,50.0,1.0502,74.4,30.7,0,1,52.370671,4.890116,"curve(sin=1.050,cum=74)"
AMS-1351790552-1,1351790552,Amstelveld,pedestrian,B,commercial,2.5,default:pedestrian,50.0,1.0502,90.4,90.2,0,1,52.362641,4.897635,"curve(sin=1.050,cum=90)"
AMS-1386681638-13,1386681638,,footway,B,residential,1.5,default:footway,20.8,1.0501,98.2,25.7,0,1,52.376632,4.899062,"curve(sin=1.050,cum=98)"
AMS-1442153735-0,1442153735,,footway,B,residential,1.5,default:footway,49.6,1.0491,86.4,44.5,0,1,52.358231,4.901682,"curve(sin=1.049,cum=86)"
AMS-234078234-1,234078234,,footway,B,residential,1.5,default:footway,16.3,1.0492,56.6,32.2,0,1,52.363267,4.871744,"curve(sin=1.049,cum=57)"
AMS-244428233-0,244428233,Kop van Jut,path,C,residential,1.2,default:path,46.8,1.0077,99.5,62.6,1,3,52.375183,4.869296,barrier=cycle_barrier
AMS-4449179-0,4449179,,footway,B,residential,1.5,default:footway,23.5,1.0489,90.6,64.6,0,2,52.363926,4.868767,"curve(sin=1.049,cum=91)"
AMS-4480498-0,4480498,Vondelpark,pedestrian,C,commercial,2.5,default:pedestrian,25.8,1.0,0.6,0.6,1,2,52.360806,4.874123,barrier=gate
AMS-4480499-0,4480499,,footway,C,residential,1.5,default:footway,46.9,1.0171,31.0,21.8,1,2,52.358557,4.873981,barrier=gate
AMS-4480626-0,4480626,,cycleway,C,residential,3.6,tag,50.0,1.0352,59.9,30.3,0,2,52.376196,4.870074,bridge=yes
AMS-4480644-0,4480644,,cycleway,C,residential,3.6,tag,47.1,1.0,116.4,116.4,1,3,52.376622,4.87043,barrier=bollard
AMS-4495978-0,4495978,Vondelpark,pedestrian,D,MRT-frontage,2.5,default:pedestrian,50.0,1.005,18.7,15.9,0,3,52.358115,4.869055,junc(deg=3)
AMS-4495979-0,4495979,Vondelpark,pedestrian,B,commercial,2.5,default:pedestrian,32.8,1.0288,40.0,16.0,0,3,52.358195,4.868604,"curve(sin=1.029,cum=40)"
AMS-4496429-0,4496429,,pedestrian,B,commercial,2.5,default:pedestrian,50.0,1.058,58.0,15.9,0,2,52.358788,4.874398,"curve(sin=1.058,cum=58)"
AMS-7370864-0,7370864,Nieuwe Jonkerstraat,pedestrian,A,commercial,2.5,default:pedestrian,50.0,1.0,0,0.0,0,1,52.373325,4.902696,straight
AMS-7370881-0,7370881,Geldersesteeg,footway,C,residential,1.5,default:footway,42.7,1.0,0.9,0.9,1,2,52.374402,4.902493,barrier=gate
AMS-7371505-0,7371505,Reguliersdwarsstraat,residential,D,MRT-frontage,4.0,tag,50.0,1.0004,3.5,3.3,0,6,52.366087,4.893111,junc(deg=6)
AMS-7371505-3,7371505,Reguliersdwarsstraat,residential,D,MRT-frontage,4.0,tag,44.0,1.001,7.3,6.2,0,6,52.365798,4.895269,junc(deg=6)
