cell_id,way_id,name,highway,type,context,W_eff,width_src,L,sinuosity,cum_turn_deg,max_turn_deg,n_barriers,junc_deg_max,lat0,lon0,evidence
LON-1220560922-0,1220560922,,footway,B,residential,1.5,default:footway,50.0,1.05,94.2,28.5,0,3,51.510747,-0.134056,"curve(sin=1.050,cum=94)"
LON-227726113-0,227726113,,,D,MRT-frontage,1.5,default:?,50.0,1.0,0,0.0,0,7,51.50699,-0.121334,junc(deg=7)
LON-227726725-0,227726725,,,D,MRT-frontage,1.5,default:?,50.0,1.0,0,0.0,0,7,51.50699,-0.121334,junc(deg=7)
LON-4082521-0,4082521,Soho Square,residential,B,residential,1.5,default:residential,50.0,1.189,89.8,21.2,0,2,51.515651,-0.132443,"curve(sin=1.189,cum=90)"
LON-4082521-1,4082521,Soho Square,residential,A,residential,1.5,default:residential,50.0,1.0,0.1,0.1,0,2,51.515638,-0.131836,straight
LON-4082521-2,4082521,Soho Square,residential,B,residential,1.5,default:residential,22.8,1.0973,63.7,28.3,0,2,51.515226,-0.131545,"curve(sin=1.097,cum=64)"
LON-4082523-0,4082523,Sutton Row,unclassified,A,residential,1.5,default:unclassified,40.2,1.0,0,0.0,0,2,51.515467,-0.13156,straight
LON-4082553-0,4082553,Gerrard Street,pedestrian,A,commercial,2.5,default:pedestrian,44.6,1.0001,1.5,1.3,0,2,51.511432,-0.132052,straight
LON-4082554-0,4082554,Newport Court,pedestrian,A,commercial,2.5,default:pedestrian,50.0,1.0,0,0.0,0,2,51.511976,-0.129447,straight
LON-4082560-0,4082560,Macclesfield Street,unclassified,A,residential,1.5,default:unclassified,17.3,1.0,0,0.0,0,2,51.512005,-0.131324,straight
LON-4082592-0,4082592,Bear Street,pedestrian,C,commercial,2.5,default:pedestrian,47.7,1.0,13.6,13.6,1,3,51.511048,-0.129504,barrier=block
LON-4244822-0,4244822,Bainbridge Street,unclassified,A,residential,1.5,default:unclassified,47.0,1.0,0.0,0.0,0,1,51.517082,-0.127952,straight
LON-4244822-1,4244822,Bainbridge Street,unclassified,A,residential,1.5,default:unclassified,50.0,1.0032,9.6,9.6,0,1,51.516952,-0.128598,straight
LON-4244822-2,4244822,Bainbridge Street,unclassified,B,residential,1.5,default:unclassified,32.5,1.2278,76.2,46.4,0,1,51.516789,-0.129269,"curve(sin=1.228,cum=76)"
LON-4253167-0,4253167,,footway,A,residential,1.5,default:footway,50.0,1.0,0,0.0,0,2,51.514704,-0.120649,straight
LON-4253884-0,4253884,Green's Court,footway,C,residential,1.5,default:footway,49.0,1.0,0.1,0.1,1,2,51.512246,-0.134212,barrier=kerb
LON-4259165-1,4259165,Bateman's Buildings,footway,C,residential,1.5,default:footway,44.7,1.0,0,0.0,1,2,51.514523,-0.131653,barrier=bollard
LON-4259243-0,4259243,Carlisle Street,cycleway,C,residential,1.2,tag,28.2,1.0,0.0,0.0,0,1,51.515055,-0.134123,narrow_width=1.2
LON-4260255-0,4260255,Bedford Court,footway,C,residential,1.5,default:footway,17.5,1.0,32.6,32.5,1,2,51.510535,-0.124997,barrier=bollard
LON-4260257-0,4260257,Brydges Place,footway,C,residential,1.0,tag,50.0,1.0,0.8,0.8,0,3,51.509714,-0.126815,narrow_width=1
LON-4260257-1,4260257,Brydges Place,footway,C,residential,1.0,tag,31.8,1.0,0.3,0.3,0,3,51.509779,-0.126101,narrow_width=1
LON-4260262-0,4260262,Inigo Place,footway,C,residential,1.5,default:footway,25.6,1.0,35.2,35.2,1,1,51.511089,-0.124725,barrier=gate
LON-4260262-1,4260262,Inigo Place,footway,C,residential,1.5,default:footway,17.6,1.0,36.1,36.1,1,1,51.511222,-0.124423,barrier=gate
