way,label,cell,lat,lon,context,d_mrt_m,bld_res,bld_com,bld_ind,n_amen,W_lo,W_hi,q_p_peak_lo,q_p_peak_hi,q_p_off_lo,q_p_off_hi
253918225,Bendemeer E side (north),0,1.319795,103.864566,residential,295.0,2,0,2,1,1.5,1.8,8.2,19.8,2.0,5.0
253918225,Bendemeer E side (north),1,1.319407,103.864338,residential,264.0,2,0,4,1,1.5,1.8,8.2,19.8,2.0,5.0
253918225,Bendemeer E side (north),2,1.319022,103.864107,residential,239.0,2,0,4,1,1.5,1.8,8.2,19.8,2.0,5.0
253918225,Bendemeer E side (north),3,1.318649,103.863857,residential,221.0,2,1,3,3,1.5,1.8,8.2,19.8,2.0,5.0
253918225,Bendemeer E side (north),4,1.318295,103.86358,residential,209.0,2,1,2,2,1.5,1.8,8.2,19.8,2.0,5.0
253918225,Bendemeer E side (north),5,1.317942,103.863302,residential,209.0,3,1,1,1,1.5,1.8,8.2,19.8,2.0,5.0
253918225,Bendemeer E side (north),6,1.317589,103.863023,residential,220.0,2,1,1,2,1.5,1.8,8.2,19.8,2.0,5.0
253918225,Bendemeer E side (north),7,1.317236,103.862744,residential,233.0,1,1,1,3,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),0,1.317065,103.86283,residential,249.0,1,1,3,3,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),1,1.317425,103.863099,residential,240.0,2,1,1,2,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),2,1.317785,103.863369,residential,227.0,2,0,2,2,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),3,1.318143,103.863641,residential,224.0,2,1,2,1,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),4,1.3185,103.863913,residential,232.0,2,0,4,1,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),5,1.31886,103.864183,residential,250.0,2,0,4,0,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),6,1.319237,103.864428,residential,273.0,2,0,4,1,1.5,1.8,8.2,19.8,2.0,5.0
253918226,Bendemeer W side (south),7,1.319614,103.864674,residential,303.0,1,0,3,1,1.5,1.8,8.2,19.8,2.0,5.0
481099780,Bendemeer junction spur,0,1.320018,103.86493,residential,340.0,0,0,2,3,1.5,1.8,8.2,19.8,2.0,5.0
661246488,Bendemeer E side (south),0,1.31696,103.862255,residential,198.0,2,2,1,2,1.5,1.8,8.2,19.8,2.0,5.0
661246488,Bendemeer E side (south),1,1.317213,103.861883,MRT-frontage,148.0,2,2,0,1,2.2,3.0,78.0,117.0,19.5,29.2
661246488,Bendemeer E side (south),2,1.317495,103.861533,MRT-frontage,98.0,2,1,0,0,2.2,3.0,78.0,117.0,19.5,29.2
661246488,Bendemeer E side (south),3,1.317773,103.86118,MRT-frontage,49.0,2,1,0,0,2.2,3.0,78.0,117.0,19.5,29.2
661246488,Bendemeer E side (south),4,1.318051,103.860827,MRT-frontage,14.0,2,1,0,0,2.2,3.0,78.0,117.0,19.5,29.2
873552517,Bendemeer W side (mid),0,1.320895,103.865491,commercial,431.0,5,0,0,5,2.0,2.5,33.8,56.2,8.4,14.1
873552517,Bendemeer W side (mid),1,1.321266,103.865746,commercial,475.0,2,0,0,12,2.0,2.5,33.8,56.2,8.4,14.1
873552517,Bendemeer W side (mid),2,1.321635,103.866002,commercial,520.0,4,0,0,19,2.0,2.5,33.8,56.2,8.4,14.1
873552517,Bendemeer W side (mid),3,1.322003,103.866261,commercial,563.0,3,0,0,22,2.0,2.5,33.8,56.2,8.4,14.1
873552517,Bendemeer W side (mid),4,1.32238,103.866506,commercial,562.0,4,0,0,25,2.0,2.5,33.8,56.2,8.4,14.1
