scenario_id,W,robot_radius,robot_effective_diameter,walkable_area,robot_center_feasible_area,status
HK-ST-01,1.501,0.48,0.96,53.301272204374456,18.868321623279538,FEASIBLE
HK-ST-02,1.196,0.48,0.96,10.765764717895083,1.0219279789347322,FEASIBLE
HK-ST-03,1.554,0.48,0.96,77.6301725836195,28.91949734482451,FEASIBLE
HK-ST-04,0.995,0.48,0.96,32.457670540590286,4.274234984102648,FEASIBLE
HK-ST-05,1.613,0.48,0.96,56.21844710762431,21.23327982242562,FEASIBLE
HK-ST-06,1.618,0.48,0.96,81.27050808514333,32.617005192988586,FEASIBLE
HK-ST-07,6.676,0.48,0.96,140.0297794646575,92.18370449585072,FEASIBLE
HK-ST-08,1.898,0.48,0.96,95.02567889861912,46.14831015212348,FEASIBLE
HK-ST-09,1.957,0.48,0.96,98.08907623176019,49.12121686523061,FEASIBLE
HK-ST-10,1.564,0.48,0.96,34.95020923288574,11.04468782314639,FEASIBLE
HK-ST-11,1.985,0.48,0.96,99.24247701880172,50.25846239394639,FEASIBLE
HK-ST-12,2.162,0.48,0.96,108.11926629127424,58.96497460235591,FEASIBLE
HK-ST-13,2.055,0.48,0.96,102.2007770882731,53.218999857902176,FEASIBLE
HK-ST-14,2.002,0.48,0.96,96.45761027956115,46.910083584063365,FEASIBLE
HK-ST-15,2.197,0.48,0.96,101.6234180630083,56.88472138735307,FEASIBLE
HK-ST-16,2.068,0.48,0.96,82.31562786840796,44.1939354896661,FEASIBLE
HK-ST-17,2.034,0.48,0.96,32.13776591939558,14.13467336451778,FEASIBLE
HK-ST-18,2.228,0.48,0.96,111.36026957990322,62.14371217320627,FEASIBLE
HK-ST-19,2.077,0.48,0.96,94.55571813623528,50.401898159346814,FEASIBLE
HK-ST-20,2.067,0.48,0.96,112.40264789349672,61.062899043232086,FEASIBLE
HK-ST-21,2.475,0.48,0.96,123.32441665213396,74.0647916750533,FEASIBLE
HK-ST-22,2.475,0.48,0.96,124.83007338409442,74.91462926120384,FEASIBLE
HK-ST-23,4.853,0.48,0.96,20.335720222548964,12.117117134417363,FEASIBLE
HK-ST-24,2.472,0.48,0.96,99.70449393597308,54.43302163597507,FEASIBLE
HK-ST-25,2.632,0.48,0.96,131.62024947302788,81.969537103202,FEASIBLE
HK-ST-26,2.04,0.48,0.96,42.22902740695696,18.83197133849213,FEASIBLE
HK-ST-27,2.362,0.48,0.96,139.5065445175663,89.66917440475385,FEASIBLE
HK-ST-28,2.54,0.48,0.96,127.11058838550629,77.41814727503628,FEASIBLE
HK-ST-29,2.452,0.48,0.96,135.5855045641268,82.41518697274697,FEASIBLE
HK-ST-30,2.544,0.48,0.96,127.27079454838145,77.7485765376207,FEASIBLE
HK-ST-31,3.047,0.48,0.96,115.04592478531195,72.79453304463462,FEASIBLE
HK-ST-32,3.001,0.48,0.96,113.71455274595795,75.01838374843494,FEASIBLE
