scenario_id,cell_id,city,W,robot_radius,robot_effective_diameter,walkable_area,robot_center_feasible_area,status,centerline
AMS-amsterdam-chain-77474-550|qp3,AMS-amsterdam-chain-77474-550,amsterdam,0.643,0.48,0.96,32.18071886136994,0.0,OUT_OF_DOMAIN_GEOMETRY,"[[0.0, 0.0], [-0.485, -0.036], [-15.069, 0.656], [-50.038, 0.583]]"
AMS-amsterdam-chain-75190-0|qp4,AMS-amsterdam-chain-75190-0,amsterdam,0.91,0.48,0.96,45.38621091281301,0.0,OUT_OF_DOMAIN_GEOMETRY,"[[0.0, 0.0], [-31.697, 31.937], [-34.97, 35.558]]"
AMS-amsterdam-chain-66173-0|qp6,AMS-amsterdam-chain-66173-0,amsterdam,1.208,0.48,0.96,60.044335315962,12.088902746985582,FEASIBLE,"[[0.0, 0.0], [-0.506, 49.703]]"
AMS-amsterdam-chain-15655-200|qp7,AMS-amsterdam-chain-15655-200,amsterdam,1.319,0.48,0.96,65.97647968963878,17.61256713311622,FEASIBLE,"[[0.0, 0.0], [47.419, -15.92]]"
AMS-amsterdam-chain-32447-100|qp7,AMS-amsterdam-chain-32447-100,amsterdam,1.352,0.48,0.96,66.0803593644704,18.007334501818228,FEASIBLE,"[[0.0, 0.0], [0.271, -1.944], [-1.91, -4.739], [-1.822, -5.437], [1.073, -7.682], [6.582, -47.161]]"
AMS-amsterdam-chain-32674-0|qp7,AMS-amsterdam-chain-32674-0,amsterdam,1.323,0.48,0.96,64.51976801774303,16.248143968109673,FEASIBLE,"[[0.0, 0.0], [2.85, 1.364], [6.497, 1.194], [18.836, -2.298], [20.681, -3.772], [20.733, -3.787], [29.868, -6.424], [34.056, -6.299], [35.053, -2.739], [36.49, -0.894], [38.656, 6.976]]"
AMS-amsterdam-chain-7530-50|qp8,AMS-amsterdam-chain-7530-50,amsterdam,1.529,0.48,0.96,76.36068872613245,27.8705238228707,FEASIBLE,"[[0.0, 0.0], [41.0, 28.516]]"
AMS-amsterdam-chain-77474-550|qp8,AMS-amsterdam-chain-77474-550,amsterdam,0.643,0.48,0.96,32.18071886136994,0.0,OUT_OF_DOMAIN_GEOMETRY,"[[0.0, 0.0], [-0.485, -0.036], [-15.069, 0.656], [-50.038, 0.583]]"
AMS-amsterdam-chain-79104-0|qp8,AMS-amsterdam-chain-79104-0,amsterdam,1.662,0.48,0.96,82.9139694698728,34.241205475491306,FEASIBLE,"[[0.0, 0.0], [39.825, -15.097], [45.817, -19.455]]"
AMS-amsterdam-chain-141619-0|qp10,AMS-amsterdam-chain-141619-0,amsterdam,2.098,0.48,0.96,103.66213006584346,54.85512251523231,FEASIBLE,"[[0.0, 0.0], [-0.029, 3.186], [-0.884, 4.039], [-1.372, 47.264], [-1.28, 49.35]]"
AMS-amsterdam-chain-173340-0|qp10,AMS-amsterdam-chain-173340-0,amsterdam,1.96,0.48,0.96,97.2608789363485,48.51445984722429,FEASIBLE,"[[0.0, 0.0], [25.491, 5.447], [26.197, 4.995], [31.153, -17.452]]"
AMS-amsterdam-chain-3511-0|qp10,AMS-amsterdam-chain-3511-0,amsterdam,1.969,0.48,0.96,96.54068847532798,47.775944700939995,FEASIBLE,"[[0.0, 0.0], [-0.316, -0.46], [3.644, -20.96], [4.151, -23.761], [7.776, -25.935], [9.084, -27.827], [11.317, -29.353], [27.39, -26.369]]"
AMS-amsterdam-chain-95719-50|qp10,AMS-amsterdam-chain-95719-50,amsterdam,2.062,0.48,0.96,102.21469639477078,53.33597498155291,FEASIBLE,"[[0.0, 0.0], [-5.141, -5.057], [-6.81, -6.02], [-7.444, -5.849], [-31.756, 18.743], [-32.332, 18.749], [-35.835, 22.225]]"
AMS-amsterdam-chain-166482-0|qp11,AMS-amsterdam-chain-166482-0,amsterdam,2.267,0.48,0.96,112.1996344465178,62.95489658521508,FEASIBLE,"[[0.0, 0.0], [-2.716, 1.321], [-4.687, 3.279], [-12.051, 6.394], [-14.715, 6.368], [-20.597, 8.735], [-22.968, 10.884], [-28.927, 13.43], [-31.615, 13.715], [-37.729, 16.625], [-45.315, 19.294]]"
AMS-amsterdam-chain-45268-50|qp11,AMS-amsterdam-chain-45268-50,amsterdam,2.166,0.48,0.96,108.28879014972242,59.130177672558744,FEASIBLE,"[[0.0, 0.0], [-16.645, -6.603], [-45.902, -19.796]]"
