dataset,tag,qr,seed,spec_hash,run_directory,status,exit_code,entrance_version,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,ped_planned_window,ped_cohort_observed_by_end,ped_fcd_first_window,ped_never_observed,ped_stock_100,ped_stock_339,robot_planned_window,robot_cohort_observed_by_end,robot_fcd_first_window,robot_never_observed,robot_stock_100,robot_stock_339,count_caveat,wall_seconds,peak_sumo_rss_bytes
Development,DC-063|qp35.3,0,10001,bd45ec864a74c39a9255e4dfc73413dc0535e6802629f872d1725f819cd9440c,runs\bd45ec864a74c39a9255e4dfc73413dc0535e6802629f872d1725f819cd9440c,COMPLETED_DIAGNOSTIC,0,historical,1.1481329290672642,25066,0.26643282312925415,142,139,0.9788732394366197,142,142,142,0,24,26,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.75,21983232
Development,DC-063|qp35.3,0,10000,5d3335e73ef8ec306b1b0fa150aac914fb9fc72fc19f462f6e4213e52d2e0602,runs\5d3335e73ef8ec306b1b0fa150aac914fb9fc72fc19f462f6e4213e52d2e0602,COMPLETED_DIAGNOSTIC,0,historical,1.1584474327627996,24540,0.2608418367346961,142,141,0.9929577464788732,142,142,142,0,27,26,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.765000000130385,22089728
Development,DC-063|qp35.3,0,10002,4f6aa55efd9e6cb3c1deb03bcee60f110dee783dd0d8647de1f98f527a5f1447,runs\4f6aa55efd9e6cb3c1deb03bcee60f110dee783dd0d8647de1f98f527a5f1447,COMPLETED_DIAGNOSTIC,0,historical,1.1388846184642447,24978,0.26549744897959354,142,142,1.0,142,142,142,0,29,28,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.780999999959022,22089728
Development,DC-063|qp35.3,0,10003,69d96d3dcd191071de43baf246f7e7a49b9629d361110cd6536b956dfbd48813,runs\69d96d3dcd191071de43baf246f7e7a49b9629d361110cd6536b956dfbd48813,COMPLETED_DIAGNOSTIC,0,historical,1.1349710937500261,25600,0.27210884353741766,142,140,0.9859154929577465,142,142,142,0,24,25,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.780999999959022,21995520
Development,DC-063|qp35.3,0,10007,d7942a84c3c61531f0f0544d32bfa150769d5d9145b256fcce742b420e27c63e,runs\d7942a84c3c61531f0f0544d32bfa150769d5d9145b256fcce742b420e27c63e,COMPLETED_DIAGNOSTIC,0,historical,1.1388331546129857,25179,0.26763392857143015,142,141,0.9929577464788732,142,142,142,0,25,24,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.219000000040978,22011904
Development,DC-063|qp35.3,0,10004,dc04dfab6ef7713399ca4c3056befbdb0e56d46a93d5773b2afc4e5b8909c590,runs\dc04dfab6ef7713399ca4c3056befbdb0e56d46a93d5773b2afc4e5b8909c590,COMPLETED_DIAGNOSTIC,0,historical,1.1309021816177558,25394,0.269919217687078,142,141,0.9929577464788732,142,142,142,0,27,27,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.312000000150874,22028288
Development,DC-063|qp35.3,0,10006,ddadd9ce2630d3c78638df7a02b7d3bb162593cc4eebc6103c71dd463b0e64db,runs\ddadd9ce2630d3c78638df7a02b7d3bb162593cc4eebc6103c71dd463b0e64db,COMPLETED_DIAGNOSTIC,0,historical,1.1212176297747662,25525,0.27131164965986515,142,140,0.9859154929577465,142,142,142,0,26,27,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.437000000150874,22114304
Development,DC-063|qp35.3,0,10005,4afdb38b91bebf2904f28d5247a3749b2d400db2ac1162493ace7762b76b0550,runs\4afdb38b91bebf2904f28d5247a3749b2d400db2ac1162493ace7762b76b0550,COMPLETED_DIAGNOSTIC,0,historical,1.1186653177166395,25699,0.2731611394557842,142,142,1.0,142,142,142,0,25,24,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.437000000150874,22011904
Development,DC-063|qp35.3,0,10009,42546c07b940e2c37d28735ecbccb34ab2147b013996863aea6fe3c86e243319,runs\42546c07b940e2c37d28735ecbccb34ab2147b013996863aea6fe3c86e243319,COMPLETED_DIAGNOSTIC,0,historical,1.125166718847879,25552,0.2715986394557843,142,139,0.9788732394366197,142,142,142,0,24,26,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.094000000040978,22056960
Development,DC-063|qp35.3,0,10011,a8bc8583b1abde730a7d2839e835300a98ff4b324aaffea1fd7566c9c35ab9c8,runs\a8bc8583b1abde730a7d2839e835300a98ff4b324aaffea1fd7566c9c35ab9c8,COMPLETED_DIAGNOSTIC,0,historical,1.1759538024458236,24287,0.25815263605442357,142,144,1.0140845070422535,142,142,142,0,27,24,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.187999999849126,21999616
Development,DC-063|qp35.3,0,10008,ed05a32605bbf93e21c0d209c3b8f8018550564fd57a33ed04c230993a3a8a2a,runs\ed05a32605bbf93e21c0d209c3b8f8018550564fd57a33ed04c230993a3a8a2a,COMPLETED_DIAGNOSTIC,0,historical,1.1443375507280416,25134,0.26715561224490036,142,143,1.0070422535211268,142,142,142,0,27,24,0,0,0,0,0,0,"FCD first observation is presence, not verified JuPedSim insertion; saved timestamps use the actual engine output step despite the requested 1-second device period. See per-agent first-position-update audit. Schedule inferred from deterministic personFlow.",5.233999999938533,22212608
