combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,vbar,base_pass,qr_star_mean,above_upper,qr_star_per_seed,qr_star,pass_frac_at_star,pass_frac_at_next
DC-018|qp11.6,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,11.6,18.04,1.0003,0.022,0,0.0,0,0.0,0.0,,
DC-019|qp15.4,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,15.4,23.95,1.0003,0.012,0,0.0,0,0.0,0.0,,
DC-021|qp16.4,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,16.4,18.022,1.0001,0.044,0,0.0,0,0.0,0.0,,
DC-020|qp19.3,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,19.3,30.016,1.0003,0.006,0,0.0,0,0.0,0.0,,
DC-022|qp21.8,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,21.8,23.956,1.0001,0.027,0,0.0,0,0.0,0.0,,
DC-023|qp27.3,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,27.3,30.0,1.0001,0.017,0,0.0,0,0.0,0.0,,
DC-024|qp35.3,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,35.3,18.01,1.3994,0.0,0,0.0,0,0.0,0.0,,
DC-027|qp35.4,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,35.4,17.979,1.3121,0.0,0,0.0,0,0.0,0.0,,
DC-025|qp47.0,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,47.0,23.98,1.3994,0.0,0,0.0,0,0.0,0.0,,
DC-028|qp47.3,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,47.3,24.022,1.3121,0.0,0,0.0,0,0.0,0.0,,
DC-030|qp50.3,AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,50.0,50.3,17.99,1.0839,1.176,1,6.0,0,4.0,4.0,0.733,0.1
DC-026|qp58.8,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,58.8,30.0,1.3994,0.0,0,0.0,0,0.0,0.0,,
DC-029|qp59.1,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,59.1,30.015,1.3121,0.0,0,0.0,0,0.0,0.0,,
DC-033|qp65.7,AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,50.0,65.7,17.995,1.0464,0.0,0,0.0,0,0.0,0.0,,
DC-031|qp67.1,AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,50.0,67.1,23.999,1.0839,0.798,0,0.0,0,0.0,0.0,,
DC-032|qp83.9,AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,50.0,83.9,30.007,1.0839,0.25,0,0.0,0,0.0,0.0,,
DC-034|qp87.6,AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,50.0,87.6,23.993,1.0464,0.0,0,0.0,0,0.0,0.0,,
DC-035|qp109.5,AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,50.0,109.5,29.992,1.0464,0.0,0,0.0,0,0.0,0.0,,
DC-036|qp3.8,MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,50.0,3.8,18.182,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-037|qp5.0,MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,50.0,5.0,23.923,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-039|qp5.5,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,50.0,5.5,18.033,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-038|qp6.3,MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,50.0,6.3,30.144,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-040|qp7.3,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,50.0,7.3,23.934,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-041|qp9.2,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,50.0,9.2,30.164,1.0,0.0,1,0.0,0,0.0,0.0,,0.0
DC-042|qp30.5,MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,50.0,30.5,17.973,1.0,1.152,1,2.0,0,1.0,1.0,0.9,0.667
DC-045|qp31.5,MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,50.0,31.5,18.01,1.0,1.158,1,4.0,0,1.0,1.0,0.8,0.633
DC-043|qp40.7,MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,50.0,40.7,23.984,1.0,1.008,1,1.0,0,0.0,0.0,0.833,0.633
DC-046|qp42.0,MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,50.0,42.0,24.014,1.0,1.057,1,1.0,0,0.0,0.0,0.833,0.667
DC-048|qp49.0,MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,50.0,49.0,18.001,1.0,1.2,1,10.0,0,8.0,8.0,0.733,0.2
DC-044|qp50.9,MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,50.0,50.9,29.994,1.0,0.7,1,0.0,0,0.0,0.0,,0.233
DC-047|qp52.5,MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,50.0,52.5,30.017,1.0,0.902,1,0.0,0,0.0,0.0,,0.633
DC-051|qp65.0,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,50.0,65.0,18.011,1.0,1.15,1,8.0,0,6.0,6.0,0.6,0.167
DC-049|qp65.3,MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,50.0,65.3,23.99,1.0,1.136,1,3.0,0,0.0,0.0,0.833,0.5
DC-050|qp81.7,MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,50.0,81.7,30.015,1.0,0.944,1,0.0,0,0.0,0.0,,0.333
DC-052|qp86.6,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,50.0,86.6,23.996,1.0,0.97,1,6.0,0,3.0,3.0,0.8,0.233
DC-053|qp108.3,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,50.0,108.3,30.008,1.0,0.888,1,0.0,0,0.0,0.0,,0.7
DC-072|qp20.2,NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,50.0,20.2,18.036,1.0,1.004,1,0.0,0,0.0,0.0,,0.0
DC-075|qp25.2,NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,50.0,25.2,18.0,1.0,1.219,1,0.0,0,0.0,0.0,,0.0
DC-073|qp26.9,NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,50.0,26.9,24.018,1.0,0.9,1,0.0,0,0.0,0.0,,0.0
DC-078|qp30.8,NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,50.0,30.8,18.012,1.0,1.157,1,3.0,0,3.0,3.0,0.967,0.8
DC-081|qp31.3,NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,50.0,31.3,17.989,1.0,1.163,1,3.0,0,2.0,2.0,0.867,0.7
DC-074|qp33.6,NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,50.0,33.6,30.0,1.0,0.794,1,0.0,0,0.0,0.0,,0.0
DC-076|qp33.6,NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,50.0,33.6,24.0,1.0,1.138,1,0.0,0,0.0,0.0,,0.0
DC-079|qp41.0,NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,50.0,41.0,23.977,1.0,1.035,1,1.0,0,0.0,0.0,0.767,0.667
DC-082|qp41.8,NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,50.0,41.8,24.023,1.0,1.044,1,1.0,0,0.0,0.0,0.7,0.467
DC-077|qp42.0,NTP-newtaipei-idx3916-0-1,newtaipei,NTP,C,MRT-frontage,1.4,50.0,42.0,30.0,1.0,1.048,1,0.0,0,0.0,0.0,,0.0
DC-084|qp44.3,NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,50.0,44.3,18.008,1.0,1.204,1,10.0,0,8.0,8.0,0.767,0.4
DC-080|qp51.3,NTP-newtaipei-idx13776-0-2,newtaipei,NTP,A,residential,1.71,50.0,51.3,30.0,1.0,0.771,1,0.0,0,0.0,0.0,,0.5
DC-083|qp52.2,NTP-newtaipei-idx6919-0-0,newtaipei,NTP,A,residential,1.74,50.0,52.2,30.0,1.0,0.877,1,0.0,0,0.0,0.0,,0.4
DC-085|qp59.0,NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,50.0,59.0,23.984,1.0,1.157,1,4.0,0,2.0,2.0,0.8,0.533
DC-086|qp73.8,NTP-newtaipei-idx251-0-0,newtaipei,NTP,A,residential,2.46,50.0,73.8,30.0,1.0,1.077,1,0.0,0,0.0,0.0,,0.4
DC-087|qp89.6,NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,50.0,89.6,17.992,1.0,0.982,1,15.0,0,6.0,6.0,0.7,0.233
DC-088|qp119.5,NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,50.0,119.5,23.996,1.0,0.952,1,6.0,0,0.0,0.0,0.633,0.3
DC-089|qp149.4,NTP-newtaipei-idx11808-0-1,newtaipei,NTP,A,residential,4.98,50.0,149.4,30.0,1.0,0.762,1,4.0,0,0.0,0.0,0.6,0.5
DC-000|qp13.7,NYC-nyc-10517-0-3,nyc,NYC,C,residential,0.762,50.0,13.7,17.979,1.0,0.02,0,0.0,0,0.0,0.0,,
DC-003|qp15.4,NYC-nyc-53282-0-0,nyc,NYC,C,residential,0.853,50.0,15.4,18.054,1.0,0.023,0,0.0,0,0.0,0.0,,
DC-001|qp18.3,NYC-nyc-10517-0-3,nyc,NYC,C,residential,0.762,50.0,18.3,24.016,1.0,0.01,0,0.0,0,0.0,0.0,,
