W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,timed_out,tag
0.762,50.0,13.7,0.0,0,1.39,0.48,0.0216353477337962,96108,2.6276246719160814,0,0,1.0,0,DC-000|qp13.7
0.762,50.0,13.7,0.0,12,1.39,0.48,0.0195873438767601,99841,2.729686132983503,0,0,1.0,0,DC-000|qp13.7
0.762,50.0,13.7,0.0,24,1.39,0.48,0.0203705654719655,98714,2.6988735783028206,0,0,1.0,0,DC-000|qp13.7
0.762,50.0,18.3,0.0,6,1.39,0.48,0.0100104032633386,109581,2.995980971128786,0,0,1.0,0,DC-001|qp18.3
0.762,50.0,18.3,0.0,18,1.39,0.48,0.0102337105923661,108767,2.97372594050762,0,0,1.0,0,DC-001|qp18.3
0.762,50.0,22.9,0.0,0,1.39,0.48,0.0065138758401384,110696,3.026465441819904,0,0,1.0,0,DC-002|qp22.9
0.762,50.0,22.9,0.0,12,1.39,0.48,0.0050810583567616,114177,3.1216371391077744,0,0,1.0,0,DC-002|qp22.9
0.762,50.0,22.9,0.0,24,1.39,0.48,0.0050461186056878,114379,3.12715988626438,0,0,1.0,0,DC-002|qp22.9
0.853,50.0,15.4,0.0,6,1.39,0.48,0.0229679104353531,120226,2.9363520906603884,0,0,1.0,0,DC-003|qp15.4
0.853,50.0,15.4,0.0,18,1.39,0.48,0.022674435034124,120317,2.938574638530623,0,0,1.0,0,DC-003|qp15.4
0.853,50.0,20.5,0.0,0,1.39,0.48,0.0148229729627269,131929,3.222181516217132,0,0,1.0,0,DC-004|qp20.5
0.853,50.0,20.5,0.0,12,1.39,0.48,0.0129284179325645,134950,3.295965220789272,0,0,1.0,0,DC-004|qp20.5
0.853,50.0,20.5,0.0,24,1.39,0.48,0.0125634519638548,135575,3.311229972645457,0,0,1.0,0,DC-004|qp20.5
0.853,50.0,25.6,0.0,6,1.39,0.48,0.0077386700756591,143933,3.515362446267888,0,0,1.0,0,DC-005|qp25.6
0.853,50.0,25.6,0.0,18,1.39,0.48,0.009058593832897,141363,3.452593786635197,0,0,1.0,0,DC-005|qp25.6
1.676,50.0,30.2,0.0,0,1.39,0.48,1.161828326584447,21238,0.2639966189339729,120,120,1.0,0,DC-006|qp30.2
1.676,50.0,30.2,0.0,12,1.39,0.48,1.208550604118797,20443,0.2541144590294375,120,122,1.0166666666666666,0,DC-006|qp30.2
1.676,50.0,30.2,0.0,24,1.39,0.48,1.165125680971,20926,0.2601183373110631,120,118,0.9833333333333332,0,DC-006|qp30.2
1.676,50.0,40.2,0.0,6,1.39,0.48,1.072079033810071,30139,0.3746395186953073,160,154,0.9625,0,DC-007|qp40.2
