combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,ood_flags,vbar,base_pass,qr_star,above_upper
DC-018,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,11.6,18.04,1.0003,W<W_min,0.022,False,0.0,False
DC-019,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,15.4,23.95,1.0003,W<W_min,0.012,False,0.0,False
DC-021,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,16.4,18.022,1.0001,W<W_min,0.044,False,0.0,False
DC-020,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,19.3,30.016,1.0003,W<W_min,0.006,False,0.0,False
DC-022,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,21.8,23.956,1.0001,W<W_min,0.027,False,0.0,False
DC-023,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,27.3,30.0,1.0001,W<W_min,0.017,False,0.0,False
DC-024,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,35.3,18.01,1.3994,,0.0,False,0.0,False
DC-027,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,35.4,17.979,1.3121,,0.0,False,0.0,False
DC-025,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,47.0,23.98,1.3994,,0.0,False,0.0,False
DC-028,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,47.3,24.022,1.3121,,0.0,False,0.0,False
DC-030,AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,50.0,50.3,17.99,1.0839,,1.176,True,6.0,False
DC-026,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,58.8,30.0,1.3994,,0.0,False,0.0,False
DC-029,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,59.1,30.015,1.3121,,0.0,False,0.0,False
DC-033,AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,50.0,65.7,17.995,1.0464,qp>60,0.0,False,0.0,False
DC-031,AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,50.0,67.1,23.999,1.0839,qp>60,0.798,False,0.0,False
DC-032,AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,50.0,83.9,30.007,1.0839,qp>60,0.25,False,0.0,False
DC-034,AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,50.0,87.6,23.993,1.0464,qp>60,0.0,False,0.0,False
DC-035,AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,50.0,109.5,29.992,1.0464,qp>60,0.0,False,0.0,False
DC-036,MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,50.0,3.8,18.182,1.0,W<W_min,0.0,True,0.0,False
DC-037,MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,50.0,5.0,23.923,1.0,W<W_min,0.0,True,0.0,False
DC-039,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,50.0,5.5,18.033,1.0,W<W_min,0.0,True,0.0,False
DC-038,MEL-melbourne-RPSP1011231-0-5,melbourne,MEL,C,residential,0.209,50.0,6.3,30.144,1.0,W<W_min,0.0,True,0.0,False
DC-040,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,50.0,7.3,23.934,1.0,W<W_min,0.0,True,0.0,False
DC-041,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,MEL,C,commercial,0.305,50.0,9.2,30.164,1.0,W<W_min,0.0,True,0.0,False
DC-042,MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,50.0,30.5,17.973,1.0,,1.152,True,2.0,False
DC-045,MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,50.0,31.5,18.01,1.0,,1.158,True,4.0,False
DC-043,MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,50.0,40.7,23.984,1.0,,1.008,True,1.0,False
DC-046,MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,50.0,42.0,24.014,1.0,,1.057,True,1.0,False
DC-048,MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,50.0,49.0,18.001,1.0,,1.2,True,10.0,False
DC-044,MEL-melbourne-1389612-0-2,melbourne,MEL,A,residential,1.697,50.0,50.9,29.994,1.0,,0.7,True,0.0,False
DC-047,MEL-melbourne-1465622-0-2,melbourne,MEL,A,residential,1.749,50.0,52.5,30.017,1.0,,0.902,True,0.0,False
DC-051,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,50.0,65.0,18.011,1.0,qp>60,1.15,True,8.0,False
DC-049,MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,50.0,65.3,23.99,1.0,qp>60,1.136,True,3.0,False
DC-050,MEL-melbourne-1389823-0-3,melbourne,MEL,A,residential,2.722,50.0,81.7,30.015,1.0,qp>60,0.944,True,0.0,False
DC-052,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,50.0,86.6,23.996,1.0,qp>60,0.97,True,6.0,False
DC-053,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,MEL,A,commercial,3.609,50.0,108.3,30.008,1.0,qp>60,0.888,True,0.0,False
DC-072,NTP-newtaipei-idx12919-0-1,newtaipei,NTP,C,residential,1.12,50.0,20.2,18.036,1.0,W<W_min,1.004,True,0.0,False
