combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,vbar,base_pass,qr_star_mean,above_upper,qr_star_per_seed,qr_star,pass_frac_at_star,pass_frac_at_next
AMS-amsterdam-chain-77474-550|qp3,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,3.0,4.666,1.0003,0.096,1,20.0,1,20.0,20.0,1.0,
AMS-amsterdam-chain-75190-0|qp4,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,4.0,4.396,1.0001,0.107,1,20.0,1,20.0,20.0,1.0,
AMS-amsterdam-chain-66173-0|qp6,AMS-amsterdam-chain-66173-0,amsterdam,AMS,C,residential,1.208,50.0,6.0,4.967,1.0,1.301,1,0.0,0,0.0,0.0,,0.0
AMS-amsterdam-chain-15655-200|qp7,AMS-amsterdam-chain-15655-200,amsterdam,AMS,C,residential,1.319,50.0,7.0,5.307,1.0,1.291,1,0.0,0,0.0,0.0,,0.0
AMS-amsterdam-chain-32447-100|qp7,AMS-amsterdam-chain-32447-100,amsterdam,AMS,C,residential,1.352,50.0,7.0,5.178,1.044,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-32674-0|qp7,AMS-amsterdam-chain-32674-0,amsterdam,AMS,C,residential,1.323,50.0,7.0,5.291,1.274,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-7530-50|qp8,AMS-amsterdam-chain-7530-50,amsterdam,AMS,C,residential,1.529,50.0,8.0,5.232,1.0,1.318,1,0.0,0,0.0,0.0,,0.667
AMS-amsterdam-chain-77474-550|qp8,AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,50.0,8.0,12.442,1.0003,0.043,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-79104-0|qp8,AMS-amsterdam-chain-79104-0,amsterdam,AMS,A,residential,1.662,50.0,8.0,4.813,1.0045,1.334,1,18.0,0,10.0,10.0,0.6,0.5
AMS-amsterdam-chain-141619-0|qp10,AMS-amsterdam-chain-141619-0,amsterdam,AMS,B,residential,2.098,50.0,10.0,4.766,1.0069,1.311,1,15.0,0,10.0,10.0,0.8,0.333
AMS-amsterdam-chain-173340-0|qp10,AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,50.0,10.0,5.102,1.3994,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-3511-0|qp10,AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,50.0,10.0,5.079,1.3121,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-95719-50|qp10,AMS-amsterdam-chain-95719-50,amsterdam,AMS,B,residential,2.062,50.0,10.0,4.85,1.1848,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-166482-0|qp11,AMS-amsterdam-chain-166482-0,amsterdam,AMS,B,residential,2.267,50.0,11.0,4.852,1.0152,1.273,1,15.0,0,8.0,8.0,0.6,0.167
AMS-amsterdam-chain-45268-50|qp11,AMS-amsterdam-chain-45268-50,amsterdam,AMS,A,residential,2.166,50.0,11.0,5.078,1.0002,1.298,1,18.0,0,12.0,12.0,0.6,0.3
AMS-amsterdam-chain-75190-0|qp11,AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,50.0,11.0,12.088,1.0001,0.067,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-44642-0|qp12,AMS-amsterdam-chain-44642-0,amsterdam,AMS,A,residential,2.482,50.0,12.0,4.835,1.0,1.324,1,20.0,1,18.0,18.0,0.933,
AMS-amsterdam-chain-32802-0|qp13,AMS-amsterdam-chain-32802-0,amsterdam,AMS,A,residential,2.575,50.0,13.0,5.049,1.0007,1.3,1,20.0,1,18.0,18.0,0.8,
AMS-amsterdam-chain-22812-0|qp14,AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,50.0,14.0,5.007,1.0839,1.307,1,20.0,1,18.0,18.0,0.867,
AMS-amsterdam-chain-66173-0|qp14,AMS-amsterdam-chain-66173-0,amsterdam,AMS,C,residential,1.208,50.0,14.0,11.589,1.0,1.217,1,0.0,0,0.0,0.0,,0.0
AMS-amsterdam-chain-15655-200|qp16,AMS-amsterdam-chain-15655-200,amsterdam,AMS,C,residential,1.319,50.0,16.0,12.13,1.0,1.241,1,0.0,0,0.0,0.0,,0.0
AMS-amsterdam-chain-32447-100|qp16,AMS-amsterdam-chain-32447-100,amsterdam,AMS,C,residential,1.352,50.0,16.0,11.834,1.044,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-32674-0|qp16,AMS-amsterdam-chain-32674-0,amsterdam,AMS,C,residential,1.323,50.0,16.0,12.094,1.274,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-142287-0|qp18,AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,50.0,18.0,4.93,1.0464,0.0,0,0.0,0,0.0,0.0,,
AMS-amsterdam-chain-7530-50|qp18,AMS-amsterdam-chain-7530-50,amsterdam,AMS,C,residential,1.529,50.0,18.0,11.772,1.0,1.271,1,0.0,0,0.0,0.0,,0.0
AMS-amsterdam-chain-158080-0|qp19,AMS-amsterdam-chain-158080-0,amsterdam,AMS,A,residential,3.89,50.0,19.0,4.884,1.0,1.321,1,20.0,1,18.0,18.0,0.867,
