W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,timed_out,tag
0.762,50.0,4.0,0.0,0,1.39,0.48,0.0878784916201185,35800,0.978783902012245,0,0,1.0,0,NYC-nyc-10517-0-3|qp4
0.762,50.0,4.0,0.0,12,1.39,0.48,0.088499706482549,35773,0.9780457130358672,0,0,1.0,0,NYC-nyc-10517-0-3|qp4
0.762,50.0,4.0,0.0,24,1.39,0.48,0.0884640120798706,35762,0.9777449693788228,0,0,1.0,0,NYC-nyc-10517-0-3|qp4
0.762,50.0,9.0,0.0,6,1.39,0.48,0.0421988881221833,76807,2.099928915135553,0,0,1.0,0,NYC-nyc-10517-0-3|qp9
0.762,50.0,9.0,0.0,18,1.39,0.48,0.0425842044134799,75768,2.071522309711274,0,0,1.0,0,NYC-nyc-10517-0-3|qp9
1.676,50.0,8.0,0.0,0,1.39,0.48,1.2911365478120118,4936,0.0613564041368352,32,32,1.0,0,NYC-nyc-46079-0-1|qp8
1.676,50.0,8.0,0.0,12,1.39,0.48,1.286307021023466,5042,0.0626740254574401,32,32,1.0,0,NYC-nyc-46079-0-1|qp8
1.676,50.0,8.0,0.0,24,1.39,0.48,1.364022770398496,4743,0.0589573389021498,32,32,1.0,0,NYC-nyc-46079-0-1|qp8
1.676,50.0,20.0,0.0,6,1.39,0.48,1.3005586501977675,12387,0.153975238663486,80,77,0.9625,0,NYC-nyc-46079-0-1|qp20
1.676,50.0,20.0,0.0,18,1.39,0.48,1.2745716975211332,12748,0.1584626093874342,80,82,1.025,0,NYC-nyc-46079-0-1|qp20
0.643,50.0,3.0,0.0,0,1.39,0.48,0.098060023395238,27356,0.8863400725764471,0,0,1.0,0,AMS-amsterdam-chain-77474-550|qp3
0.643,50.0,3.0,0.0,12,1.39,0.48,0.0939805365213643,27436,0.8889320891653568,0,0,1.0,0,AMS-amsterdam-chain-77474-550|qp3
0.643,50.0,3.0,0.0,24,1.39,0.48,0.0955237643971469,27436,0.8889320891653563,0,0,1.0,0,AMS-amsterdam-chain-77474-550|qp3
0.643,50.0,8.0,0.0,6,1.39,0.48,0.0437859544540291,68107,2.206680922757936,0,0,1.0,0,AMS-amsterdam-chain-77474-550|qp8
0.643,50.0,8.0,0.0,18,1.39,0.48,0.0440464677615017,66799,2.1643014515292704,0,0,1.0,0,AMS-amsterdam-chain-77474-550|qp8
1.96,50.0,10.0,0.0,0,1.39,0.48,0.0,0,0.0,20,0,0.0,0,AMS-amsterdam-chain-173340-0|qp10
1.96,50.0,10.0,0.0,12,1.39,0.48,0.0,0,0.0,20,0,0.0,0,AMS-amsterdam-chain-173340-0|qp10
1.96,50.0,10.0,0.0,24,1.39,0.48,0.0,0,0.0,20,0,0.0,0,AMS-amsterdam-chain-173340-0|qp10
