cell_id,city,city_code,type,context,W,sinuosity,qp,vbar,base_pass,dens_base,fr_base,qr_star,above_upper
AMS-amsterdam-chain-79104-0,amsterdam,AMS,A,residential,1.662,1.0045,8,1.334,True,0.061,0.996,18.0,False
AMS-amsterdam-chain-45268-50,amsterdam,AMS,A,residential,2.166,1.0002,11,1.298,True,0.066,1.005,18.0,False
AMS-amsterdam-chain-44642-0,amsterdam,AMS,A,residential,2.482,1.0,12,1.324,True,0.061,1.001,20.0,True
AMS-amsterdam-chain-32802-0,amsterdam,AMS,A,residential,2.575,1.0007,13,1.3,True,0.065,1.003,20.0,True
AMS-amsterdam-chain-158080-0,amsterdam,AMS,A,residential,3.89,1.0,19,1.321,True,0.062,1.001,20.0,True
AMS-amsterdam-chain-79104-0,amsterdam,AMS,A,residential,1.662,1.0045,20,1.312,True,0.153,1.001,12.0,False
AMS-amsterdam-chain-45268-50,amsterdam,AMS,A,residential,2.166,1.0002,26,1.209,True,0.168,0.998,12.0,False
AMS-amsterdam-chain-44642-0,amsterdam,AMS,A,residential,2.482,1.0,30,1.262,True,0.16,0.999,15.0,False
AMS-amsterdam-chain-32802-0,amsterdam,AMS,A,residential,2.575,1.0007,31,1.218,True,0.167,1.002,18.0,False
AMS-amsterdam-chain-158080-0,amsterdam,AMS,A,residential,3.89,1.0,47,1.212,True,0.166,1.002,12.0,False
AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,1.3994,10,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,1.3121,10,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-95719-50,amsterdam,AMS,B,residential,2.062,1.1848,10,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-141619-0,amsterdam,AMS,B,residential,2.098,1.0069,10,1.311,True,0.061,1.009,15.0,False
AMS-amsterdam-chain-166482-0,amsterdam,AMS,B,residential,2.267,1.0152,11,1.273,True,0.063,1.005,15.0,False
AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,1.0839,14,1.307,True,0.064,1.012,20.0,True
AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,1.0464,18,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-173340-0,amsterdam,AMS,B,residential,1.96,1.3994,24,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-3511-0,amsterdam,AMS,B,residential,1.969,1.3121,24,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-95719-50,amsterdam,AMS,B,residential,2.062,1.1848,25,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-141619-0,amsterdam,AMS,B,residential,2.098,1.0069,25,1.239,True,0.162,1.0,10.0,False
AMS-amsterdam-chain-166482-0,amsterdam,AMS,B,residential,2.267,1.0152,27,1.17,True,0.171,1.004,12.0,False
AMS-amsterdam-chain-22812-0,amsterdam,AMS,B,residential,2.796,1.0839,34,1.239,True,0.165,1.004,12.0,False
AMS-amsterdam-chain-142287-0,amsterdam,AMS,B,residential,3.651,1.0464,44,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-138895-0,amsterdam,AMS,B,commercial,3.48,1.1712,52,0.67,True,0.372,0.994,3.0,False
AMS-amsterdam-chain-138895-0,amsterdam,AMS,B,commercial,3.48,1.1712,87,0.283,False,1.297,1.596,0.0,False
AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,1.0003,3,0.096,True,0.888,1.0,20.0,True
AMS-amsterdam-chain-75190-0,amsterdam,AMS,C,residential,0.91,1.0001,4,0.107,True,0.821,1.0,20.0,True
AMS-amsterdam-chain-66173-0,amsterdam,AMS,C,residential,1.208,1.0,6,1.301,True,0.064,0.985,0.0,False
AMS-amsterdam-chain-15655-200,amsterdam,AMS,C,residential,1.319,1.0,7,1.291,True,0.069,1.0,0.0,False
AMS-amsterdam-chain-32674-0,amsterdam,AMS,C,residential,1.323,1.274,7,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-32447-100,amsterdam,AMS,C,residential,1.352,1.044,7,0.0,False,0.0,0.0,0.0,False
AMS-amsterdam-chain-77474-550,amsterdam,AMS,C,residential,0.643,1.0003,8,0.043,False,2.181,1.0,0.0,False
