W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,timed_out,tag
3.48,50.0,52.0,1.0,0,1.39,0.48,0.6500170318541668,65172,0.3901580459770187,206,206,1.0,0,AMS-amsterdam-chain-138895-0|qp52
3.48,50.0,52.0,1.0,12,1.39,0.48,0.6404704418964727,62707,0.3754011015325675,206,206,1.0,0,AMS-amsterdam-chain-138895-0|qp52
3.48,50.0,52.0,1.0,24,1.39,0.48,0.6428607244481956,65015,0.3892181513409939,208,198,0.9519230769230768,0,AMS-amsterdam-chain-138895-0|qp52
2.098,50.0,10.0,1.0,6,1.39,0.48,1.3398387632978903,6016,0.059739434381952,40,41,1.025,0,AMS-amsterdam-chain-141619-0|qp10
2.098,50.0,10.0,1.0,18,1.39,0.48,1.3201624399137557,6033,0.0599082459485223,40,39,0.975,0,AMS-amsterdam-chain-141619-0|qp10
2.098,50.0,25.0,1.0,0,1.39,0.48,1.231655319148972,16450,0.1633500158881478,100,100,1.0,0,AMS-amsterdam-chain-141619-0|qp25
2.098,50.0,25.0,1.0,12,1.39,0.48,1.2503691813805018,16198,0.1608476326660304,100,103,1.03,0,AMS-amsterdam-chain-141619-0|qp25
2.098,50.0,25.0,1.0,24,1.39,0.48,1.2527867036011746,16245,0.1613143469971408,100,99,0.99,0,AMS-amsterdam-chain-141619-0|qp25
1.319,50.0,16.0,1.0,6,1.39,0.48,0.0447546411899165,128954,2.036801870103615,0,0,1.0,0,AMS-amsterdam-chain-15655-200|qp16
1.319,50.0,16.0,1.0,18,1.39,0.48,0.0438529827625194,129427,2.044272807682607,0,0,1.0,0,AMS-amsterdam-chain-15655-200|qp16
1.319,50.0,7.0,1.0,0,1.39,0.48,0.0785081162444888,58463,0.9234110437199804,0,0,1.0,0,AMS-amsterdam-chain-15655-200|qp7
1.319,50.0,7.0,1.0,12,1.39,0.48,0.0788914383561926,58400,0.922415971695722,0,0,1.0,0,AMS-amsterdam-chain-15655-200|qp7
1.319,50.0,7.0,1.0,24,1.39,0.48,0.0805919019075706,58557,0.9248957543593552,0,0,1.0,0,AMS-amsterdam-chain-15655-200|qp7
3.89,50.0,19.0,1.0,6,1.39,0.48,1.355147567136363,11283,0.0604273778920292,76,77,1.013157894736842,0,AMS-amsterdam-chain-158080-0|qp19
3.89,50.0,19.0,1.0,18,1.39,0.48,1.2977066326529998,11760,0.0629820051413867,76,76,1.0,0,AMS-amsterdam-chain-158080-0|qp19
3.89,50.0,47.0,1.0,0,1.39,0.48,1.1968537074149117,31437,0.1683643958868871,188,195,1.0372340425531914,0,AMS-amsterdam-chain-158080-0|qp47
3.89,50.0,47.0,1.0,12,1.39,0.48,1.214128289473586,31008,0.166066838046269,188,185,0.9840425531914894,0,AMS-amsterdam-chain-158080-0|qp47
3.89,50.0,47.0,1.0,24,1.39,0.48,1.2186217329727476,31068,0.1663881748071948,188,186,0.9893617021276596,0,AMS-amsterdam-chain-158080-0|qp47
2.267,50.0,11.0,1.0,6,1.39,0.48,1.3053092860337,6709,0.061654536097633,44,44,1.0,0,AMS-amsterdam-chain-166482-0|qp11
2.267,50.0,11.0,1.0,18,1.39,0.48,1.2880953081335325,6799,0.0624816203499489,44,45,1.0227272727272727,0,AMS-amsterdam-chain-166482-0|qp11
2.267,50.0,27.0,1.0,0,1.39,0.48,1.1223155322136615,19231,0.1767295250698391,108,109,1.0092592592592593,0,AMS-amsterdam-chain-166482-0|qp27
2.267,50.0,27.0,1.0,12,1.39,0.48,1.1591134601084356,18826,0.1730076459344192,108,109,1.0092592592592593,0,AMS-amsterdam-chain-166482-0|qp27
