tag,qr_star_before,qr_star_after,changed
AMS-amsterdam-chain-141619-0|qp10,10.0,11.0,True
AMS-amsterdam-chain-141619-0|qp25,8.0,8.0,False
AMS-amsterdam-chain-158080-0|qp19,18.0,19.0,True
AMS-amsterdam-chain-158080-0|qp47,12.0,12.0,False
AMS-amsterdam-chain-166482-0|qp11,8.0,9.0,True
AMS-amsterdam-chain-166482-0|qp27,8.0,8.0,False
AMS-amsterdam-chain-22812-0|qp14,18.0,19.0,True
AMS-amsterdam-chain-22812-0|qp34,10.0,11.0,True
AMS-amsterdam-chain-32802-0|qp13,18.0,19.0,True
AMS-amsterdam-chain-32802-0|qp31,12.0,12.0,False
AMS-amsterdam-chain-44642-0|qp12,18.0,19.0,True
AMS-amsterdam-chain-44642-0|qp30,12.0,12.0,False
AMS-amsterdam-chain-45268-50|qp11,12.0,13.0,True
AMS-amsterdam-chain-45268-50|qp26,8.0,8.0,False
AMS-amsterdam-chain-79104-0|qp20,10.0,10.0,False
AMS-amsterdam-chain-79104-0|qp8,10.0,11.0,True
DC-012|qp43.3,6.0,7.0,True
DC-015|qp66.9,6.0,6.0,False
DC-048|qp49.0,8.0,8.0,False
DC-051|qp65.0,6.0,6.0,False
DC-066|qp44.6,8.0,8.0,False
DC-069|qp63.7,6.0,6.0,False
DC-084|qp44.3,8.0,9.0,True
DC-087|qp89.6,6.0,7.0,True
DC-099|qp43.9,6.0,7.0,True
DC-114|qp43.2,8.0,8.0,False
MEL-melbourne-1389612-0-2|qp8,6.0,7.0,True
MEL-melbourne-1389823-0-3|qp33,12.0,13.0,True
MEL-melbourne-1434605-0-0|qp11,12.0,14.0,True
MEL-melbourne-1434605-0-0|qp26,8.0,9.0,True
MEL-melbourne-1465622-0-2|qp9,6.0,6.0,False
MEL-melbourne-1465759-0-1|qp12,12.0,14.0,True
MEL-melbourne-1465759-0-1|qp28,10.0,10.0,False
MEL-melbourne-1477330-0-0|qp9,8.0,8.0,False
MEL-melbourne-1515142-0-0|qp26,18.0,18.0,False
MEL-melbourne-1515142-0-0|qp62,6.0,7.0,True
MEL-melbourne-RPSP02B11034-0-0|qp22,6.0,6.0,False
MEL-melbourne-RPSP02B11034-0-0|qp9,10.0,10.0,False
MEL-melbourne-RPSP03A10530L1-0-0|qp54,10.0,10.0,False
MEL-melbourne-RPSP03A11034L1-0-0|qp38,12.0,13.0,True
MEL-melbourne-RPSP07A11127-0-0|qp16,18.0,19.0,True
MEL-melbourne-RPSP07A11127-0-0|qp38,10.0,10.0,False
MEL-melbourne-RPSP0814955L1-0-0|qp52,8.0,9.0,True
NTP-newtaipei-idx11355-0-2|qp31,15.0,17.0,True
NTP-newtaipei-idx11808-0-1|qp25,18.0,18.0,False
NTP-newtaipei-idx11808-0-1|qp60,10.0,10.0,False
NTP-newtaipei-idx11901-0-0|qp9,8.0,8.0,False
NTP-newtaipei-idx13763-0-2|qp9,6.0,7.0,True
NTP-newtaipei-idx13776-0-2|qp9,6.0,6.0,False
NTP-newtaipei-idx251-0-0|qp12,18.0,19.0,True
NTP-newtaipei-idx251-0-0|qp30,10.0,11.0,True
NTP-newtaipei-idx4423-0-0|qp36,12.0,13.0,True
NTP-newtaipei-idx5617-0-0|qp12,15.0,15.0,False
NTP-newtaipei-idx5617-0-0|qp28,10.0,11.0,True
NTP-newtaipei-idx6820-0-0|qp31,12.0,13.0,True
NTP-newtaipei-idx7804-0-0|qp35,10.0,11.0,True
NTP-newtaipei-idx9858-0-0|qp10,8.0,8.0,False
NYC-nyc-110605-0-2|qp8,6.0,7.0,True
NYC-nyc-17655-0-0|qp12,18.0,18.0,False
NYC-nyc-17655-0-0|qp29,10.0,11.0,True
NYC-nyc-199805-0-0|qp10,10.0,10.0,False
NYC-nyc-199805-0-0|qp25,6.0,7.0,True
NYC-nyc-20131-0-2|qp38,10.0,11.0,True
NYC-nyc-214464-0-0|qp31,12.0,12.0,False
