W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,timed_out,tag
2.098,50.0,10.0,11.0,0,1.39,0.48,1.1844919472913864,6830,0.0678225293930735,40,39,0.975,0,AMS-amsterdam-chain-141619-0|qp10
2.098,50.0,10.0,11.0,16,1.39,0.48,1.271176562744765,6383,0.0633837782014623,40,39,0.975,0,AMS-amsterdam-chain-141619-0|qp10
2.098,50.0,25.0,9.0,2,1.39,0.48,1.107416662090247,18209,0.180817047982203,100,99,0.99,0,AMS-amsterdam-chain-141619-0|qp25
2.098,50.0,25.0,9.0,18,1.39,0.48,1.218166746756389,16648,0.165316174134095,100,99,0.99,0,AMS-amsterdam-chain-141619-0|qp25
3.89,50.0,19.0,19.0,4,1.39,0.48,1.282810347723844,11906,0.0637639245929714,76,76,1.0,0,AMS-amsterdam-chain-158080-0|qp19
3.89,50.0,19.0,19.0,20,1.39,0.48,1.2803965603607026,11978,0.0641495287060818,76,76,1.0,0,AMS-amsterdam-chain-158080-0|qp19
3.89,50.0,47.0,13.0,6,1.39,0.48,1.1115027046305903,33646,0.1801949443016272,188,188,1.0,0,AMS-amsterdam-chain-158080-0|qp47
3.89,50.0,47.0,13.0,22,1.39,0.48,1.127071201296805,33314,0.1784168808911714,188,185,0.9840425531914894,0,AMS-amsterdam-chain-158080-0|qp47
3.89,50.0,47.0,14.0,8,1.39,0.48,1.082536782492412,35139,0.1881908740359871,188,189,1.00531914893617,0,AMS-amsterdam-chain-158080-0|qp47
3.89,50.0,47.0,14.0,24,1.39,0.48,1.116223557902626,34273,0.1835529134532966,188,192,1.0212765957446808,0,AMS-amsterdam-chain-158080-0|qp47
2.267,50.0,11.0,9.0,10,1.39,0.48,1.182467131741323,7454,0.0685009557418039,44,42,0.9545454545454546,0,AMS-amsterdam-chain-166482-0|qp11
2.267,50.0,11.0,9.0,26,1.39,0.48,1.204241686942404,7398,0.0679863255403638,44,44,1.0,0,AMS-amsterdam-chain-166482-0|qp11
2.267,50.0,27.0,9.0,12,1.39,0.48,1.1344488579940886,19133,0.1758289222173175,108,106,0.9814814814814816,0,AMS-amsterdam-chain-166482-0|qp27
2.267,50.0,27.0,9.0,28,1.39,0.48,1.082345337937891,20270,0.1862777532715723,108,111,1.0277777777777777,0,AMS-amsterdam-chain-166482-0|qp27
2.796,50.0,14.0,19.0,14,1.39,0.48,1.229285397248162,9012,0.0671494992846922,56,56,1.0,0,AMS-amsterdam-chain-22812-0|qp14
2.796,50.0,34.0,11.0,0,1.39,0.48,1.1542543309063444,23898,0.1780668812589391,134,136,1.0149253731343284,0,AMS-amsterdam-chain-22812-0|qp34
2.796,50.0,34.0,11.0,16,1.39,0.48,1.2206753802918138,22417,0.1670317715784447,134,133,0.9925373134328358,0,AMS-amsterdam-chain-22812-0|qp34
2.575,50.0,13.0,19.0,2,1.39,0.48,1.1771884123063154,8906,0.0720550161812294,52,52,1.0,0,AMS-amsterdam-chain-32802-0|qp13
2.575,50.0,13.0,19.0,18,1.39,0.48,1.2246569377427226,8497,0.0687459546925565,52,51,0.9807692307692308,0,AMS-amsterdam-chain-32802-0|qp13
