cell_id,source_id,city,W,L,width_p10,width_median,width_method,geometry_type,sinuosity,max_turn_deg,cum_turn_deg,rect_fill,source_crs,source_date,label,W_in_domain,applicability_status,arc_len,chord_len
HK-ST-01,PG4019707R0312,hongkong,1.501,36.01,1.326,1.501,perpendicular-cross-section (OBB long axis),A,1.0025,8.32,25.03,0.861,EPSG:2326,2026-08-14,narrow_OOD,False,OOD/fallback,35.59,35.5
HK-ST-02,PG4916000R0312,hongkong,1.196,50.0,0.991,1.196,perpendicular-cross-section (OBB long axis),C,1.1282,22.16,203.96,0.064,EPSG:2326,2026-08-14,narrow_OOD,False,OOD/fallback,102.42,90.78
HK-ST-03,PG4154135R0312,hongkong,1.554,50.0,1.296,1.554,perpendicular-cross-section (OBB long axis),A,1.0017,6.62,56.31,0.781,EPSG:2326,2026-08-14,narrow_OOD,False,OOD/fallback,92.66,92.51
HK-ST-04,PG4616114R0312,hongkong,0.995,50.0,0.934,0.995,perpendicular-cross-section (OBB long axis),C,1.0307,68.08,494.53,0.115,EPSG:2326,2026-08-14,narrow_OOD,False,OOD/fallback,266.96,259.01
HK-ST-05,PG4758903R0312,hongkong,1.613,38.28,0.996,1.613,perpendicular-cross-section (OBB long axis),A,1.0047,2.12,32.51,0.717,EPSG:2326,2026-08-14,narrow,True,in-domain,37.68,37.5
HK-ST-06,PG4431351R0312,hongkong,1.618,50.0,1.612,1.618,perpendicular-cross-section (OBB long axis),B,1.0004,2.07,16.68,0.551,EPSG:2326,2026-08-14,narrow,True,in-domain,176.57,176.5
HK-ST-07,PG4369753R0312,hongkong,6.676,50.0,3.144,6.676,perpendicular-cross-section (OBB long axis),C,1.1989,147.28,822.57,0.211,EPSG:2326,2026-08-14,wide_OOD,False,OOD/fallback,112.71,94.01
HK-ST-08,PG4758916R0312,hongkong,1.898,50.0,1.819,1.898,perpendicular-cross-section (OBB long axis),A,1.0002,0.68,8.1,0.848,EPSG:2326,2026-08-14,narrow,True,in-domain,56.01,56.0
HK-ST-09,PG4039306R0312,hongkong,1.957,50.0,1.941,1.957,perpendicular-cross-section (OBB long axis),B,1.0014,8.04,28.73,0.558,EPSG:2326,2026-08-14,narrow,True,in-domain,109.66,109.5
HK-ST-10,PG4618907R0312,hongkong,1.564,50.0,1.392,1.564,perpendicular-cross-section (OBB long axis),C,1.0303,15.77,149.81,0.187,EPSG:2326,2026-08-14,narrow_OOD,False,OOD/fallback,106.26,103.14
HK-ST-11,PG4100913R0312,hongkong,1.985,50.0,1.91,1.985,perpendicular-cross-section (OBB long axis),A,1.0023,8.42,40.36,0.89,EPSG:2326,2026-08-14,narrow,True,in-domain,98.74,98.51
