claim_id,claim,source_file,filter_or_denominator,status,manuscript_location
C1,"Segment-level candidate admission framework links applicability, pedestrian service and robot access.",ascexmpl-new.tex,Simulation scope,VERIFIED,Title; Abstract; Introduction
C2,"{'POSITIVE': 185, 'ZERO': 154, 'OUT_OF_DOMAIN_GEOMETRY': 44, 'CEILING_CENSORED': 12, 'TECHNICAL_INVALID': 5}",reference_dataset_original_block_v3.csv,400 candidate scenarios; 140 cells,VERIFIED,Methods
M0,98 positive; 66 zero; 98 PASS; 0 FAIL; exceed=0; MAE=4.536585; U=0.166667; mean positive rate=4.806122,exact_flow_validation_v3.csv; method_results_v3.csv,164 scenarios; 64 cells; U denominator 139; PASS/FAIL only positive recommendations,VERIFIED,Abstract; Results; Table 2; Figure 2; Conclusion
M1,136 positive; 28 zero; 118 PASS; 18 FAIL; exceed=16; MAE=2.426829; U=0.750000; mean positive rate=6.316176,exact_flow_validation_v3.csv; method_results_v3.csv,164 scenarios; 64 cells; U denominator 139; PASS/FAIL only positive recommendations,VERIFIED,Abstract; Results; Table 2; Figure 2; Conclusion
M2,59 positive; 105 zero; 59 PASS; 0 FAIL; exceed=0; MAE=6.981707; U=0.000000; mean positive rate=1.186441,exact_flow_validation_v3.csv; method_results_v3.csv,164 scenarios; 64 cells; U denominator 139; PASS/FAIL only positive recommendations,VERIFIED,Abstract; Results; Table 2; Figure 2; Conclusion
M3,98 positive; 66 zero; 96 PASS; 2 FAIL; exceed=2; MAE=4.548780; U=0.181818; mean positive rate=4.826531,exact_flow_validation_v3.csv; method_results_v3.csv,164 scenarios; 64 cells; U denominator 139; PASS/FAIL only positive recommendations,VERIFIED,Abstract; Results; Table 2; Figure 2; Conclusion
Paired0,"{""group"": ""M0>0 and M1>0"", ""scenarios"": 98, ""M0_positive"": 98, ""M0_PASS"": 98, ""M0_FAIL"": 0, ""M0_UNTESTED"": 0, ""M0_mean_quota"": 4.806122448979592, ""M1_positive"": 98, ""M1_PASS"": 86, ""M1_FAIL"": 12, ""M1_UNTESTED"": 0, ""M1_mean_quota"": 7.551020408163265}",decomposition_v3.csv,Mutually exclusive M0/M1 scenario subset,VERIFIED,Results; Discussion
Paired1,"{""group"": ""M0=0 and M1>0"", ""scenarios"": 38, ""M0_positive"": 0, ""M0_PASS"": 0, ""M0_FAIL"": 0, ""M0_UNTESTED"": 0, ""M0_mean_quota"": 0.0, ""M1_positive"": 38, ""M1_PASS"": 32, ""M1_FAIL"": 6, ""M1_UNTESTED"": 0, ""M1_mean_quota"": 3.131578947368421}",decomposition_v3.csv,Mutually exclusive M0/M1 scenario subset,VERIFIED,Results; Discussion
Paired2,"{""group"": ""M0=0 and M1=0"", ""scenarios"": 28, ""M0_positive"": 0, ""M0_PASS"": 0, ""M0_FAIL"": 0, ""M0_UNTESTED"": 0, ""M0_mean_quota"": 0.0, ""M1_positive"": 0, ""M1_PASS"": 0, ""M1_FAIL"": 0, ""M1_UNTESTED"": 0, ""M1_mean_quota"": 0.0}",decomposition_v3.csv,Mutually exclusive M0/M1 scenario subset,VERIFIED,Results; Discussion
ORIGINALM0,"{""configuration"": ""ORIGINAL"", ""method"": ""M0"", ""n"": 13, ""positive"": 7, ""zero"": 6, ""PASS"": 7, ""FAIL"": 0, ""UNTESTED"": 0, ""exceed"": 0, ""util"": 0.16666666666666666, ""util_n"": 10}",hk_analysis_v3.csv,13 configurations; U denominator 10,VERIFIED,Results; Table 3; Figure 3
