W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.5,50.0,10.0,0.0,0,1.39,0.3,0.9447021359001442,8952,0.124333333333333,44,40,0.9090909090909092
1.5,50.0,10.0,0.0,16,1.39,0.3,1.0277623963997626,7432,0.1032222222222195,32,33,1.03125
1.5,50.0,20.0,0.0,2,1.39,0.3,0.8900120555150711,18808,0.2612222222222222,75,76,1.0133333333333334
1.5,50.0,20.0,0.0,18,1.39,0.3,0.8529502840117462,21243,0.2950416666666655,83,85,1.0240963855421688
1.5,50.0,30.0,0.0,4,1.39,0.3,0.5770863179746507,41195,0.5721527777777728,105,88,0.8380952380952381
1.5,50.0,30.0,0.0,20,1.39,0.3,0.3202159155037394,97300,1.3513888888888954,120,79,0.6583333333333333
1.5,50.0,40.0,0.0,6,1.39,0.3,0.5007684413051019,67448,0.9367777777777934,156,113,0.7243589743589743
1.5,50.0,40.0,0.0,22,1.39,0.3,0.4471107198752316,71269,0.9898472222222214,150,67,0.4466666666666666
1.5,50.0,50.0,0.0,8,1.39,0.3,0.4173655591621628,65784,0.9136666666666736,122,41,0.3360655737704918
1.5,50.0,50.0,0.0,24,1.39,0.3,0.298801486040882,150073,2.0843472222222528,147,75,0.5102040816326531
1.5,50.0,60.0,0.0,10,1.39,0.3,0.3165059309828878,204281,2.837236111111073,62,25,0.4032258064516129
1.5,50.0,60.0,0.0,26,1.39,0.3,0.3182642367409594,129832,1.8032222222222103,143,81,0.5664335664335665
1.8,50.0,10.0,0.0,12,1.39,0.3,0.9968870300580408,8518,0.0985879629629624,40,41,1.025
1.8,50.0,10.0,0.0,28,1.39,0.3,1.0630319195276845,4499,0.0520717592592588,23,23,1.0
1.8,50.0,20.0,0.0,14,1.39,0.3,0.9285699463267436,20197,0.2337615740740728,86,81,0.9418604651162792
1.8,50.0,30.0,0.0,0,1.39,0.3,0.9758784316673552,25337,0.293252314814817,118,116,0.9830508474576272
1.8,50.0,30.0,0.0,16,1.39,0.3,0.9386109489169367,25404,0.2940277777777796,116,100,0.8620689655172413
1.8,50.0,40.0,0.0,2,1.39,0.3,0.9346667078844292,33991,0.3934143518518513,146,152,1.0410958904109588
1.8,50.0,40.0,0.0,18,1.39,0.3,0.7198919953512647,51458,0.5955787037037131,163,165,1.012269938650307
1.8,50.0,50.0,0.0,4,1.39,0.3,0.5723726935424539,75671,0.8758217592592636,190,165,0.868421052631579
1.8,50.0,50.0,0.0,20,1.39,0.3,0.4496816045261899,64461,0.7460763888888897,192,94,0.4895833333333333
1.8,50.0,60.0,0.0,6,1.39,0.3,0.2342365538475719,130367,1.5088773148148014,188,101,0.5372340425531915
1.8,50.0,60.0,0.0,22,1.39,0.3,0.1797644809982837,203575,2.3561921296296333,177,92,0.519774011299435
2.1,50.0,10.0,0.0,8,1.39,0.3,1.086690150902926,7507,0.0744742063492078,42,37,0.8809523809523809
2.1,50.0,10.0,0.0,24,1.39,0.3,1.119877161138264,6791,0.0673710317460331,39,37,0.9487179487179488
2.1,50.0,20.0,0.0,10,1.39,0.3,1.0273740874131947,16614,0.164821428571426,79,81,1.0253164556962024
2.1,50.0,20.0,0.0,26,1.39,0.3,1.0611502944258722,17325,0.1718749999999989,93,75,0.8064516129032258
2.1,50.0,30.0,0.0,12,1.39,0.3,1.0411515536185467,23168,0.2298412698412661,117,123,1.051282051282051
2.1,50.0,30.0,0.0,28,1.39,0.3,1.1095459293867962,18024,0.1788095238095261,98,102,1.0408163265306123
2.1,50.0,40.0,0.0,14,1.39,0.3,1.0297024880219612,34951,0.3467361111111156,175,169,0.9657142857142856
2.1,50.0,50.0,0.0,0,1.39,0.3,1.070419755889188,37554,0.372559523809524,196,200,1.020408163265306
2.1,50.0,50.0,0.0,16,1.39,0.3,1.005106680513891,40568,0.4024603174603278,192,193,1.0052083333333333
2.1,50.0,60.0,0.0,2,1.39,0.3,0.8039283450384058,58546,0.5808134920634949,228,201,0.881578947368421
2.1,50.0,60.0,0.0,18,1.39,0.3,0.8233323350271139,60763,0.6028075396825349,249,226,0.9076305220883534
2.4,50.0,10.0,0.0,4,1.39,0.3,1.1795740723553736,5657,0.0531832882069792,33,33,1.0
2.4,50.0,10.0,0.0,20,1.39,0.3,1.1721645190737042,8729,0.0757725694444437,52,47,0.903846153846154
2.4,50.0,20.0,0.0,6,1.39,0.3,1.1608374185906838,14671,0.1273524305555559,81,84,1.037037037037037
2.4,50.0,20.0,0.0,22,1.39,0.3,1.173809364984251,13791,0.1197135416666663,77,83,1.077922077922078
2.4,50.0,30.0,0.0,8,1.39,0.3,1.1294155172478588,23670,0.2054687499999999,131,125,0.9541984732824428
2.4,50.0,30.0,0.0,24,1.39,0.3,1.162963102366806,18706,0.1623784722222238,112,105,0.9375
2.4,50.0,40.0,0.0,10,1.39,0.3,1.0926842268712182,30832,0.2676388888888885,167,162,0.9700598802395208
2.4,50.0,40.0,0.0,26,1.39,0.3,1.1139306598162924,34774,0.3018576388888884,193,174,0.9015544041450776
2.4,50.0,50.0,0.0,12,1.39,0.3,1.1455420546626578,34192,0.296805555555555,193,194,1.005181347150259
2.4,50.0,50.0,0.0,28,1.39,0.3,1.1020852919435684,32469,0.2818489583333341,174,179,1.028735632183908
2.4,50.0,60.0,0.0,14,1.39,0.3,1.1054992218032431,43457,0.3772309027777781,245,227,0.926530612244898
2.7,50.0,10.0,0.0,0,1.39,0.3,1.2042159450520884,6669,0.0514583333333344,44,41,0.9318181818181818
2.7,50.0,10.0,0.0,16,1.39,0.3,1.237409302137668,5840,0.0450617283950627,32,35,1.09375
2.7,50.0,20.0,0.0,2,1.39,0.3,1.1572123304377977,13299,0.1026157407407403,75,75,1.0
2.7,50.0,20.0,0.0,18,1.39,0.3,1.1528836523620911,14405,0.111149691358023,83,85,1.0240963855421688
2.7,50.0,30.0,0.0,4,1.39,0.3,1.1815139821742586,18631,0.143757716049381,105,107,1.019047619047619
2.7,50.0,30.0,0.0,20,1.39,0.3,1.177844036497202,21153,0.1632175925925906,120,125,1.0416666666666667
2.7,50.0,40.0,0.0,6,1.39,0.3,1.1537603559173473,27646,0.2133179012345685,156,157,1.0064102564102564
2.7,50.0,40.0,0.0,22,1.39,0.3,1.1456156998301417,27168,0.2096296296296278,154,162,1.051948051948052
2.7,50.0,50.0,0.0,8,1.39,0.3,1.1248451360647982,36156,0.2789814814814821,203,213,1.0492610837438423
2.7,50.0,50.0,0.0,24,1.39,0.3,1.1404728475642905,31773,0.2451620370370371,186,175,0.9408602150537636
2.7,50.0,60.0,0.0,10,1.39,0.3,1.0827180461199284,44298,0.3418055555555544,234,244,1.0427350427350428
2.7,50.0,60.0,0.0,26,1.39,0.3,1.1312595476719791,46402,0.3580401234567934,263,243,0.9239543726235742
3.0,50.0,10.0,0.0,12,1.39,0.3,1.2166143129150049,6545,0.0454513888888882,40,42,1.05
3.0,50.0,10.0,0.0,28,1.39,0.3,1.2219145121994437,3789,0.0263124999999995,23,23,1.0
3.0,50.0,20.0,0.0,14,1.39,0.3,1.1543989277162798,15512,0.1077222222222213,86,86,1.0
3.0,50.0,30.0,0.0,0,1.39,0.3,1.1528569504119124,20690,0.1436805555555553,118,121,1.0254237288135593
3.0,50.0,30.0,0.0,16,1.39,0.3,1.162421318433187,20059,0.1392986111111101,116,113,0.9741379310344828
3.0,50.0,40.0,0.0,2,1.39,0.3,1.1034985666834556,27880,0.1936111111111105,146,147,1.0068493150684932
3.0,50.0,40.0,0.0,18,1.39,0.3,1.1555305379873548,29629,0.2057569444444443,163,165,1.012269938650307
3.0,50.0,50.0,0.0,4,1.39,0.3,1.150583692088751,34731,0.241187499999999,190,191,1.0052631578947369
3.0,50.0,50.0,0.0,20,1.39,0.3,1.128987041667932,38617,0.2681736111111107,214,225,1.0514018691588785
3.0,50.0,60.0,0.0,6,1.39,0.3,1.113944147069558,41342,0.2870972222222235,224,223,0.9955357142857144
3.0,50.0,60.0,0.0,22,1.39,0.3,1.1045550039800065,43063,0.2990486111111096,227,248,1.092511013215859
1.5,50.0,10.0,0.0,1,1.39,0.3,1.0233668144488728,8053,0.1118472222222229,42,42,1.0
1.5,50.0,10.0,0.0,17,1.39,0.3,0.8866799553849604,10870,0.1509722222222198,40,47,1.175
1.5,50.0,20.0,0.0,3,1.39,0.3,0.8009792814274278,22011,0.3057083333333331,84,72,0.8571428571428571
1.5,50.0,20.0,0.0,19,1.39,0.3,0.7718405118934771,21502,0.2986388888888874,84,70,0.8333333333333334
1.5,50.0,30.0,0.0,5,1.39,0.3,0.7946530196976723,33714,0.4682499999999953,129,121,0.937984496124031
1.5,50.0,30.0,0.0,21,1.39,0.3,0.7003640153478213,33106,0.4598055555555489,105,94,0.8952380952380953
1.5,50.0,40.0,0.0,7,1.39,0.3,0.4313547060683761,46023,0.6392083333333314,105,24,0.2285714285714285
1.5,50.0,40.0,0.0,23,1.39,0.3,0.494378991396051,60189,0.8359583333333144,159,63,0.3962264150943396
1.5,50.0,50.0,0.0,9,1.39,0.3,0.3711599281655753,173888,2.4151111111110786,131,58,0.4427480916030534
1.5,50.0,50.0,0.0,25,1.39,0.3,0.3753014807527597,187233,2.600458333333366,63,20,0.3174603174603174
1.5,50.0,60.0,0.0,11,1.39,0.3,0.3902425391754663,88159,1.2244305555555584,115,59,0.5130434782608696
1.5,50.0,60.0,0.0,27,1.39,0.3,0.397470428290984,87929,1.2212361111111585,94,45,0.4787234042553192
1.8,50.0,10.0,0.0,13,1.39,0.3,1.0169342311749163,7659,0.0886458333333327,40,34,0.85
1.8,50.0,10.0,0.0,29,1.39,0.3,0.9645409233328834,9631,0.1114699074074071,47,43,0.9148936170212766
1.8,50.0,20.0,0.0,15,1.39,0.3,0.9371528839527222,20388,0.2359722222222206,95,90,0.9473684210526316
1.8,50.0,30.0,0.0,1,1.39,0.3,0.9520655685165854,25391,0.2938773148148135,114,112,0.9824561403508772
1.8,50.0,30.0,0.0,17,1.39,0.3,0.9609719682321916,25796,0.2985648148148146,111,120,1.0810810810810811
1.8,50.0,40.0,0.0,3,1.39,0.3,0.9147759437040336,39967,0.4625810185185189,170,162,0.9529411764705882
1.8,50.0,40.0,0.0,19,1.39,0.3,0.6100113375464894,62198,0.7198842592592498,166,148,0.891566265060241
1.8,50.0,50.0,0.0,5,1.39,0.3,0.8654818416037019,44209,0.5116782407407408,216,147,0.6805555555555556
1.8,50.0,50.0,0.0,21,1.39,0.3,0.4167001137261764,95100,1.1006944444444489,189,144,0.7619047619047619
1.8,50.0,60.0,0.0,7,1.39,0.3,0.3691731432422709,69523,0.8046643518518554,174,70,0.4022988505747126
1.8,50.0,60.0,0.0,23,1.39,0.3,0.2607850617477887,140425,1.625289351851857,206,115,0.558252427184466
