W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
1.5,10,1,0.13333333333333333,0.767385332813585,0.7159841300245319,0.25238466680125976,0.5082039901588868
1.5,10,2,0.0,1.0148930406895622,0.9469132126122963,0.2888652777777764,0.1507581928992809
1.5,10,3,0.0,0.8530200700680189,0.7958828591652015,0.4200217592592577,0.1349108612666294
1.5,10,4,0.0,0.9565018023170058,0.8924331512669151,0.46641342592592705,0.08023704504333366
1.5,10,5,0.0,0.8060886418797575,0.7520950040351323,0.4721083333333346,0.036431851584290596
1.5,10,6,0.0,0.8664835380189557,0.8084445136245347,0.4914226851851866,0.01260768471294786
1.5,10,8,0.0,0.8523696386102539,0.7952759950755257,0.6339152777777795,0.011953383188574045
1.5,10,10,0.0,0.7372287044946398,0.6878474607813914,0.5691120370370376,0.01216429911551862
1.5,20,1,0.03333333333333333,0.7122470122366035,0.6101772178672115,0.7435319444444478,0.27072778684250937
1.5,20,2,0.0,0.6840778035074037,0.5860448464895774,0.919513888888893,0.08860692893128586
1.5,20,3,0.0,0.6516889868259519,0.5582975654014621,1.259968055555548,0.05188248306606637
1.5,20,4,0.0,0.70642575122733,0.6051901827711099,1.2350407407407467,0.04028135865305249
1.5,20,5,0.0,0.7522621481160215,0.6444579152432656,1.111234722222222,0.017706658110940025
1.5,20,6,0.0,0.8292496551569997,0.7104125939568792,1.1841523148148163,0.01547610405921697
1.5,20,8,0.0,0.7522519315475967,0.6444491627779123,1.2075620370370335,0.00616418673846888
1.5,20,10,0.0,0.6732978918225602,0.5768097687599331,1.1195550925925952,0.006053966037140307
1.8,10,1,0.7333333333333333,0.9893501586170058,0.9845427695815775,0.09812488067964811,0.9931599969589742
1.8,10,2,0.3333333333333333,0.9405935795925747,0.9360231055071927,0.11347993827160503,0.8899860141586713
1.8,10,3,0.23333333333333334,0.9533462741220335,0.9487138329329733,0.12123495370370381,0.7807446176468461
1.8,10,4,0.03333333333333333,0.9500661117605133,0.9454496093333098,0.11510995370370308,0.6940860762475739
1.8,10,5,0.03333333333333333,0.9059218388431974,0.9015198395337741,0.15013155864197472,0.5791017940839379
1.8,10,6,0.0,0.9620151463084077,0.95734058187235,0.18069945987654246,0.47075659773189454
1.8,10,8,0.0,0.9661289364383744,0.9614343825280213,0.19089544753086424,0.3497375093211224
1.8,10,10,0.0,1.0307103488386928,1.0257019849277433,0.20225270061728393,0.21351444334261466
1.8,20,1,0.4666666666666667,0.9384948293491021,0.9066031859467002,0.2305868055555561,0.9379942827629519
1.8,20,2,0.06666666666666667,0.8877397939787391,0.8575728926189018,0.2763348765432099,0.7623256945245485
1.8,20,3,0.06666666666666667,0.8494579717473829,0.8205919515274483,0.2889591049382713,0.6693340750642623
1.8,20,4,0.0,0.8612097390155755,0.8319443738452537,0.29425462962962995,0.5657635569817343
1.8,20,5,0.0,0.8881862743874133,0.8580042008672888,0.30615354938271633,0.44278330154787926
1.8,20,6,0.0,0.9181281028274697,0.8869285552781185,0.3184471450617283,0.41623752518501994
1.8,20,8,0.0,0.8573756094239262,0.8282405344692471,0.30373109567901146,0.28885580775920966
1.8,20,10,0.0,0.9137538094553265,0.8827029078015085,0.37981635802469105,0.2880513578867241
1.8,30,1,0.23333333333333334,0.8875878020789465,0.8225866386835858,0.3709201388888879,0.8383815624710861
1.8,30,2,0.03333333333333333,0.8178264297285054,0.75793413595958,0.4097912808641985,0.6281609642758759
1.8,30,3,0.0,0.8436390387689364,0.7818563972350151,0.41367438271604934,0.497442508129911
1.8,30,4,0.0,0.7611361254188809,0.7053954611842186,0.578377700617284,0.4288806074377613
1.8,30,5,0.0,0.7723134410818585,0.7157542228742495,0.5786060956790116,0.32321291857305606
1.8,30,6,0.0,0.7724998961112182,0.7159270231487772,0.6053009259259247,0.3225760042486122
1.8,30,8,0.0,0.7550231484339349,0.6997301589137064,0.6052233796296265,0.29558308463392086
1.8,30,10,0.0,0.7521988525135244,0.6971126960752393,0.6177299382716052,0.27933996301191816
1.8,40,1,0.1,0.8704322387983157,0.7116974761562103,0.5850123456790125,0.7340156064396379
1.8,40,2,0.0,0.7509350756599263,0.6139921917898712,0.7696064814814813,0.5041206508256008
1.8,40,3,0.0,0.6352998805355367,0.5194445947954452,0.885194444444443,0.413383342716361
