delta_v,W,qp,qr_star
0.05,1.5,10,0.0
0.05,1.5,20,0.0
0.05,1.5,30,0.0
0.05,1.5,40,0.0
0.05,1.5,50,0.0
0.05,1.5,60,0.0
0.05,1.8,10,1.0
0.05,1.8,20,0.0
0.05,1.8,30,0.0
0.05,1.8,40,0.0
0.05,1.8,50,0.0
0.05,1.8,60,0.0
0.05,2.1,10,2.0
0.05,2.1,20,1.0
0.05,2.1,30,0.0
0.05,2.1,40,0.0
0.05,2.1,50,0.0
0.05,2.1,60,0.0
0.05,2.4,10,4.0
0.05,2.4,20,1.0
0.05,2.4,30,0.0
0.05,2.4,40,0.0
0.05,2.4,50,0.0
0.05,2.4,60,0.0
0.05,2.7,10,8.0
0.05,2.7,20,2.0
0.05,2.7,30,0.0
0.05,2.7,40,0.0
0.05,2.7,50,0.0
0.05,2.7,60,0.0
0.05,3.0,10,10.0
0.05,3.0,20,3.0
0.05,3.0,30,0.0
0.05,3.0,40,0.0
0.05,3.0,50,0.0
0.05,3.0,60,0.0
0.1,1.5,10,0.0
0.1,1.5,20,0.0
0.1,1.5,30,0.0
0.1,1.5,40,0.0
0.1,1.5,50,0.0
0.1,1.5,60,0.0
0.1,1.8,10,1.0
0.1,1.8,20,1.0
0.1,1.8,30,0.0
0.1,1.8,40,0.0
0.1,1.8,50,0.0
0.1,1.8,60,0.0
0.1,2.1,10,2.0
0.1,2.1,20,2.0
0.1,2.1,30,1.0
0.1,2.1,40,0.0
0.1,2.1,50,0.0
0.1,2.1,60,0.0
0.1,2.4,10,4.0
0.1,2.4,20,3.0
0.1,2.4,30,1.0
0.1,2.4,40,1.0
0.1,2.4,50,0.0
0.1,2.4,60,0.0
0.1,2.7,10,8.0
0.1,2.7,20,5.0
0.1,2.7,30,3.0
0.1,2.7,40,1.0
0.1,2.7,50,1.0
0.1,2.7,60,0.0
0.1,3.0,10,10.0
0.1,3.0,20,8.0
0.1,3.0,30,2.0
0.1,3.0,40,1.0
0.1,3.0,50,0.0
0.1,3.0,60,0.0
0.15,1.5,10,0.0
0.15,1.5,20,0.0
0.15,1.5,30,0.0
0.15,1.5,40,0.0
0.15,1.5,50,0.0
0.15,1.5,60,0.0
0.15,1.8,10,1.0
0.15,1.8,20,1.0
0.15,1.8,30,0.0
0.15,1.8,40,0.0
0.15,1.8,50,0.0
0.15,1.8,60,0.0
0.15,2.1,10,2.0
0.15,2.1,20,2.0
0.15,2.1,30,1.0
0.15,2.1,40,0.0
0.15,2.1,50,0.0
0.15,2.1,60,0.0
0.15,2.4,10,4.0
0.15,2.4,20,3.0
0.15,2.4,30,2.0
0.15,2.4,40,1.0
0.15,2.4,50,0.0
0.15,2.4,60,0.0
0.15,2.7,10,8.0
0.15,2.7,20,5.0
0.15,2.7,30,4.0
0.15,2.7,40,2.0
0.15,2.7,50,1.0
0.15,2.7,60,0.0
0.15,3.0,10,10.0
0.15,3.0,20,8.0
0.15,3.0,30,4.0
0.15,3.0,40,1.0
0.15,3.0,50,1.0
0.15,3.0,60,0.0
