W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.5,50.0,10.0,0.0,0,1.39,0.48,1.2425216994061503,6567,0.0912083333333307,40,39,0.975
1.5,50.0,10.0,0.0,8,1.39,0.48,1.2744334277620455,6354,0.0882499999999977,40,39,0.975
1.5,50.0,10.0,0.0,16,1.39,0.48,1.2959280870524883,6341,0.0880694444444417,40,40,1.0
1.5,50.0,10.0,0.0,24,1.39,0.48,1.3471710632788616,6179,0.0858194444444417,40,41,1.025
1.5,50.0,20.0,0.0,2,1.39,0.48,1.255990740740783,12960,0.1799999999999985,80,80,1.0
1.5,50.0,20.0,0.0,10,1.39,0.48,1.2405765119120484,13096,0.1818888888888878,80,81,1.0125
1.5,50.0,20.0,0.0,18,1.39,0.48,1.2620980713671592,12807,0.1778749999999988,80,81,1.0125
1.5,50.0,20.0,0.0,26,1.39,0.48,1.2384040682113764,13077,0.1816249999999988,80,80,1.0
1.5,50.0,30.0,0.0,4,1.39,0.48,1.1411587803290366,21514,0.2988055555555531,120,121,1.0083333333333333
1.5,50.0,30.0,0.0,12,1.39,0.48,1.1827696042729072,20595,0.2860416666666659,120,122,1.0166666666666666
1.5,50.0,30.0,0.0,20,1.39,0.48,1.166633653846092,20800,0.288888888888888,120,122,1.0166666666666666
1.5,50.0,30.0,0.0,28,1.39,0.48,1.158934181002339,21392,0.2971111111111086,120,121,1.0083333333333333
1.5,50.0,40.0,0.0,6,1.39,0.48,1.0774689695935704,30454,0.4229722222222144,160,156,0.975
1.5,50.0,40.0,0.0,14,1.39,0.48,1.0699565946532636,30411,0.4223749999999953,160,160,1.0
1.5,50.0,40.0,0.0,22,1.39,0.48,1.0755090891029693,30201,0.4194583333333262,160,153,0.95625
1.5,50.0,50.0,0.0,0,1.39,0.48,1.0265633589711318,39655,0.5507638888888942,200,202,1.01
1.5,50.0,50.0,0.0,8,1.39,0.48,0.954252997086532,41874,0.5815833333333361,200,198,0.99
1.5,50.0,50.0,0.0,16,1.39,0.48,1.0163920062262992,39831,0.5532083333333397,200,200,1.0
1.5,50.0,50.0,0.0,24,1.39,0.48,0.2195480863945648,83246,1.1561944444444527,0,18,1.0
1.5,50.0,60.0,0.0,2,1.39,0.48,0.3556658351152148,67344,0.935333333333325,2,32,16.0
1.5,50.0,60.0,0.0,10,1.39,0.48,0.7823749283832082,43635,0.6060416666666707,57,114,2.0
1.5,50.0,60.0,0.0,18,1.39,0.48,0.6013665229684795,64719,0.8988750000000001,113,168,1.4867256637168142
1.5,50.0,60.0,0.0,26,1.39,0.48,0.7227878227231216,59455,0.8257638888888856,160,183,1.14375
1.8,50.0,10.0,0.0,4,1.39,0.48,1.3339270456786063,6086,0.0704398148148138,40,41,1.025
1.8,50.0,10.0,0.0,12,1.39,0.48,1.3134044285249349,6142,0.0710879629629621,40,41,1.025
1.8,50.0,10.0,0.0,20,1.39,0.48,1.3600169520257293,5899,0.0682754629629621,40,39,0.975
1.8,50.0,10.0,0.0,28,1.39,0.48,1.3307149885208411,6098,0.0705787037037035,40,41,1.025
1.8,50.0,20.0,0.0,6,1.39,0.48,1.2715929409935212,12863,0.1488773148148175,80,78,0.975
1.8,50.0,20.0,0.0,14,1.39,0.48,1.2398176268599763,13105,0.1516782407407447,80,79,0.9875
1.8,50.0,20.0,0.0,22,1.39,0.48,1.2635517672817975,12788,0.1480092592592599,80,79,0.9875
1.8,50.0,30.0,0.0,0,1.39,0.48,1.1568914069877163,21180,0.245138888888889,120,118,0.9833333333333332
1.8,50.0,30.0,0.0,8,1.39,0.48,1.12475730832877,21756,0.2518055555555544,120,121,1.0083333333333333
1.8,50.0,30.0,0.0,16,1.39,0.48,1.1664799164371895,21062,0.2437731481481475,120,117,0.975
1.8,50.0,30.0,0.0,24,1.39,0.48,1.186777820673693,20722,0.2398379629629619,120,117,0.975
1.8,50.0,40.0,0.0,2,1.39,0.48,1.0867698564754962,29751,0.3443402777777776,160,160,1.0
1.8,50.0,40.0,0.0,10,1.39,0.48,1.0886810124883095,29788,0.3447685185185203,160,170,1.0625
1.8,50.0,40.0,0.0,18,1.39,0.48,1.05032309918021,31105,0.3600115740740733,160,165,1.03125
1.8,50.0,40.0,0.0,26,1.39,0.48,1.0918065006276367,30274,0.3503935185185196,160,158,0.9875
1.8,50.0,50.0,0.0,4,1.39,0.48,0.9227606945825976,44228,0.5118981481481459,200,199,0.995
1.8,50.0,50.0,0.0,12,1.39,0.48,0.936016734862669,43502,0.5034953703703788,200,191,0.955
1.8,50.0,50.0,0.0,20,1.39,0.48,0.947267039996242,42679,0.4939699074074079,200,200,1.0
1.8,50.0,50.0,0.0,28,1.39,0.48,0.9755972745033228,41974,0.4858101851851861,200,209,1.045
1.8,50.0,60.0,0.0,6,1.39,0.48,0.8385039842344223,58355,0.6754050925925862,240,228,0.95
1.8,50.0,60.0,0.0,14,1.39,0.48,0.8795038236780011,55444,0.6417129629629672,240,246,1.025
1.8,50.0,60.0,0.0,22,1.39,0.48,0.880710679190011,55257,0.6395486111111158,240,237,0.9875
2.1,50.0,10.0,0.0,0,1.39,0.48,1.2585546814746549,6483,0.0643154761904775,40,40,1.0
2.1,50.0,10.0,0.0,8,1.39,0.48,1.2977102199223831,6184,0.0613492063492078,40,39,0.975
2.1,50.0,10.0,0.0,16,1.39,0.48,1.3191081871344763,6156,0.0610714285714292,40,40,1.0
2.1,50.0,10.0,0.0,24,1.39,0.48,1.3494152237830876,6122,0.0607341269841283,40,41,1.025
2.1,50.0,20.0,0.0,2,1.39,0.48,1.27363881188121,12625,0.1252480158730155,80,79,0.9875
2.1,50.0,20.0,0.0,10,1.39,0.48,1.241157485121338,13106,0.1300198412698409,80,79,0.9875
2.1,50.0,20.0,0.0,18,1.39,0.48,1.2747223969801311,12716,0.1261507936507922,80,82,1.025
2.1,50.0,20.0,0.0,26,1.39,0.48,1.2887520931345438,12541,0.1244146825396837,80,80,1.0
2.1,50.0,30.0,0.0,4,1.39,0.48,1.2243686349269505,19933,0.1977480158730229,120,120,1.0
2.1,50.0,30.0,0.0,12,1.39,0.48,1.222152900267116,19843,0.1968551587301658,120,120,1.0
2.1,50.0,30.0,0.0,20,1.39,0.48,1.230700879914523,19661,0.1950496031746091,120,122,1.0166666666666666
2.1,50.0,30.0,0.0,28,1.39,0.48,1.2120315132297137,20182,0.2002182539682606,120,122,1.0166666666666666
2.1,50.0,40.0,0.0,6,1.39,0.48,1.1636964272980648,28046,0.2782341269841268,160,156,0.975
2.1,50.0,40.0,0.0,14,1.39,0.48,1.1131895223420474,29205,0.289732142857146,160,154,0.9625
2.1,50.0,40.0,0.0,22,1.39,0.48,1.2022408745599018,26985,0.2677083333333329,160,159,0.99375
2.1,50.0,50.0,0.0,0,1.39,0.48,1.0653902832743565,38408,0.3810317460317619,200,205,1.025
2.1,50.0,50.0,0.0,8,1.39,0.48,1.0431689976387586,38539,0.3823313492063646,200,200,1.0
2.1,50.0,50.0,0.0,16,1.39,0.48,1.0900197361307202,36988,0.3669444444444573,200,198,0.99
2.1,50.0,50.0,0.0,24,1.39,0.48,1.0823137003155414,37386,0.3708928571428695,200,202,1.01
2.1,50.0,60.0,0.0,2,1.39,0.48,0.9752481062906287,49374,0.4898214285714344,240,231,0.9625
2.1,50.0,60.0,0.0,10,1.39,0.48,1.077171938126309,44801,0.4444543650793714,240,238,0.9916666666666668
2.1,50.0,60.0,0.0,18,1.39,0.48,0.9724177096878756,49216,0.4882539682539657,240,244,1.0166666666666666
2.1,50.0,60.0,0.0,26,1.39,0.48,0.9512620976484888,50733,0.5033035714285752,240,232,0.9666666666666668
2.4,50.0,10.0,0.0,4,1.39,0.48,1.3370420669095744,6038,0.0524131944444454,40,41,1.025
2.4,50.0,10.0,0.0,12,1.39,0.48,1.3258672376873917,6071,0.0526996527777788,40,41,1.025
2.4,50.0,10.0,0.0,20,1.39,0.48,1.369386250642857,5833,0.0506336805555563,40,40,1.0
2.4,50.0,10.0,0.0,28,1.39,0.48,1.3405265789035317,6001,0.0520920138888898,40,41,1.025
2.4,50.0,20.0,0.0,6,1.39,0.48,1.3485429074741764,11921,0.1034809027777773,80,77,0.9625
2.4,50.0,20.0,0.0,14,1.39,0.48,1.2797504598896376,12503,0.1085329861111102,80,78,0.975
2.4,50.0,20.0,0.0,22,1.39,0.48,1.3300898672602568,12129,0.1052864583333331,80,81,1.0125
2.4,50.0,30.0,0.0,0,1.39,0.48,1.244324920488375,19494,0.169218750000001,120,119,0.9916666666666668
2.4,50.0,30.0,0.0,8,1.39,0.48,1.208058359148657,20014,0.1737326388888888,120,123,1.025
2.4,50.0,30.0,0.0,16,1.39,0.48,1.3088391790639833,18418,0.1598784722222234,120,118,0.9833333333333332
2.4,50.0,30.0,0.0,24,1.39,0.48,1.287854259613325,18828,0.1634375000000016,120,118,0.9833333333333332
2.4,50.0,40.0,0.0,2,1.39,0.48,1.2263120106931908,26185,0.2273003472222234,160,164,1.025
2.4,50.0,40.0,0.0,10,1.39,0.48,1.182535995250148,26948,0.2339236111111114,160,166,1.0375
2.4,50.0,40.0,0.0,18,1.39,0.48,1.2157334432125908,26696,0.2317361111111122,160,165,1.03125
