W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
2.5,50.0,50.0,0.0,0,1.39,0.48,1.171921492398778,34468,0.2872333333333335,200,204,1.02,bpmiddle0|qp50
2.5,50.0,50.0,0.0,12,1.39,0.48,1.2080962343095225,33460,0.2788333333333269,200,202,1.01,bpmiddle0|qp50
2.5,50.0,50.0,0.0,24,1.39,0.48,1.1930352351993627,33546,0.279549999999997,200,202,1.01,bpmiddle0|qp50
2.5,50.0,50.0,0.0,6,1.39,0.48,0.9971550838754094,40894,0.3407833333333355,200,197,0.985,bpmiddle15|qp50
2.5,50.0,50.0,0.0,18,1.39,0.48,1.0357193605684127,39410,0.32841666666667,200,202,1.01,bpmiddle15|qp50
2.5,50.0,50.0,0.0,0,1.39,0.48,1.16781504329942,34527,0.2877249999999988,200,204,1.02,bpentry15|qp50
2.5,50.0,50.0,0.0,12,1.39,0.48,1.1786353676705272,34229,0.2852416666666635,200,197,0.985,bpentry15|qp50
2.5,50.0,50.0,0.0,24,1.39,0.48,1.1829247451234228,33938,0.2828166666666639,200,203,1.015,bpentry15|qp50
2.5,50.0,50.0,0.0,6,1.39,0.48,1.2125619709335942,32959,0.274658333333331,200,197,0.985,bpexit15|qp50
2.5,50.0,50.0,0.0,18,1.39,0.48,1.1781837334204617,33701,0.2808416666666638,200,204,1.02,bpexit15|qp50
2.5,50.0,50.0,0.0,0,1.39,0.48,0.9661360058275404,42557,0.354641666666666,200,204,1.02,bpmiddle20|qp50
2.5,50.0,50.0,0.0,12,1.39,0.48,0.9791983152654312,41787,0.3482250000000018,200,199,0.995,bpmiddle20|qp50
2.5,50.0,50.0,0.0,24,1.39,0.48,0.9744620427303112,41797,0.348308333333337,200,201,1.005,bpmiddle20|qp50
2.5,50.0,50.0,0.0,6,1.39,0.48,1.1905842508877995,33513,0.2792749999999956,200,191,0.955,bpentry20|qp50
2.5,50.0,50.0,0.0,18,1.39,0.48,1.1289945948974316,35707,0.297558333333331,200,198,0.99,bpentry20|qp50
2.5,50.0,50.0,0.0,0,1.39,0.48,1.1821847429714705,34004,0.2833666666666655,200,202,1.01,bpexit20|qp50
2.5,50.0,50.0,0.0,12,1.39,0.48,1.1885034696587606,33865,0.2822083333333294,200,199,0.995,bpexit20|qp50
2.5,50.0,50.0,0.0,24,1.39,0.48,1.21284506356831,32878,0.2739833333333283,200,203,1.015,bpexit20|qp50
2.5,50.0,50.0,0.0,6,1.39,0.48,0.955099410811978,42601,0.3550083333333319,198,199,1.005050505050505,bpmiddle30|qp50
2.5,50.0,50.0,0.0,18,1.39,0.48,0.9690674315093156,42013,0.3501083333333386,198,202,1.02020202020202,bpmiddle30|qp50
2.5,50.0,50.0,0.0,0,1.39,0.48,1.1749940116262607,34233,0.2852749999999975,200,204,1.02,bpentry30|qp50
2.5,50.0,50.0,0.0,12,1.39,0.48,1.1924793510759062,33779,0.281491666666664,200,200,1.0,bpentry30|qp50
2.5,50.0,50.0,0.0,24,1.39,0.48,1.194657926102489,33560,0.2796666666666645,200,201,1.005,bpentry30|qp50
2.5,50.0,50.0,0.0,6,1.39,0.48,1.2075468283413444,33153,0.2762749999999979,200,200,1.0,bpexit30|qp50
2.5,50.0,50.0,0.0,18,1.39,0.48,1.1796924812253964,33689,0.2807416666666643,200,204,1.02,bpexit30|qp50
