position,theta,W,sinuosity,qp,qr_star,base_pass
entry,15,2.5,1.0031,50,6.0,True
entry,20,2.5,1.0055,50,6.0,True
entry,30,2.5,1.0123,50,6.0,True
entry,45,2.5,1.0275,50,4.0,True
entry,60,2.5,1.0483,50,1.0,True
entry,75,2.5,1.0742,50,0.0,False
entry,90,2.5,1.1043,50,20.0,True
exit,15,2.5,1.0031,50,3.0,True
exit,20,2.5,1.0055,50,2.0,True
exit,30,2.5,1.0123,50,3.0,True
exit,45,2.5,1.0275,50,3.0,True
exit,60,2.5,1.0483,50,3.0,True
exit,75,2.5,1.0742,50,0.0,False
exit,90,2.5,1.1043,50,0.0,True
middle,0,2.5,1.0,50,8.0,True
middle,15,2.5,1.0086,50,2.0,True
middle,20,2.5,1.0154,50,2.0,True
middle,30,2.5,1.0353,50,1.0,True
middle,45,2.5,1.0824,50,1.0,True
middle,60,2.5,1.1547,50,2.0,True
middle,75,2.5,1.2605,50,0.0,True
middle,90,2.5,1.4142,50,0.0,True
