W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
2.5,50.0,50.0,15.0,0,1.39,0.48,0.6722802197802372,30212,0.2517666666666642,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,12,1.39,0.48,0.6727977875814924,30374,0.253116666666664,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,24,1.39,0.48,0.6745168816452379,30003,0.2500249999999975,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,1,1.39,0.48,0.6780001333466305,29997,0.2499749999999986,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,13,1.39,0.48,0.65908431135372,30589,0.2549083333333301,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,25,1.39,0.48,0.6416431229110127,31714,0.2642833333333314,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,2,1.39,0.48,0.6646502735843408,30338,0.2528166666666644,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,14,1.39,0.48,0.6782010984648337,30224,0.2518666666666649,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,26,1.39,0.48,0.6703760418044793,30236,0.2519666666666639,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,3,1.39,0.48,0.6663475621825414,30314,0.2526166666666644,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,15,1.39,0.48,0.6778899912851132,29834,0.2486166666666651,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,27,1.39,0.48,0.6496348877925074,31415,0.2617916666666636,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,4,1.39,0.48,0.6421302573760009,31860,0.2654999999999973,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,16,1.39,0.48,0.6675324375946661,30366,0.2530499999999977,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,28,1.39,0.48,0.642707830176701,31468,0.2622333333333309,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,5,1.39,0.48,0.6651152302948148,30157,0.2513083333333314,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,17,1.39,0.48,0.6490376180566475,31235,0.2602916666666668,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,29,1.39,0.48,0.6763697755678258,29764,0.2480333333333322,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,6,1.39,0.48,0.6761877990830565,29883,0.2490249999999986,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,18,1.39,0.48,0.6606416326530768,30625,0.255208333333332,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,7,1.39,0.48,0.6812518087290825,29717,0.247641666666666,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,19,1.39,0.48,0.6713628011092634,29931,0.2494249999999962,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,8,1.39,0.48,0.6694542777796084,29887,0.249058333333332,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,20,1.39,0.48,0.669113365390929,30362,0.2530166666666652,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,9,1.39,0.48,0.6623932381421237,30465,0.2538749999999974,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,21,1.39,0.48,0.6656779939529384,30428,0.253566666666663,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,10,1.39,0.48,0.6737956925509098,30366,0.2530499999999963,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,22,1.39,0.48,0.6939712053495609,29311,0.2442583333333302,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,11,1.39,0.48,0.6511605839416307,31510,0.2625833333333316,0,0,1.0,bpentry90|qp50
2.5,50.0,50.0,15.0,23,1.39,0.48,0.6721012450852099,30520,0.2543333333333295,0,0,1.0,bpentry90|qp50
