W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
2.0,50.0,50.0,0.0,0,1.39,0.48,1.0072849700187567,40692,0.4238749999999972,200,207,1.035,bend0W2.0|qp50
2.0,50.0,50.0,0.0,12,1.39,0.48,1.014665991152342,40463,0.4214895833333341,200,197,0.985,bend0W2.0|qp50
2.0,50.0,50.0,0.0,24,1.39,0.48,1.0399992296630491,38944,0.4056666666666701,200,201,1.005,bend0W2.0|qp50
2.5,50.0,50.0,0.0,6,1.39,0.48,1.2174242975909602,32958,0.2746499999999984,200,199,0.995,bend0W2.5|qp50
2.5,50.0,50.0,0.0,18,1.39,0.48,1.2141190084659137,32838,0.2736499999999977,200,196,0.98,bend0W2.5|qp50
3.0,50.0,50.0,0.0,0,1.39,0.48,1.190229154346634,33820,0.2348611111111093,200,202,1.01,bend0W3.0|qp50
3.0,50.0,50.0,0.0,12,1.39,0.48,1.2185708246518954,33117,0.229979166666667,200,200,1.0,bend0W3.0|qp50
3.0,50.0,50.0,0.0,24,1.39,0.48,1.2274196420347527,32573,0.226201388888886,200,203,1.015,bend0W3.0|qp50
2.0,50.0,50.0,0.0,6,1.39,0.48,0.9210788511983824,44603,0.4646145833333355,198,199,1.005050505050505,bend30W2.0|qp50
2.0,50.0,50.0,0.0,18,1.39,0.48,0.9181597152260528,44667,0.4652812500000009,198,203,1.0252525252525253,bend30W2.0|qp50
2.5,50.0,50.0,0.0,0,1.39,0.48,0.9129205502778552,44632,0.3719333333333346,198,205,1.0353535353535352,bend30W2.5|qp50
2.5,50.0,50.0,0.0,12,1.39,0.48,0.9292882157637612,43974,0.3664500000000023,198,198,1.0,bend30W2.5|qp50
2.5,50.0,50.0,0.0,24,1.39,0.48,0.9503031083834752,42691,0.3557583333333344,198,202,1.02020202020202,bend30W2.5|qp50
3.0,50.0,50.0,0.0,6,1.39,0.48,0.9652527787737704,41835,0.2905208333333333,198,199,1.005050505050505,bend30W3.0|qp50
3.0,50.0,50.0,0.0,18,1.39,0.48,0.9651423910175142,41681,0.2894513888888845,198,202,1.02020202020202,bend30W3.0|qp50
2.0,50.0,50.0,0.0,0,1.39,0.48,0.8259258286707113,49507,0.5156979166666666,198,202,1.02020202020202,bend45W2.0|qp50
2.0,50.0,50.0,0.0,12,1.39,0.48,0.8707665565044995,46598,0.4853958333333347,198,194,0.9797979797979798,bend45W2.0|qp50
2.0,50.0,50.0,0.0,24,1.39,0.48,0.9078091326620212,45288,0.4717500000000019,198,202,1.02020202020202,bend45W2.0|qp50
2.5,50.0,50.0,0.0,6,1.39,0.48,0.9144220762991256,44011,0.3667583333333316,198,198,1.0,bend45W2.5|qp50
2.5,50.0,50.0,0.0,18,1.39,0.48,0.9353216592440856,42887,0.3573916666666742,198,203,1.0252525252525253,bend45W2.5|qp50
3.0,50.0,50.0,0.0,0,1.39,0.48,0.9214929532424438,43779,0.3040208333333316,198,205,1.0353535353535352,bend45W3.0|qp50
3.0,50.0,50.0,0.0,12,1.39,0.48,0.9677016158424642,41155,0.2857986111111121,198,196,0.98989898989899,bend45W3.0|qp50
3.0,50.0,50.0,0.0,24,1.39,0.48,0.9495425987624636,42020,0.2918055555555542,198,202,1.02020202020202,bend45W3.0|qp50
2.0,50.0,50.0,0.0,6,1.39,0.48,0.9884475220439451,40941,0.4264687500000018,198,195,0.9848484848484848,bend60W2.0|qp50
2.0,50.0,50.0,0.0,18,1.39,0.48,0.9727678313601174,41556,0.4328750000000006,200,206,1.03,bend60W2.0|qp50
2.5,50.0,50.0,0.0,0,1.39,0.48,0.9871126501142286,40719,0.3393249999999989,200,204,1.02,bend60W2.5|qp50
