theta,W,sinuosity,qp,vbar,base_pass,qr_star,above_upper
0,2.0,1.0,50,1.026,True,0.0,False
30,2.0,1.0353,50,0.895,True,1.0,False
45,2.0,1.0824,50,0.866,True,1.0,False
60,2.0,1.1547,50,0.969,True,1.0,False
75,2.0,1.2605,50,0.87,True,0.0,False
90,2.0,1.4142,50,0.194,False,0.0,False
0,2.5,1.0,50,1.198,True,8.0,False
30,2.5,1.0353,50,0.931,True,1.0,False
45,2.5,1.0824,50,0.917,True,1.0,False
60,2.5,1.1547,50,0.991,True,2.0,False
75,2.5,1.2605,50,0.904,True,0.0,False
90,2.5,1.4142,50,0.623,True,0.0,False
0,3.0,1.0,50,1.207,True,10.0,False
30,3.0,1.0353,50,0.937,True,1.0,False
45,3.0,1.0824,50,0.923,True,1.0,False
60,3.0,1.1547,50,0.997,True,2.0,False
75,3.0,1.2605,50,0.923,True,1.0,False
90,3.0,1.4142,50,0.665,True,0.0,False
