W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
2.5,50.0,50.0,2.0,0,1.39,0.48,1.1511771114042288,34882,0.2906833333333293,200,203,1.015,bend0W2.5|qp50
2.5,50.0,50.0,2.0,12,1.39,0.48,1.174905830640581,34353,0.2862749999999968,200,201,1.005,bend0W2.5|qp50
2.5,50.0,50.0,2.0,24,1.39,0.48,1.218284715891795,32910,0.2742499999999957,200,201,1.005,bend0W2.5|qp50
3.0,50.0,50.0,2.0,6,1.39,0.48,1.211180013316444,33042,0.2294583333333312,200,199,0.995,bend0W3.0|qp50
3.0,50.0,50.0,2.0,18,1.39,0.48,1.174377863940819,34044,0.2364166666666634,200,198,0.99,bend0W3.0|qp50
2.0,50.0,50.0,2.0,0,1.39,0.48,0.6590517128108472,53275,0.5549479166666702,98,145,1.479591836734694,bend30W2.0|qp50
2.0,50.0,50.0,2.0,12,1.39,0.48,0.4010293681399608,70791,0.7374062499999983,70,106,1.5142857142857142,bend30W2.0|qp50
2.0,50.0,50.0,2.0,24,1.39,0.48,0.7947692762768216,50710,0.5282291666666641,198,196,0.98989898989899,bend30W2.0|qp50
2.5,50.0,50.0,2.0,6,1.39,0.48,0.7745983622538537,51290,0.4274166666666725,200,191,0.955,bend30W2.5|qp50
2.5,50.0,50.0,2.0,18,1.39,0.48,0.7689643224308631,52526,0.4377166666666725,200,199,0.995,bend30W2.5|qp50
3.0,50.0,50.0,2.0,0,1.39,0.48,0.8488395840294064,47888,0.3325555555555614,198,205,1.0353535353535352,bend30W3.0|qp50
3.0,50.0,50.0,2.0,12,1.39,0.48,0.8547258581038305,46527,0.3231041666666719,200,198,0.99,bend30W3.0|qp50
3.0,50.0,50.0,2.0,24,1.39,0.48,0.8616493887952816,46302,0.321541666666673,200,197,0.985,bend30W3.0|qp50
2.0,50.0,50.0,2.0,6,1.39,0.48,0.7129214323501155,54819,0.571031249999999,200,187,0.935,bend45W2.0|qp50
2.0,50.0,50.0,2.0,18,1.39,0.48,0.7483209595583022,53608,0.5584166666666665,200,198,0.99,bend45W2.0|qp50
2.5,50.0,50.0,2.0,0,1.39,0.48,0.7394927934241254,52799,0.4399916666666746,200,195,0.975,bend45W2.5|qp50
2.5,50.0,50.0,2.0,12,1.39,0.48,0.7663791034794264,50841,0.4236750000000073,200,190,0.95,bend45W2.5|qp50
2.5,50.0,50.0,2.0,24,1.39,0.48,0.7522591839865215,52156,0.4346333333333446,200,193,0.965,bend45W2.5|qp50
3.0,50.0,50.0,2.0,6,1.39,0.48,0.8314208775213289,48090,0.3339583333333396,198,196,0.98989898989899,bend45W3.0|qp50
3.0,50.0,50.0,2.0,18,1.39,0.48,0.8961168988077608,43867,0.3046319444444517,200,202,1.01,bend45W3.0|qp50
2.0,50.0,50.0,2.0,0,1.39,0.48,0.9340273258095456,43329,0.4513437500000022,200,203,1.015,bend60W2.0|qp50
2.0,50.0,50.0,2.0,12,1.39,0.48,0.8348097059376525,47847,0.4984062499999984,198,191,0.9646464646464646,bend60W2.0|qp50
2.0,50.0,50.0,2.0,24,1.39,0.48,0.957193535295638,41889,0.4363437500000008,200,200,1.0,bend60W2.0|qp50
2.5,50.0,50.0,2.0,6,1.39,0.48,0.9348562367864894,42570,0.354750000000001,200,194,0.97,bend60W2.5|qp50
2.5,50.0,50.0,2.0,18,1.39,0.48,0.9365874699806664,42889,0.3574083333333384,198,204,1.0303030303030305,bend60W2.5|qp50
3.0,50.0,50.0,2.0,0,1.39,0.48,0.9516961588260612,41706,0.2896250000000002,198,202,1.02020202020202,bend60W3.0|qp50
3.0,50.0,50.0,2.0,12,1.39,0.48,0.943987577345162,42181,0.2929236111111106,198,200,1.0101010101010102,bend60W3.0|qp50
3.0,50.0,50.0,2.0,24,1.39,0.48,0.9638735838391684,40691,0.2825763888888855,198,199,1.005050505050505,bend60W3.0|qp50
3.0,50.0,50.0,2.0,6,1.39,0.48,0.7951110471333614,48628,0.3376944444444513,200,192,0.96,bend75W3.0|qp50
3.0,50.0,50.0,2.0,18,1.39,0.48,0.7572738043521327,50642,0.3516805555555578,200,197,0.985,bend75W3.0|qp50
2.5,50.0,50.0,2.0,1,1.39,0.48,1.1466432272390177,35126,0.2927166666666624,200,200,1.0,bend0W2.5|qp50
2.5,50.0,50.0,2.0,13,1.39,0.48,1.178041471962706,34240,0.2853333333333285,200,199,0.995,bend0W2.5|qp50
2.5,50.0,50.0,2.0,25,1.39,0.48,1.1537158876365927,34958,0.2913166666666627,200,204,1.02,bend0W2.5|qp50
3.0,50.0,50.0,2.0,7,1.39,0.48,1.1673571720950306,34202,0.2375138888888861,200,201,1.005,bend0W3.0|qp50
3.0,50.0,50.0,2.0,19,1.39,0.48,1.2322530692825275,32418,0.2251249999999978,200,200,1.0,bend0W3.0|qp50
2.0,50.0,50.0,2.0,1,1.39,0.48,0.7563114707173251,52403,0.5458645833333344,200,193,0.965,bend30W2.0|qp50
2.0,50.0,50.0,2.0,13,1.39,0.48,0.732751150974909,54519,0.5679062499999997,200,192,0.96,bend30W2.0|qp50
2.0,50.0,50.0,2.0,25,1.39,0.48,0.7517247484159533,53660,0.5589583333333309,200,196,0.98,bend30W2.0|qp50
2.5,50.0,50.0,2.0,7,1.39,0.48,0.8721620272937609,46091,0.384091666666662,198,196,0.98989898989899,bend30W2.5|qp50
2.5,50.0,50.0,2.0,19,1.39,0.48,0.8406847687738424,47140,0.3928333333333362,200,194,0.97,bend30W2.5|qp50
3.0,50.0,50.0,2.0,1,1.39,0.48,0.852831759782979,47557,0.330256944444455,198,199,1.005050505050505,bend30W3.0|qp50
3.0,50.0,50.0,2.0,13,1.39,0.48,0.8124568609685249,49665,0.3448958333333373,200,196,0.98,bend30W3.0|qp50
3.0,50.0,50.0,2.0,25,1.39,0.48,0.8334743401910767,48461,0.3365347222222258,198,198,1.0,bend30W3.0|qp50
2.0,50.0,50.0,2.0,7,1.39,0.48,0.7982356628649984,49452,0.5151249999999998,200,191,0.955,bend45W2.0|qp50
2.0,50.0,50.0,2.0,19,1.39,0.48,0.9167723824328148,43103,0.4489895833333384,198,198,1.0,bend45W2.0|qp50
2.5,50.0,50.0,2.0,1,1.39,0.48,0.761931091755356,51779,0.4314916666666773,200,195,0.975,bend45W2.5|qp50
2.5,50.0,50.0,2.0,13,1.39,0.48,0.8778691543707061,45611,0.3800916666666644,200,196,0.98,bend45W2.5|qp50
2.5,50.0,50.0,2.0,25,1.39,0.48,0.7835014087814332,51108,0.4258999999999976,200,195,0.975,bend45W2.5|qp50
3.0,50.0,50.0,2.0,7,1.39,0.48,0.8950718848036912,44307,0.3076875000000074,200,196,0.98,bend45W3.0|qp50
3.0,50.0,50.0,2.0,19,1.39,0.48,0.8879006025461169,44146,0.3065694444444516,200,198,0.99,bend45W3.0|qp50
2.0,50.0,50.0,2.0,1,1.39,0.48,0.9231638523348992,42935,0.4472395833333359,200,198,0.99,bend60W2.0|qp50
2.0,50.0,50.0,2.0,13,1.39,0.48,0.8098924731182773,49197,0.5124687499999968,198,184,0.9292929292929292,bend60W2.0|qp50
2.0,50.0,50.0,2.0,25,1.39,0.48,0.8661541137589319,45992,0.4790833333333331,198,195,0.9848484848484848,bend60W2.0|qp50
2.5,50.0,50.0,2.0,7,1.39,0.48,0.7909445451397873,49103,0.4091916666666648,200,176,0.88,bend60W2.5|qp50
2.5,50.0,50.0,2.0,19,1.39,0.48,0.8508608724029295,45965,0.3830416666666695,200,197,0.985,bend60W2.5|qp50
3.0,50.0,50.0,2.0,1,1.39,0.48,0.961805881777224,40872,0.2838333333333341,198,201,1.0151515151515151,bend60W3.0|qp50
3.0,50.0,50.0,2.0,13,1.39,0.48,0.954803470039258,41037,0.2849791666666653,198,196,0.98989898989899,bend60W3.0|qp50
3.0,50.0,50.0,2.0,25,1.39,0.48,0.8759460174066334,45385,0.3151736111111118,200,202,1.01,bend60W3.0|qp50
3.0,50.0,50.0,2.0,7,1.39,0.48,0.7698515434605764,49240,0.3419444444444524,200,190,0.95,bend75W3.0|qp50
3.0,50.0,50.0,2.0,19,1.39,0.48,0.7668641038001464,49788,0.3457500000000053,200,197,0.985,bend75W3.0|qp50
2.5,50.0,50.0,2.0,2,1.39,0.48,1.1478732993198049,35280,0.2939999999999942,200,198,0.99,bend0W2.5|qp50
2.5,50.0,50.0,2.0,14,1.39,0.48,1.1699193758127575,34605,0.2883749999999976,200,201,1.005,bend0W2.5|qp50
2.5,50.0,50.0,2.0,26,1.39,0.48,1.1909617205066794,33804,0.2817000000000016,200,195,0.975,bend0W2.5|qp50
3.0,50.0,50.0,2.0,8,1.39,0.48,1.1578997002067437,34357,0.238590277777777,200,200,1.0,bend0W3.0|qp50
3.0,50.0,50.0,2.0,20,1.39,0.48,1.193051244075937,33760,0.2344444444444428,200,199,0.995,bend0W3.0|qp50
2.0,50.0,50.0,2.0,2,1.39,0.48,0.7513298684848021,53682,0.5591875000000011,200,194,0.97,bend30W2.0|qp50
2.0,50.0,50.0,2.0,14,1.39,0.48,0.7428177361936905,53653,0.5588854166666575,200,192,0.96,bend30W2.0|qp50
2.0,50.0,50.0,2.0,26,1.39,0.48,0.7436596614237672,53341,0.5556354166666676,198,190,0.9595959595959596,bend30W2.0|qp50
2.5,50.0,50.0,2.0,8,1.39,0.48,0.8524614604891291,47354,0.3946166666666615,200,197,0.985,bend30W2.5|qp50
2.5,50.0,50.0,2.0,20,1.39,0.48,0.7805742956844584,50723,0.4226916666666752,200,193,0.965,bend30W2.5|qp50
3.0,50.0,50.0,2.0,2,1.39,0.48,0.8761457854783674,45711,0.3174375000000086,198,197,0.9949494949494948,bend30W3.0|qp50
3.0,50.0,50.0,2.0,14,1.39,0.48,0.8126523290225341,49334,0.3425972222222247,200,197,0.985,bend30W3.0|qp50
3.0,50.0,50.0,2.0,26,1.39,0.48,0.9034228914033788,44366,0.3080972222222273,198,194,0.9797979797979798,bend30W3.0|qp50
2.0,50.0,50.0,2.0,8,1.39,0.48,0.7079332546411179,55914,0.5824375000000068,200,192,0.96,bend45W2.0|qp50
