W,qp,qr_star_sf,qr_star_jp
1.5,10,0.0,0.0
1.5,20,0.0,0.0
1.5,30,0.0,0.0
1.5,40,0.0,0.0
1.5,50,0.0,0.0
1.5,60,0.0,0.0
1.8,10,1.0,12.0
1.8,20,1.0,6.0
1.8,30,0.0,4.0
1.8,40,0.0,1.0
1.8,50,0.0,0.0
1.8,60,0.0,0.0
2.1,10,2.0,15.0
2.1,20,2.0,12.0
2.1,30,1.0,8.0
2.1,40,0.0,2.0
2.1,50,0.0,0.0
2.1,60,0.0,0.0
2.4,10,4.0,20.0
2.4,20,3.0,15.0
2.4,30,1.0,12.0
2.4,40,1.0,12.0
2.4,50,0.0,6.0
2.4,60,0.0,4.0
2.7,10,8.0,20.0
2.7,20,5.0,20.0
2.7,30,3.0,18.0
2.7,40,1.0,15.0
2.7,50,1.0,10.0
2.7,60,0.0,6.0
3.0,10,10.0,20.0
3.0,20,8.0,20.0
3.0,30,2.0,18.0
3.0,40,1.0,15.0
3.0,50,0.0,10.0
3.0,60,0.0,6.0
