cell_id,city,city_code,type,context,W,sinuosity,qp,vbar,base_pass,dens_base,fr_base,qr_star,above_upper
AMS-7370864-0,amsterdam,AMS,A,residential,2.5,1.0,12,1.326,True,0.06,0.999,20.0,True
AMS-7370864-0,amsterdam,AMS,A,residential,2.5,1.0,30,1.259,True,0.16,0.999,12.0,False
AMS-234078234-1,amsterdam,AMS,B,residential,1.5,1.0492,8,1.213,True,0.002,1.014,0.0,False
AMS-1442153735-0,amsterdam,AMS,B,residential,1.5,1.0491,8,1.135,True,0.082,1.013,0.0,False
AMS-4449179-0,amsterdam,AMS,B,residential,1.5,1.0489,8,1.21,True,0.027,0.997,0.0,False
AMS-4495979-0,amsterdam,AMS,B,residential,2.5,1.0288,12,1.188,True,0.059,1.003,15.0,False
AMS-4496429-0,amsterdam,AMS,B,residential,2.5,1.058,12,1.152,True,0.071,0.999,20.0,True
AMS-234078234-1,amsterdam,AMS,B,residential,1.5,1.0492,18,1.147,True,0.005,1.006,0.0,False
AMS-1442153735-0,amsterdam,AMS,B,residential,1.5,1.0491,18,0.974,True,0.214,1.024,0.0,False
AMS-4449179-0,amsterdam,AMS,B,residential,1.5,1.0489,18,1.092,True,0.071,1.0,0.0,False
AMS-1386681638-13,amsterdam,AMS,B,tourism/mixed,1.5,1.0501,30,1.175,True,0.074,0.999,0.0,False
AMS-4495979-0,amsterdam,AMS,B,residential,2.5,1.0288,30,1.169,True,0.149,1.002,8.0,False
AMS-4496429-0,amsterdam,AMS,B,residential,2.5,1.058,30,0.981,True,0.211,0.999,6.0,False
AMS-1073074102-0,amsterdam,AMS,B,tourism/mixed,2.5,1.0502,50,1.13,True,0.296,1.002,4.0,False
AMS-1351790552-1,amsterdam,AMS,B,tourism/mixed,2.5,1.0502,50,1.081,True,0.155,0.995,0.0,False
AMS-1386681638-13,amsterdam,AMS,B,tourism/mixed,1.5,1.0501,52,1.078,True,0.14,0.999,0.0,False
AMS-1073074102-0,amsterdam,AMS,B,tourism/mixed,2.5,1.0502,88,0.29,False,1.166,9.874,0.0,False
AMS-1351790552-1,amsterdam,AMS,B,tourism/mixed,2.5,1.0502,88,0.611,False,0.491,1.368,0.0,False
AMS-244428233-0,amsterdam,AMS,C,residential,1.2,1.0077,6,1.301,True,0.065,0.992,20.0,True
AMS-4480499-0,amsterdam,AMS,C,residential,1.5,1.0171,8,1.155,True,0.079,1.003,0.0,False
AMS-4480498-0,amsterdam,AMS,C,residential,2.5,1.0,12,1.274,True,0.032,0.998,20.0,True
AMS-244428233-0,amsterdam,AMS,C,residential,1.2,1.0077,14,1.236,True,0.158,1.006,20.0,True
AMS-4480499-0,amsterdam,AMS,C,residential,1.5,1.0171,18,1.129,True,0.182,0.999,0.0,False
AMS-4480626-0,amsterdam,AMS,C,residential,3.6,1.0352,18,1.225,True,0.067,1.0,15.0,False
AMS-4480644-0,amsterdam,AMS,C,residential,3.6,1.0,18,1.324,True,0.063,1.0,20.0,True
AMS-7370881-0,amsterdam,AMS,C,commercial,1.5,1.0,22,1.221,True,0.205,0.999,0.0,False
AMS-4480498-0,amsterdam,AMS,C,residential,2.5,1.0,30,1.227,True,0.083,0.998,20.0,True
AMS-7370881-0,amsterdam,AMS,C,commercial,1.5,1.0,38,1.077,True,0.401,0.994,0.0,False
AMS-4480626-0,amsterdam,AMS,C,residential,3.6,1.0352,43,1.065,True,0.186,1.002,8.0,False
AMS-4480644-0,amsterdam,AMS,C,residential,3.6,1.0,43,1.231,True,0.162,0.999,15.0,False
AMS-4495978-0,amsterdam,AMS,D,residential,2.5,1.005,12,1.311,True,0.061,0.999,20.0,True
AMS-4495978-0,amsterdam,AMS,D,residential,2.5,1.005,30,1.238,True,0.163,0.994,15.0,False
AMS-7371505-3,amsterdam,AMS,D,commercial,4.0,1.001,60,1.173,True,0.213,0.999,8.0,False
AMS-7371505-0,amsterdam,AMS,D,tourism/mixed,4.0,1.0004,80,1.027,True,0.323,0.994,8.0,False
AMS-7371505-3,amsterdam,AMS,D,commercial,4.0,1.001,100,0.9,True,0.465,0.99,3.0,False
AMS-7371505-0,amsterdam,AMS,D,tourism/mixed,4.0,1.0004,140,0.439,False,1.075,1.712,0.0,False
