W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.2,50.0,14.0,20.0,0,1.39,0.48,1.2239829396325907,9144,0.1587500000000004,56,58,1.0357142857142858,AMS-244428233-0|qp14
1.2,50.0,14.0,20.0,12,1.39,0.48,1.2486536748329395,8980,0.1559027777777789,56,57,1.0178571428571428,AMS-244428233-0|qp14
1.2,50.0,14.0,20.0,24,1.39,0.48,1.251435999557535,9039,0.1569270833333344,56,58,1.0357142857142858,AMS-244428233-0|qp14
1.2,50.0,6.0,20.0,6,1.39,0.48,1.3176997578692866,3717,0.0645312499999999,24,24,1.0,AMS-244428233-0|qp6
1.2,50.0,6.0,20.0,18,1.39,0.48,1.3412202630842494,3573,0.06203125,24,24,1.0,AMS-244428233-0|qp6
2.5,50.0,12.0,20.0,0,1.39,0.48,1.1801355275895409,4132,0.034433333333334,48,48,1.0,AMS-4480498-0|qp12
2.5,50.0,12.0,20.0,12,1.39,0.48,1.259813423166621,3859,0.0321583333333337,48,48,1.0,AMS-4480498-0|qp12
2.5,50.0,12.0,20.0,24,1.39,0.48,1.2800552922590651,3798,0.0316500000000004,48,47,0.9791666666666666,AMS-4480498-0|qp12
2.5,50.0,30.0,20.0,6,1.39,0.48,1.1732142167278323,10354,0.0862833333333346,120,120,1.0,AMS-4480498-0|qp30
2.5,50.0,30.0,20.0,18,1.39,0.48,1.1664060251367017,10423,0.086858333333334,120,119,0.9916666666666668,AMS-4480498-0|qp30
3.6,50.0,18.0,20.0,0,1.39,0.48,1.1814840901557964,12068,0.069837962962963,72,74,1.0277777777777777,AMS-4480644-0|qp18
3.6,50.0,18.0,20.0,12,1.39,0.48,1.2498680555555777,11520,0.0666666666666674,72,71,0.9861111111111112,AMS-4480644-0|qp18
3.6,50.0,18.0,20.0,24,1.39,0.48,1.267335167272999,11269,0.0652141203703698,72,73,1.0138888888888888,AMS-4480644-0|qp18
2.5,50.0,12.0,20.0,6,1.39,0.48,1.2084539846406277,7943,0.0661916666666677,48,48,1.0,AMS-4495978-0|qp12
2.5,50.0,12.0,20.0,18,1.39,0.48,1.2061992021939538,8022,0.0668500000000012,48,47,0.9791666666666666,AMS-4495978-0|qp12
2.5,50.0,12.0,20.0,0,1.39,0.48,1.022480757229037,9614,0.0801166666666688,48,49,1.0208333333333333,AMS-4496429-0|qp12
2.5,50.0,12.0,20.0,12,1.39,0.48,1.0810882128448585,9171,0.0764250000000015,48,50,1.0416666666666667,AMS-4496429-0|qp12
2.5,50.0,12.0,20.0,24,1.39,0.48,1.0269923172757918,9632,0.0802666666666684,48,49,1.0208333333333333,AMS-4496429-0|qp12
2.5,50.0,12.0,20.0,6,1.39,0.48,1.2771436227224946,7464,0.0622000000000012,48,49,1.0208333333333333,AMS-7370864-0|qp12
2.5,50.0,12.0,20.0,18,1.39,0.48,1.230008938832842,7831,0.0652583333333344,48,47,0.9791666666666666,AMS-7370864-0|qp12
