tag,mean_qr_star,seedwise_qr_star,delta
AMS-1073074102-0|qp50,4.0,1.0,-3.0
AMS-1351790552-1|qp50,0.0,0.0,0.0
AMS-1386681638-13|qp30,0.0,0.0,0.0
AMS-1386681638-13|qp52,0.0,0.0,0.0
AMS-1442153735-0|qp18,0.0,0.0,0.0
AMS-1442153735-0|qp8,0.0,0.0,0.0
AMS-234078234-1|qp18,0.0,0.0,0.0
AMS-234078234-1|qp8,0.0,0.0,0.0
AMS-244428233-0|qp14,20.0,20.0,0.0
AMS-244428233-0|qp6,20.0,20.0,0.0
AMS-4449179-0|qp18,0.0,0.0,0.0
AMS-4449179-0|qp8,0.0,0.0,0.0
AMS-4480498-0|qp12,20.0,20.0,0.0
AMS-4480498-0|qp30,20.0,18.0,-2.0
AMS-4480499-0|qp18,0.0,0.0,0.0
AMS-4480499-0|qp8,0.0,0.0,0.0
AMS-4480626-0|qp18,15.0,12.0,-3.0
AMS-4480626-0|qp43,8.0,6.0,-2.0
AMS-4480644-0|qp18,20.0,18.0,-2.0
AMS-4480644-0|qp43,15.0,10.0,-5.0
AMS-4495978-0|qp12,20.0,15.0,-5.0
AMS-4495978-0|qp30,15.0,10.0,-5.0
AMS-4495979-0|qp12,15.0,12.0,-3.0
AMS-4495979-0|qp30,8.0,5.0,-3.0
AMS-4496429-0|qp12,20.0,12.0,-8.0
AMS-4496429-0|qp30,6.0,2.0,-4.0
AMS-7370864-0|qp12,20.0,20.0,0.0
AMS-7370864-0|qp30,12.0,12.0,0.0
AMS-7370881-0|qp22,0.0,0.0,0.0
AMS-7370881-0|qp38,0.0,0.0,0.0
AMS-7371505-0|qp80,8.0,6.0,-2.0
AMS-7371505-3|qp100,3.0,0.0,-3.0
AMS-7371505-3|qp60,8.0,6.0,-2.0
LON-1220560922-0|qp22,0.0,0.0,0.0
LON-1220560922-0|qp38,0.0,0.0,0.0
LON-227726113-0|qp45,0.0,0.0,0.0
LON-227726725-0|qp45,0.0,0.0,0.0
LON-4082521-1|qp45,0.0,0.0,0.0
LON-4082521-2|qp30,0.0,0.0,0.0
LON-4082521-2|qp52,0.0,0.0,0.0
LON-4082523-0|qp30,0.0,0.0,0.0
LON-4082523-0|qp52,0.0,0.0,0.0
LON-4082553-0|qp38,15.0,10.0,-5.0
LON-4082553-0|qp62,3.0,0.0,-3.0
LON-4082554-0|qp38,12.0,8.0,-4.0
LON-4082554-0|qp62,3.0,1.0,-2.0
LON-4082560-0|qp22,0.0,0.0,0.0
LON-4082560-0|qp38,0.0,0.0,0.0
LON-4082592-0|qp38,12.0,10.0,-2.0
LON-4082592-0|qp62,4.0,1.0,-3.0
LON-4244822-0|qp30,0.0,0.0,0.0
LON-4244822-0|qp52,0.0,0.0,0.0
LON-4244822-1|qp30,0.0,0.0,0.0
LON-4244822-1|qp52,0.0,0.0,0.0
LON-4244822-2|qp30,0.0,0.0,0.0
LON-4244822-2|qp52,0.0,0.0,0.0
LON-4253167-0|qp22,0.0,0.0,0.0
LON-4253167-0|qp38,0.0,0.0,0.0
LON-4253884-0|qp22,0.0,0.0,0.0
LON-4253884-0|qp38,0.0,0.0,0.0
LON-4259165-1|qp22,0.0,0.0,0.0
LON-4259165-1|qp38,0.0,0.0,0.0
LON-4259243-0|qp24,0.0,0.0,0.0
LON-4259243-0|qp42,0.0,0.0,0.0
LON-4260255-0|qp30,0.0,0.0,0.0
LON-4260255-0|qp52,0.0,0.0,0.0
LON-4260262-0|qp22,0.0,0.0,0.0
LON-4260262-0|qp38,0.0,0.0,0.0
LON-4260262-1|qp22,0.0,0.0,0.0
LON-4260262-1|qp38,0.0,0.0,0.0
SIN-1105987650-1|qp50,6.0,0.0,-6.0
SIN-1189801155-0|qp10,0.0,0.0,0.0
SIN-1189801155-0|qp18,0.0,0.0,0.0
SIN-131164229-0|qp10,20.0,18.0,-2.0
SIN-131164229-0|qp24,20.0,15.0,-5.0
SIN-139715353-1|qp22,8.0,6.0,-2.0
SIN-139715353-1|qp9,18.0,10.0,-8.0
SIN-1464509030-0|qp15,20.0,18.0,-2.0
SIN-1464509030-0|qp36,12.0,10.0,-2.0
SIN-166571436-2|qp10,15.0,10.0,-5.0
SIN-166571436-2|qp24,10.0,10.0,0.0
SIN-166571436-3|qp10,15.0,10.0,-5.0
SIN-166571436-3|qp24,8.0,6.0,-2.0
SIN-170969415-0|qp22,15.0,10.0,-5.0
SIN-170969415-0|qp9,20.0,12.0,-8.0
SIN-190681368-0|qp10,15.0,6.0,-9.0
SIN-190681368-0|qp24,8.0,6.0,-2.0
SIN-197634752-1|qp10,15.0,10.0,-5.0
SIN-197634752-1|qp24,8.0,6.0,-2.0
SIN-198571185-1|qp10,15.0,8.0,-7.0
