W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.65,50.0,8.0,0.0,0,1.39,0.48,1.2915332788893592,4898,0.0618434343434357,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,0.0,8,1.39,0.48,1.283711686770839,5057,0.0638510101010116,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,0.0,16,1.39,0.48,1.2809980198019866,5050,0.0637626262626278,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,0.0,24,1.39,0.48,1.3433698573496122,4837,0.0610732323232338,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,20.0,0.0,2,1.39,0.48,1.2189255271422494,13374,0.1688636363636344,80,79,0.9875,BND-253918225-3|qp20
1.65,50.0,20.0,0.0,10,1.39,0.48,1.2199317994454235,13343,0.1684722222222206,80,77,0.9625,BND-253918225-3|qp20
1.65,50.0,20.0,0.0,18,1.39,0.48,1.293181274423744,12539,0.1583207070707057,80,82,1.025,BND-253918225-3|qp20
1.65,50.0,20.0,0.0,26,1.39,0.48,1.2563278202527983,12818,0.1618434343434346,80,80,1.0,BND-253918225-3|qp20
1.65,50.0,8.0,0.0,4,1.39,0.48,1.240577610536251,5315,0.0671085858585875,32,31,0.96875,BND-253918225-0|qp8
1.65,50.0,8.0,0.0,12,1.39,0.48,1.2264948646125673,5355,0.067613636363638,32,32,1.0,BND-253918225-0|qp8
1.65,50.0,8.0,0.0,20,1.39,0.48,1.2666221447928898,5166,0.0652272727272742,32,34,1.0625,BND-253918225-0|qp8
1.65,50.0,8.0,0.0,28,1.39,0.48,1.2825922311145708,5123,0.0646843434343449,32,32,1.0,BND-253918225-0|qp8
1.65,50.0,20.0,0.0,6,1.39,0.48,1.2655940862295694,12919,0.1631186868686865,80,77,0.9625,BND-253918225-0|qp20
1.65,50.0,20.0,0.0,14,1.39,0.48,1.197500550539547,13623,0.172007575757575,80,78,0.975,BND-253918225-0|qp20
1.65,50.0,20.0,0.0,22,1.39,0.48,1.2290271323639386,13342,0.1684595959595955,80,79,0.9875,BND-253918225-0|qp20
2.25,50.0,34.0,0.0,0,1.39,0.48,1.1667626354170786,23723,0.2196574074074098,136,135,0.9926470588235294,BND-873552517-2|qp34
2.25,50.0,34.0,0.0,8,1.39,0.48,1.157502401135884,23947,0.2217314814814856,136,135,0.9926470588235294,BND-873552517-2|qp34
2.25,50.0,34.0,0.0,16,1.39,0.48,1.2615800616744834,21727,0.2011759259259301,136,136,1.0,BND-873552517-2|qp34
2.25,50.0,34.0,0.0,24,1.39,0.48,1.246382041041137,21783,0.2016944444444486,136,136,1.0,BND-873552517-2|qp34
2.25,50.0,56.0,0.0,2,1.39,0.48,1.026587639127574,44204,0.4092962962963016,224,218,0.9732142857142856,BND-873552517-2|qp56
2.25,50.0,56.0,0.0,10,1.39,0.48,1.155634375402094,38865,0.3598611111111159,224,230,1.0267857142857142,BND-873552517-2|qp56
2.25,50.0,56.0,0.0,18,1.39,0.48,1.086139426316345,41556,0.3847777777777812,224,224,1.0,BND-873552517-2|qp56
2.25,50.0,56.0,0.0,26,1.39,0.48,1.1013673409268896,40736,0.3771851851851838,224,223,0.9955357142857144,BND-873552517-2|qp56
2.25,50.0,34.0,0.0,4,1.39,0.48,1.204721062118097,22747,0.2106203703703734,136,135,0.9926470588235294,BND-873552517-3|qp34
2.25,50.0,34.0,0.0,12,1.39,0.48,1.1884685580832353,23122,0.2140925925925958,136,136,1.0,BND-873552517-3|qp34
2.25,50.0,34.0,0.0,20,1.39,0.48,1.2115957210706318,22529,0.2086018518518548,136,134,0.9852941176470588,BND-873552517-3|qp34
2.25,50.0,34.0,0.0,28,1.39,0.48,1.2241226111805927,22396,0.2073703703703734,136,134,0.9852941176470588,BND-873552517-3|qp34
2.25,50.0,56.0,0.0,6,1.39,0.48,0.968601063494353,47579,0.4405462962963009,224,226,1.0089285714285714,BND-873552517-3|qp56
2.25,50.0,56.0,0.0,14,1.39,0.48,0.949609805112024,47771,0.4423240740740745,224,223,0.9955357142857144,BND-873552517-3|qp56
2.25,50.0,56.0,0.0,22,1.39,0.48,1.0458575025644887,42892,0.3971481481481492,224,226,1.0089285714285714,BND-873552517-3|qp56
2.6,50.0,78.0,0.0,0,1.39,0.48,0.943853933764646,66641,0.5339823717948701,314,298,0.9490445859872612,BND-661246488-2|qp78
2.6,50.0,78.0,0.0,8,1.39,0.48,0.9981840530487712,61830,0.4954326923076926,314,306,0.9745222929936306,BND-661246488-2|qp78
2.6,50.0,78.0,0.0,16,1.39,0.48,0.9344504894978266,65986,0.5287339743589753,314,305,0.9713375796178344,BND-661246488-2|qp78
2.6,50.0,78.0,0.0,24,1.39,0.48,1.0041065409026777,63187,0.5063060897435915,314,312,0.9936305732484076,BND-661246488-2|qp78
2.6,50.0,117.0,0.0,2,1.39,0.48,0.609654291708479,43852,0.351378205128206,2,89,44.5,BND-661246488-2|qp117
2.6,50.0,117.0,0.0,10,1.39,0.48,0.0667034103784303,334479,2.680120192307686,0,41,1.0,BND-661246488-2|qp117
2.6,50.0,117.0,0.0,18,1.39,0.48,0.0117214309745556,454767,3.643966346154046,0,0,1.0,BND-661246488-2|qp117
2.6,50.0,117.0,0.0,26,1.39,0.48,0.0150749495760879,440763,3.531754807692501,0,13,1.0,BND-661246488-2|qp117
2.6,50.0,78.0,0.0,4,1.39,0.48,1.0603073050411589,59192,0.4742948717948692,314,312,0.9936305732484076,BND-661246488-3|qp78
2.6,50.0,78.0,0.0,12,1.39,0.48,1.0466640205385052,59206,0.474407051282053,314,315,1.0031847133757965,BND-661246488-3|qp78
2.6,50.0,78.0,0.0,20,1.39,0.48,1.0799801353608434,56885,0.4558092948717951,314,309,0.9840764331210192,BND-661246488-3|qp78
2.6,50.0,78.0,0.0,28,1.39,0.48,1.010955464282877,62085,0.4974759615384646,314,313,0.9968152866242038,BND-661246488-3|qp78
2.6,50.0,117.0,0.0,6,1.39,0.48,0.2713404505161924,139662,1.119086538461529,31,90,2.903225806451613,BND-661246488-3|qp117
2.6,50.0,117.0,0.0,14,1.39,0.48,0.0286485876195106,416283,3.335600961538495,0,20,1.0,BND-661246488-3|qp117
2.6,50.0,117.0,0.0,22,1.39,0.48,0.0487766423514635,372058,2.981233974359108,0,62,1.0,BND-661246488-3|qp117
1.65,50.0,8.0,0.0,1,1.39,0.48,1.2982698961937351,4913,0.0620328282828297,32,31,0.96875,BND-253918225-3|qp8
1.65,50.0,8.0,0.0,9,1.39,0.48,1.3314387755101862,4900,0.0618686868686883,32,31,0.96875,BND-253918225-3|qp8
1.65,50.0,8.0,0.0,17,1.39,0.48,1.3241518881702568,4793,0.0605176767676782,32,31,0.96875,BND-253918225-3|qp8
1.65,50.0,8.0,0.0,25,1.39,0.48,1.3047928874520096,4949,0.0624873737373752,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,20.0,0.0,3,1.39,0.48,1.234962089300733,13057,0.16486111111111,80,81,1.0125,BND-253918225-3|qp20
1.65,50.0,20.0,0.0,11,1.39,0.48,1.268266739503539,12814,0.161792929292929,80,82,1.025,BND-253918225-3|qp20
