W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.65,50.0,36.0,1.0,0,1.39,0.48,1.0194538780830784,29151,0.3680681818181829,144,144,1.0,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,8,1.39,0.48,1.0533642633675029,28128,0.3551515151515125,144,145,1.0069444444444444,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,16,1.39,0.48,1.1069919159867585,26472,0.3342424242424228,144,145,1.0069444444444444,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,24,1.39,0.48,1.074820430382501,27371,0.3455934343434339,144,150,1.0416666666666667,BND-253918225-0|qp36
1.65,50.0,40.0,1.0,2,1.39,0.48,1.0294989242618415,32071,0.4049368686868676,160,162,1.0125,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,10,1.39,0.48,1.0202268472291718,32048,0.4046464646464665,160,163,1.01875,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,18,1.39,0.48,1.0254547440017858,32051,0.4046843434343435,160,164,1.025,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,26,1.39,0.48,1.033608558842054,31780,0.4012626262626246,160,157,0.98125,BND-253918225-0|qp40
1.65,50.0,44.0,1.0,4,1.39,0.48,0.9983277027026488,36112,0.4559595959595931,176,172,0.9772727272727272,BND-253918225-0|qp44
1.65,50.0,44.0,1.0,12,1.39,0.48,1.0072399418051436,35742,0.4512878787878773,176,170,0.9659090909090908,BND-253918225-0|qp44
1.65,50.0,44.0,1.0,20,1.39,0.48,0.9279670941831512,38595,0.4873106060605982,176,172,0.9772727272727272,BND-253918225-0|qp44
1.65,50.0,44.0,1.0,28,1.39,0.48,0.9691746509356812,37887,0.4783712121212102,176,169,0.9602272727272728,BND-253918225-0|qp44
1.65,50.0,48.0,1.0,6,1.39,0.48,0.9245953106683094,42650,0.5385101010100958,192,187,0.9739583333333334,BND-253918225-0|qp48
1.65,50.0,48.0,1.0,14,1.39,0.48,0.9563886389611324,41123,0.5192297979797963,192,190,0.9895833333333334,BND-253918225-0|qp48
1.65,50.0,48.0,1.0,22,1.39,0.48,0.9182205961931728,42503,0.5366540404040391,192,186,0.96875,BND-253918225-0|qp48
2.25,50.0,60.0,1.0,0,1.39,0.48,1.0070964351774456,47576,0.4405185185185183,240,244,1.0166666666666666,BND-873552517-2|qp60
2.25,50.0,60.0,1.0,8,1.39,0.48,1.0524939075676436,46369,0.4293425925925929,240,234,0.975,BND-873552517-2|qp60
2.25,50.0,60.0,1.0,16,1.39,0.48,1.0894735768211676,44109,0.4084166666666653,240,239,0.9958333333333332,BND-873552517-2|qp60
2.25,50.0,60.0,1.0,24,1.39,0.48,1.1054339648452507,43863,0.4061388888888871,240,239,0.9958333333333332,BND-873552517-2|qp60
2.25,50.0,66.0,1.0,2,1.39,0.48,0.9622762087990436,55096,0.5101481481481517,264,250,0.946969696969697,BND-873552517-2|qp66
2.25,50.0,66.0,1.0,10,1.39,0.48,1.0149810199386289,52160,0.4829629629629641,264,263,0.9962121212121212,BND-873552517-2|qp66
2.25,50.0,66.0,1.0,18,1.39,0.48,1.0217888815094345,51194,0.474018518518522,264,261,0.9886363636363636,BND-873552517-2|qp66
2.25,50.0,66.0,1.0,26,1.39,0.48,1.0349809193578234,51623,0.4779907407407454,264,258,0.9772727272727272,BND-873552517-2|qp66
2.25,50.0,70.0,1.0,4,1.39,0.48,0.9659234899096516,57927,0.5363611111111072,280,278,0.9928571428571428,BND-873552517-2|qp70
2.25,50.0,70.0,1.0,12,1.39,0.48,0.7511099295253713,55481,0.5137129629629641,77,131,1.7012987012987013,BND-873552517-2|qp70
2.25,50.0,70.0,1.0,20,1.39,0.48,0.7551402624777934,69263,0.6413240740740712,269,231,0.8587360594795539,BND-873552517-2|qp70
2.25,50.0,70.0,1.0,28,1.39,0.48,0.328557217645187,120531,1.11602777777778,88,141,1.6022727272727273,BND-873552517-2|qp70
2.25,50.0,74.0,1.0,6,1.39,0.48,0.2220423894756521,145036,1.3429259259259232,45,110,2.4444444444444446,BND-873552517-2|qp74
2.25,50.0,74.0,1.0,14,1.39,0.48,0.6377987282350711,76901,0.712046296296296,177,196,1.1073446327683616,BND-873552517-2|qp74
2.25,50.0,74.0,1.0,22,1.39,0.48,0.1267053928595067,193237,1.7892314814814858,5,36,7.2,BND-873552517-2|qp74
2.6,50.0,60.0,1.0,0,1.39,0.48,1.0591875730897309,45321,0.3631490384615372,240,243,1.0125,BND-661246488-2|qp60
2.6,50.0,60.0,1.0,8,1.39,0.48,1.1119791522213291,43266,0.3466826923076923,240,238,0.9916666666666668,BND-661246488-2|qp60
2.6,50.0,60.0,1.0,16,1.39,0.48,1.0649532116325182,45631,0.365633012820513,240,233,0.9708333333333332,BND-661246488-2|qp60
2.6,50.0,60.0,1.0,24,1.39,0.48,1.098578135479614,44730,0.358413461538457,240,238,0.9916666666666668,BND-661246488-2|qp60
2.6,50.0,66.0,1.0,2,1.39,0.48,0.9545635685150218,57615,0.4616586538461566,264,261,0.9886363636363636,BND-661246488-2|qp66
2.6,50.0,66.0,1.0,10,1.39,0.48,0.8748796407185386,50100,0.4014423076923062,129,162,1.255813953488372,BND-661246488-2|qp66
2.6,50.0,66.0,1.0,18,1.39,0.48,0.9871874305345676,49485,0.39651442307692,264,240,0.9090909090909092,BND-661246488-2|qp66
2.6,50.0,66.0,1.0,26,1.39,0.48,0.9156790038407436,58063,0.4652483974359002,264,259,0.981060606060606,BND-661246488-2|qp66
2.6,50.0,70.0,1.0,4,1.39,0.48,1.0613049894986275,52851,0.423485576923079,280,283,1.0107142857142857,BND-661246488-2|qp70
2.6,50.0,70.0,1.0,12,1.39,0.48,1.0884880058633524,50483,0.404511217948715,280,264,0.9428571428571428,BND-661246488-2|qp70
2.6,50.0,70.0,1.0,20,1.39,0.48,1.01064980007537,55771,0.4468830128205173,280,274,0.9785714285714284,BND-661246488-2|qp70
2.6,50.0,70.0,1.0,28,1.39,0.48,0.9568093463255104,59831,0.4794150641025663,280,281,1.0035714285714286,BND-661246488-2|qp70
2.6,50.0,74.0,1.0,6,1.39,0.48,0.9758237733704304,59798,0.4791506410256501,296,298,1.0067567567567568,BND-661246488-2|qp74
2.6,50.0,74.0,1.0,14,1.39,0.48,0.9382254915965432,63009,0.50487980769231,296,288,0.972972972972973,BND-661246488-2|qp74
2.6,50.0,74.0,1.0,22,1.39,0.48,0.9152067628687508,65002,0.5208493589743595,296,291,0.983108108108108,BND-661246488-2|qp74
1.65,50.0,36.0,1.0,1,1.39,0.48,1.078921167883197,27400,0.3459595959595953,144,145,1.0069444444444444,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,9,1.39,0.48,1.0606102983361407,27888,0.3521212121212111,144,146,1.0138888888888888,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,17,1.39,0.48,1.0992547092547218,26862,0.3391666666666643,144,148,1.0277777777777777,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,25,1.39,0.48,1.0626085069443765,27648,0.3490909090909057,144,143,0.9930555555555556,BND-253918225-0|qp36
1.65,50.0,40.0,1.0,3,1.39,0.48,1.0528796951550998,31229,0.3943055555555568,160,162,1.0125,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,11,1.39,0.48,1.0046725853359428,32665,0.4124368686868676,160,161,1.00625,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,19,1.39,0.48,1.0528665383381135,31170,0.3935606060606046,160,157,0.98125,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,27,1.39,0.48,1.0285207338994573,32266,0.4073989898989897,160,163,1.01875,BND-253918225-0|qp40
1.65,50.0,44.0,1.0,5,1.39,0.48,0.7904004561309005,44724,0.5646969696969762,176,163,0.9261363636363636,BND-253918225-0|qp44
1.65,50.0,44.0,1.0,13,1.39,0.48,0.9465095907759632,37901,0.4785479797979863,176,174,0.9886363636363636,BND-253918225-0|qp44
1.65,50.0,44.0,1.0,21,1.39,0.48,0.9864908627633152,36499,0.4608459595959623,176,177,1.005681818181818,BND-253918225-0|qp44
1.65,50.0,44.0,1.0,29,1.39,0.48,0.992116623008065,36648,0.4627272727272752,176,176,1.0,BND-253918225-0|qp44
1.65,50.0,48.0,1.0,7,1.39,0.48,0.8767720155469262,45025,0.5684974747474724,192,190,0.9895833333333334,BND-253918225-0|qp48
1.65,50.0,48.0,1.0,15,1.39,0.48,0.8861431270141374,44995,0.568118686868683,192,190,0.9895833333333334,BND-253918225-0|qp48
1.65,50.0,48.0,1.0,23,1.39,0.48,0.8836829273850044,43889,0.5541540404040404,192,194,1.0104166666666667,BND-253918225-0|qp48
2.25,50.0,60.0,1.0,1,1.39,0.48,1.0833459855318432,44788,0.4147037037037044,240,240,1.0,BND-873552517-2|qp60
2.25,50.0,60.0,1.0,9,1.39,0.48,1.075899526447457,44768,0.4145185185185235,240,243,1.0125,BND-873552517-2|qp60
2.25,50.0,60.0,1.0,17,1.39,0.48,1.1030766304955204,44695,0.4138425925925959,240,240,1.0,BND-873552517-2|qp60
2.25,50.0,60.0,1.0,25,1.39,0.48,1.1044521735164714,43846,0.4059814814814855,240,240,1.0,BND-873552517-2|qp60
2.25,50.0,66.0,1.0,3,1.39,0.48,0.9841273721333932,53591,0.4962129629629699,264,250,0.946969696969697,BND-873552517-2|qp66
2.25,50.0,66.0,1.0,11,1.39,0.48,0.2540065578042217,138156,1.2792222222222205,86,140,1.627906976744186,BND-873552517-2|qp66
2.25,50.0,66.0,1.0,19,1.39,0.48,0.4775736679800639,70044,0.6485555555555567,52,100,1.9230769230769231,BND-873552517-2|qp66
2.25,50.0,66.0,1.0,27,1.39,0.48,0.0961199752890992,234715,2.173287037037026,15,63,4.2,BND-873552517-2|qp66
2.25,50.0,70.0,1.0,5,1.39,0.48,0.7281602499495655,49610,0.4593518518518531,42,96,2.2857142857142856,BND-873552517-2|qp70
2.25,50.0,70.0,1.0,13,1.39,0.48,0.2964353446576728,126865,1.1746759259259256,71,124,1.7464788732394363,BND-873552517-2|qp70
2.25,50.0,70.0,1.0,21,1.39,0.48,1.0370297230145296,54335,0.5031018518518499,280,272,0.9714285714285714,BND-873552517-2|qp70
2.25,50.0,70.0,1.0,29,1.39,0.48,1.038878772359172,52719,0.4881388888888892,280,276,0.9857142857142858,BND-873552517-2|qp70
2.25,50.0,74.0,1.0,7,1.39,0.48,0.4401224637534969,99458,0.9209074074074122,86,142,1.6511627906976745,BND-873552517-2|qp74
2.25,50.0,74.0,1.0,15,1.39,0.48,0.3899988804412618,98253,0.9097499999999966,62,124,2.0,BND-873552517-2|qp74
2.25,50.0,74.0,1.0,23,1.39,0.48,0.4525751418170697,94488,0.8748888888888897,75,104,1.3866666666666667,BND-873552517-2|qp74
2.6,50.0,60.0,1.0,1,1.39,0.48,0.9944437271793084,49571,0.3972035256410214,240,241,1.0041666666666669,BND-661246488-2|qp60
2.6,50.0,60.0,1.0,9,1.39,0.48,1.045257784134904,45445,0.3641426282051309,240,233,0.9708333333333332,BND-661246488-2|qp60
2.6,50.0,60.0,1.0,17,1.39,0.48,1.0718640819474734,45395,0.3637419871794867,240,244,1.0166666666666666,BND-661246488-2|qp60
2.6,50.0,60.0,1.0,25,1.39,0.48,1.0235556705297602,48320,0.3871794871794805,240,246,1.025,BND-661246488-2|qp60
2.6,50.0,66.0,1.0,3,1.39,0.48,1.0530301771871318,50568,0.4051923076923076,264,249,0.9431818181818182,BND-661246488-2|qp66
2.6,50.0,66.0,1.0,11,1.39,0.48,1.1126655957273868,47933,0.3840785256410272,264,266,1.0075757575757576,BND-661246488-2|qp66
2.6,50.0,66.0,1.0,19,1.39,0.48,1.0325941530183198,50556,0.4050961538461516,264,256,0.9696969696969696,BND-661246488-2|qp66
2.6,50.0,66.0,1.0,27,1.39,0.48,1.076393996399569,49437,0.3961298076923059,264,260,0.9848484848484848,BND-661246488-2|qp66
2.6,50.0,70.0,1.0,5,1.39,0.48,1.002066782633623,55763,0.4468189102564127,280,284,1.0142857142857142,BND-661246488-2|qp70
2.6,50.0,70.0,1.0,13,1.39,0.48,0.9081468155168472,62255,0.4988381410256464,280,275,0.9821428571428572,BND-661246488-2|qp70
2.6,50.0,70.0,1.0,21,1.39,0.48,1.0828601252608296,52211,0.4183573717948708,280,278,0.9928571428571428,BND-661246488-2|qp70
2.6,50.0,70.0,1.0,29,1.39,0.48,1.085691221573009,51843,0.4154086538461525,280,285,1.0178571428571428,BND-661246488-2|qp70
2.6,50.0,74.0,1.0,7,1.39,0.48,0.1316355816549802,217629,1.7438221153846132,23,81,3.5217391304347827,BND-661246488-2|qp74
2.6,50.0,74.0,1.0,15,1.39,0.48,1.0066464237516868,57798,0.4631250000000005,296,286,0.9662162162162162,BND-661246488-2|qp74
2.6,50.0,74.0,1.0,23,1.39,0.48,0.8430466978558543,69682,0.5583493589743573,296,284,0.9594594594594594,BND-661246488-2|qp74
1.65,50.0,36.0,1.0,2,1.39,0.48,1.0877223764575783,27015,0.3410984848484832,144,144,1.0,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,10,1.39,0.48,1.0830961367672596,27024,0.3412121212121187,144,143,0.9930555555555556,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,18,1.39,0.48,1.0693312971613569,27830,0.3513888888888868,144,145,1.0069444444444444,BND-253918225-0|qp36
1.65,50.0,36.0,1.0,26,1.39,0.48,1.064541343669228,27864,0.3518181818181803,144,143,0.9930555555555556,BND-253918225-0|qp36
1.65,50.0,40.0,1.0,4,1.39,0.48,0.9994674757732256,32299,0.4078156565656547,160,159,0.99375,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,12,1.39,0.48,1.0392927814716992,31433,0.3968813131313131,160,156,0.975,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,20,1.39,0.48,1.0725995633765244,30232,0.3817171717171707,160,155,0.96875,BND-253918225-0|qp40
1.65,50.0,40.0,1.0,28,1.39,0.48,1.052232650830958,31111,0.3928156565656566,160,160,1.0,BND-253918225-0|qp40
1.65,50.0,44.0,1.0,6,1.39,0.48,0.9312134096062804,38808,0.4900000000000097,176,173,0.9829545454545454,BND-253918225-0|qp44
