W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio,tag
1.65,50.0,8.0,5.0,0,1.39,0.48,1.2285400192864189,5185,0.0654671717171732,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,8,1.39,0.48,1.263211707317101,5125,0.0647095959595975,32,33,1.03125,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,16,1.39,0.48,1.228558201058213,5292,0.0668181818181834,32,31,0.96875,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,24,1.39,0.48,1.2845539625647242,5022,0.0634090909090924,32,33,1.03125,BND-253918225-3|qp8
1.65,50.0,20.0,5.0,2,1.39,0.48,1.153781713402228,14229,0.1796590909090893,80,80,1.0,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,10,1.39,0.48,1.14342807140359,14285,0.1803661616161603,80,77,0.9625,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,18,1.39,0.48,1.1892825438404766,13743,0.1735227272727256,80,81,1.0125,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,26,1.39,0.48,1.151527441197442,14030,0.1771464646464637,80,79,0.9875,BND-253918225-3|qp20
1.65,50.0,8.0,5.0,4,1.39,0.48,1.189282357194536,5532,0.0698484848484866,32,31,0.96875,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,12,1.39,0.48,1.1765281261197176,5582,0.0704797979797997,32,33,1.03125,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,20,1.39,0.48,1.208845227062105,5395,0.0681186868686884,32,34,1.0625,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,28,1.39,0.48,1.2208949990773088,5419,0.0684217171717188,32,32,1.0,BND-253918225-0|qp8
1.65,50.0,20.0,5.0,6,1.39,0.48,1.1870454872606653,13894,0.1754292929292924,80,77,0.9625,BND-253918225-0|qp20
1.65,50.0,20.0,5.0,14,1.39,0.48,1.1441668984700952,14380,0.1815656565656563,80,77,0.9625,BND-253918225-0|qp20
1.65,50.0,20.0,5.0,22,1.39,0.48,1.190518620890299,13748,0.1735858585858578,80,79,0.9875,BND-253918225-0|qp20
2.25,50.0,34.0,5.0,0,1.39,0.48,1.1547276297100513,23938,0.2216481481481507,136,136,1.0,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,8,1.39,0.48,1.162879793666276,23651,0.2189907407407449,136,137,1.0073529411764706,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,16,1.39,0.48,1.2335274280576232,22240,0.2059259259259273,136,133,0.9779411764705882,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,24,1.39,0.48,1.2112355504178944,22492,0.2082592592592634,136,137,1.0073529411764706,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,2,1.39,0.48,1.161988461700505,23747,0.2198796296296321,136,135,0.9926470588235294,BND-873552517-3|qp34
2.25,50.0,34.0,5.0,10,1.39,0.48,1.169602000776123,23191,0.2147314814814831,136,132,0.9705882352941176,BND-873552517-3|qp34
2.25,50.0,34.0,5.0,18,1.39,0.48,1.1500431800864237,23622,0.2187222222222241,136,132,0.9705882352941176,BND-873552517-3|qp34
2.25,50.0,34.0,5.0,26,1.39,0.48,1.1438087735301037,24118,0.2233148148148165,136,135,0.9926470588235294,BND-873552517-3|qp34
2.25,50.0,56.0,5.0,4,1.39,0.48,0.7430497904708249,50351,0.4662129629629644,110,148,1.3454545454545457,BND-873552517-3|qp56
2.25,50.0,56.0,5.0,12,1.39,0.48,1.0589615945094384,42546,0.3939444444444431,224,225,1.0044642857142858,BND-873552517-3|qp56
2.25,50.0,56.0,5.0,20,1.39,0.48,1.0023479963910435,45443,0.4207685185185192,224,221,0.9866071428571428,BND-873552517-3|qp56
2.25,50.0,56.0,5.0,28,1.39,0.48,0.1889613528138354,153931,1.4252870370370423,55,100,1.818181818181818,BND-873552517-3|qp56
1.65,50.0,8.0,5.0,1,1.39,0.48,1.237675233644827,5136,0.0648484848484863,32,31,0.96875,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,9,1.39,0.48,1.2703105590061907,5152,0.0650505050505066,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,17,1.39,0.48,1.2774419070512886,4992,0.0630303030303046,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,25,1.39,0.48,1.2339003599166485,5279,0.066654040404042,32,33,1.03125,BND-253918225-3|qp8
1.65,50.0,20.0,5.0,3,1.39,0.48,1.1519361446634035,14157,0.1787499999999982,80,81,1.0125,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,11,1.39,0.48,1.1917088004688914,13647,0.1723106060606041,80,79,0.9875,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,19,1.39,0.48,1.1353007518796698,14364,0.1813636363636345,80,82,1.025,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,27,1.39,0.48,1.203438732237203,13441,0.1697095959595954,80,83,1.0375,BND-253918225-3|qp20
1.65,50.0,8.0,5.0,5,1.39,0.48,1.2033510833639052,5446,0.0687626262626279,32,33,1.03125,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,13,1.39,0.48,1.170098214285749,5600,0.0707070707070725,32,31,0.96875,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,21,1.39,0.48,1.2018658784407803,5413,0.0683459595959613,32,31,0.96875,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,29,1.39,0.48,1.2109839690436832,5427,0.068522727272729,32,32,1.0,BND-253918225-0|qp8
1.65,50.0,20.0,5.0,7,1.39,0.48,1.1306113776559084,14590,0.184217171717171,80,83,1.0375,BND-253918225-0|qp20
1.65,50.0,20.0,5.0,15,1.39,0.48,1.164571187156718,14202,0.1793181818181798,80,79,0.9875,BND-253918225-0|qp20
1.65,50.0,20.0,5.0,23,1.39,0.48,1.1216953806026484,14569,0.1839520202020184,80,79,0.9875,BND-253918225-0|qp20
2.25,50.0,34.0,5.0,1,1.39,0.48,1.150439044826113,23870,0.2210185185185219,136,141,1.036764705882353,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,9,1.39,0.48,1.1683470130309224,23636,0.218851851851854,136,135,0.9926470588235294,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,17,1.39,0.48,1.1798516564310206,23122,0.2140925925925952,136,137,1.0073529411764706,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,25,1.39,0.48,1.14291266575207,24057,0.2227500000000017,136,131,0.9632352941176472,BND-873552517-2|qp34
2.25,50.0,34.0,5.0,3,1.39,0.48,1.1701043663472128,23475,0.2173611111111123,136,138,1.0147058823529411,BND-873552517-3|qp34
2.25,50.0,34.0,5.0,11,1.39,0.48,1.1552892772311276,23576,0.2182962962962992,136,135,0.9926470588235294,BND-873552517-3|qp34
2.25,50.0,34.0,5.0,19,1.39,0.48,1.177327289912402,23276,0.215518518518524,136,135,0.9926470588235294,BND-873552517-3|qp34
2.25,50.0,34.0,5.0,27,1.39,0.48,1.1790532493681676,23343,0.2161388888888915,136,133,0.9779411764705882,BND-873552517-3|qp34
2.25,50.0,56.0,5.0,5,1.39,0.48,0.9288090091861078,40714,0.3769814814814827,114,149,1.3070175438596492,BND-873552517-3|qp56
2.25,50.0,56.0,5.0,13,1.39,0.48,0.9484429600250393,47905,0.4435648148148183,224,221,0.9866071428571428,BND-873552517-3|qp56
2.25,50.0,56.0,5.0,21,1.39,0.48,0.8981188621409366,51219,0.4742500000000048,224,222,0.9910714285714286,BND-873552517-3|qp56
2.25,50.0,56.0,5.0,29,1.39,0.48,0.9757875775857334,46078,0.4266481481481545,224,230,1.0267857142857142,BND-873552517-3|qp56
1.65,50.0,8.0,5.0,2,1.39,0.48,1.2711589982527294,5151,0.0650378787878803,32,33,1.03125,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,10,1.39,0.48,1.2434078423943578,5279,0.066654040404042,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,18,1.39,0.48,1.290797448165894,5016,0.0633333333333348,32,33,1.03125,BND-253918225-3|qp8
1.65,50.0,8.0,5.0,26,1.39,0.48,1.2626588371197311,5194,0.0655808080808096,32,32,1.0,BND-253918225-3|qp8
1.65,50.0,20.0,5.0,4,1.39,0.48,1.1712499105673218,13977,0.1764772727272716,80,78,0.975,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,12,1.39,0.48,1.1681254913170287,13993,0.1766792929292924,80,80,1.0,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,20,1.39,0.48,1.157457355705638,14363,0.1813510101010081,80,81,1.0125,BND-253918225-3|qp20
1.65,50.0,20.0,5.0,28,1.39,0.48,1.1814258330875784,13564,0.171262626262625,80,76,0.95,BND-253918225-3|qp20
1.65,50.0,8.0,5.0,6,1.39,0.48,1.2424539646749542,5322,0.0671969696969713,32,32,1.0,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,14,1.39,0.48,1.2043368846436415,5444,0.0687373737373753,32,33,1.03125,BND-253918225-0|qp8
1.65,50.0,8.0,5.0,22,1.39,0.48,1.1966940639269232,5475,0.0691287878787895,32,32,1.0,BND-253918225-0|qp8
