W,L,qp,qr,seed,v_ref,r_robot,mean_speed,speed_count,mean_density,inflow_ped,outflow_ped,flow_ratio
1.5,50.0,10.0,0.0,0,1.39,0.48,1.2836667191683873,6349,0.0881805555555528,40,42,1.05
1.5,50.0,10.0,0.0,4,1.39,0.48,1.3225216397190795,6123,0.0850416666666635,40,39,0.975
1.5,50.0,10.0,0.0,8,1.39,0.48,1.3278624199638838,6091,0.0845972222222194,40,39,0.975
1.5,50.0,10.0,0.0,12,1.39,0.48,1.3005426723458458,6339,0.0880416666666639,40,39,0.975
1.5,50.0,10.0,0.0,16,1.39,0.48,1.3547775175643944,5978,0.0830277777777749,40,40,1.0
1.5,50.0,10.0,0.0,20,1.39,0.48,1.3661909616037902,5886,0.0817499999999973,40,40,1.0
1.5,50.0,10.0,0.0,24,1.39,0.48,1.3087023149657973,6134,0.0851944444444417,40,40,1.0
1.5,50.0,10.0,0.0,28,1.39,0.48,1.3593589304079596,5834,0.0810277777777753,40,43,1.075
1.5,50.0,20.0,0.0,2,1.39,0.48,1.252941588785083,12840,0.1783333333333322,80,80,1.0
1.5,50.0,20.0,0.0,6,1.39,0.48,1.303328212177585,12367,0.1717638888888876,80,81,1.0125
1.5,50.0,20.0,0.0,10,1.39,0.48,1.2551797321637994,12769,0.1773472222222222,80,79,0.9875
1.5,50.0,20.0,0.0,14,1.39,0.48,1.255884561238864,12786,0.1775833333333326,80,80,1.0
1.5,50.0,20.0,0.0,18,1.39,0.48,1.26824216923793,12834,0.1782500000000014,80,79,0.9875
1.5,50.0,20.0,0.0,22,1.39,0.48,1.279362511893485,12612,0.1751666666666669,80,80,1.0
1.5,50.0,20.0,0.0,26,1.39,0.48,1.2706553416972048,12833,0.1782361111111096,80,78,0.975
1.5,50.0,30.0,0.0,0,1.39,0.48,1.1703540683818436,20561,0.285569444444446,120,123,1.025
1.5,50.0,30.0,0.0,4,1.39,0.48,1.261360551320867,19154,0.2660277777777776,120,120,1.0
1.5,50.0,30.0,0.0,8,1.39,0.48,1.1608335738335616,20790,0.2887499999999987,120,119,0.9916666666666668
1.5,50.0,30.0,0.0,12,1.39,0.48,1.2412519154152717,19578,0.2719166666666651,120,123,1.025
1.5,50.0,30.0,0.0,16,1.39,0.48,1.1958715864285123,20543,0.2853194444444417,120,118,0.9833333333333332
1.5,50.0,30.0,0.0,20,1.39,0.48,1.1488790069438164,21026,0.2920277777777779,120,125,1.0416666666666667
1.5,50.0,30.0,0.0,24,1.39,0.48,1.2650314531902531,18917,0.2627361111111104,120,119,0.9916666666666668
1.5,50.0,30.0,0.0,28,1.39,0.48,1.1701017884322615,21024,0.2919999999999953,120,120,1.0
1.5,50.0,40.0,0.0,2,1.39,0.48,1.0718453923328608,30102,0.418083333333331,160,159,0.99375
1.5,50.0,40.0,0.0,6,1.39,0.48,1.1705045560122689,27985,0.3886805555555487,160,157,0.98125
1.5,50.0,40.0,0.0,10,1.39,0.48,1.1100803075022443,29138,0.4046944444444402,160,159,0.99375
1.5,50.0,40.0,0.0,14,1.39,0.48,1.147480754290555,28318,0.3933055555555509,160,161,1.00625
1.5,50.0,40.0,0.0,18,1.39,0.48,1.0131017244106342,31605,0.438958333333338,160,158,0.9875
1.5,50.0,40.0,0.0,22,1.39,0.48,1.223198099690744,26522,0.3683611111111085,160,156,0.975
1.5,50.0,40.0,0.0,26,1.39,0.48,1.103426275667956,29122,0.4044722222222183,160,159,0.99375
1.5,50.0,50.0,0.0,0,1.39,0.48,0.4746042127928,49231,0.6837638888888845,44,78,1.7727272727272727
1.5,50.0,50.0,0.0,4,1.39,0.48,0.3799120008564958,46705,0.648680555555556,8,44,5.5
1.5,50.0,50.0,0.0,8,1.39,0.48,0.8843566698201993,21140,0.293611111111111,16,54,3.375
1.5,50.0,50.0,0.0,12,1.39,0.48,0.7957415533129113,31906,0.4431388888888867,65,101,1.553846153846154
1.5,50.0,50.0,0.0,16,1.39,0.48,0.6709730149308404,21901,0.3041805555555513,0,27,1.0
1.5,50.0,50.0,0.0,20,1.39,0.48,0.8531592748315477,22119,0.3072083333333366,18,55,3.055555555555556
1.5,50.0,50.0,0.0,24,1.39,0.48,0.0611064130828547,182346,2.532583333333341,0,20,1.0
1.5,50.0,50.0,0.0,28,1.39,0.48,0.7675838629726901,40751,0.565986111111112,99,140,1.414141414141414
1.5,50.0,60.0,0.0,2,1.39,0.48,1.1959843561973509,16620,0.2308333333333367,20,72,3.6
1.5,50.0,60.0,0.0,6,1.39,0.48,0.7140183450429683,20496,0.2846666666666634,0,1,1.0
1.5,50.0,60.0,0.0,10,1.39,0.48,0.4177950628295931,38119,0.5294305555555539,0,20,1.0
1.5,50.0,60.0,0.0,14,1.39,0.48,1.212493760094027,13622,0.1891944444444448,67,90,1.3432835820895523
1.5,50.0,60.0,0.0,18,1.39,0.48,0.2994984721668907,60216,0.8363333333333298,0,33,1.0
1.5,50.0,60.0,0.0,22,1.39,0.48,0.467219796215487,31602,0.4389166666666669,0,13,1.0
1.5,50.0,60.0,0.0,26,1.39,0.48,0.0472372983688042,187161,2.5994583333333323,0,0,1.0
1.8,50.0,10.0,0.0,0,1.39,0.48,1.2773869188337437,6345,0.0734375000000001,40,42,1.05
