delta_v,W,qp,qr_star
0.05,1.5,10,0.0
0.05,1.5,20,0.0
0.05,1.5,30,0.0
0.05,1.5,40,0.0
0.05,1.5,50,0.0
0.05,1.5,60,0.0
0.05,1.6,10,3.0
0.05,1.6,20,2.0
0.05,1.6,30,2.0
0.05,1.6,40,0.0
0.05,1.6,50,0.0
0.05,1.6,60,0.0
0.05,1.7,10,5.0
0.05,1.7,20,3.0
0.05,1.7,30,2.0
0.05,1.7,40,0.0
0.05,1.7,50,0.0
0.05,1.7,60,0.0
0.05,1.8,10,6.0
0.05,1.8,20,3.0
0.05,1.8,30,3.0
0.05,1.8,40,1.0
0.05,1.8,50,0.0
0.05,1.8,60,0.0
0.05,2.1,10,10.0
0.05,2.1,20,6.0
0.05,2.1,30,5.0
0.05,2.1,40,1.0
0.05,2.1,50,0.0
0.05,2.1,60,0.0
0.05,2.4,10,15.0
0.05,2.4,20,10.0
0.05,2.4,30,8.0
0.05,2.4,40,8.0
0.05,2.4,50,4.0
0.05,2.4,60,2.0
0.05,2.7,10,20.0
0.05,2.7,20,15.0
0.05,2.7,30,12.0
0.05,2.7,40,10.0
0.05,2.7,50,6.0
0.05,2.7,60,3.0
0.05,3.0,10,20.0
0.05,3.0,20,18.0
0.05,3.0,30,12.0
0.05,3.0,40,10.0
0.05,3.0,50,6.0
0.05,3.0,60,4.0
0.1,1.5,10,0.0
0.1,1.5,20,0.0
0.1,1.5,30,0.0
0.1,1.5,40,0.0
0.1,1.5,50,0.0
0.1,1.5,60,0.0
0.1,1.6,10,6.0
0.1,1.6,20,5.0
0.1,1.6,30,3.0
0.1,1.6,40,0.0
0.1,1.6,50,0.0
0.1,1.6,60,0.0
0.1,1.7,10,10.0
0.1,1.7,20,6.0
0.1,1.7,30,5.0
0.1,1.7,40,0.0
0.1,1.7,50,0.0
0.1,1.7,60,0.0
0.1,1.8,10,12.0
0.1,1.8,20,6.0
0.1,1.8,30,4.0
0.1,1.8,40,1.0
0.1,1.8,50,0.0
0.1,1.8,60,0.0
0.1,2.1,10,15.0
0.1,2.1,20,12.0
0.1,2.1,30,8.0
0.1,2.1,40,2.0
0.1,2.1,50,0.0
0.1,2.1,60,0.0
0.1,2.4,10,20.0
0.1,2.4,20,15.0
0.1,2.4,30,12.0
0.1,2.4,40,12.0
0.1,2.4,50,6.0
0.1,2.4,60,4.0
0.1,2.7,10,20.0
0.1,2.7,20,20.0
0.1,2.7,30,18.0
0.1,2.7,40,15.0
0.1,2.7,50,10.0
0.1,2.7,60,6.0
0.1,3.0,10,20.0
0.1,3.0,20,20.0
0.1,3.0,30,18.0
0.1,3.0,40,15.0
0.1,3.0,50,10.0
0.1,3.0,60,6.0
0.15,1.5,10,0.0
0.15,1.5,20,0.0
0.15,1.5,30,0.0
0.15,1.5,40,0.0
0.15,1.5,50,0.0
0.15,1.5,60,0.0
0.15,1.6,10,10.0
0.15,1.6,20,6.0
0.15,1.6,30,5.0
0.15,1.6,40,2.0
0.15,1.6,50,0.0
0.15,1.6,60,0.0
0.15,1.7,10,15.0
0.15,1.7,20,10.0
0.15,1.7,30,6.0
0.15,1.7,40,2.0
0.15,1.7,50,0.0
0.15,1.7,60,0.0
0.15,1.8,10,18.0
0.15,1.8,20,10.0
0.15,1.8,30,6.0
0.15,1.8,40,1.0
0.15,1.8,50,0.0
0.15,1.8,60,0.0
0.15,2.1,10,20.0
0.15,2.1,20,12.0
0.15,2.1,30,10.0
0.15,2.1,40,6.0
0.15,2.1,50,1.0
0.15,2.1,60,0.0
0.15,2.4,10,20.0
0.15,2.4,20,20.0
0.15,2.4,30,18.0
0.15,2.4,40,12.0
0.15,2.4,50,8.0
0.15,2.4,60,4.0
0.15,2.7,10,20.0
0.15,2.7,20,20.0
0.15,2.7,30,20.0
0.15,2.7,40,15.0
0.15,2.7,50,10.0
0.15,2.7,60,6.0
0.15,3.0,10,20.0
0.15,3.0,20,20.0
0.15,3.0,30,20.0
0.15,3.0,40,15.0
0.15,3.0,50,12.0
0.15,3.0,60,8.0
