cell_id,city,W,L,type,qp,x,qr_star,base_pass,base_pass_source
AMS-7370864-0,amsterdam,2.5,50.0,A,12,4.8,20.0,1.0,proxy(qr_star>0=>1)
AMS-7370864-0,amsterdam,2.5,50.0,A,30,12.0,12.0,1.0,proxy(qr_star>0=>1)
AMS-234078234-1,amsterdam,1.5,50.0,B,8,5.333,0.0,,proxy(qr_star=0=>unknown)
AMS-1442153735-0,amsterdam,1.5,50.0,B,8,5.333,0.0,,proxy(qr_star=0=>unknown)
AMS-4449179-0,amsterdam,1.5,50.0,B,8,5.333,0.0,,proxy(qr_star=0=>unknown)
AMS-4495979-0,amsterdam,2.5,50.0,B,12,4.8,15.0,1.0,proxy(qr_star>0=>1)
AMS-4496429-0,amsterdam,2.5,50.0,B,12,4.8,20.0,1.0,proxy(qr_star>0=>1)
AMS-234078234-1,amsterdam,1.5,50.0,B,18,12.0,0.0,,proxy(qr_star=0=>unknown)
AMS-1442153735-0,amsterdam,1.5,50.0,B,18,12.0,0.0,,proxy(qr_star=0=>unknown)
AMS-4449179-0,amsterdam,1.5,50.0,B,18,12.0,0.0,,proxy(qr_star=0=>unknown)
AMS-1386681638-13,amsterdam,1.5,50.0,B,30,20.0,0.0,,proxy(qr_star=0=>unknown)
AMS-4495979-0,amsterdam,2.5,50.0,B,30,12.0,8.0,1.0,proxy(qr_star>0=>1)
AMS-4496429-0,amsterdam,2.5,50.0,B,30,12.0,6.0,1.0,proxy(qr_star>0=>1)
AMS-1073074102-0,amsterdam,2.5,50.0,B,50,20.0,4.0,1.0,proxy(qr_star>0=>1)
AMS-1351790552-1,amsterdam,2.5,50.0,B,50,20.0,0.0,,proxy(qr_star=0=>unknown)
AMS-1386681638-13,amsterdam,1.5,50.0,B,52,34.667,0.0,,proxy(qr_star=0=>unknown)
AMS-1073074102-0,amsterdam,2.5,50.0,B,88,35.2,0.0,,proxy(qr_star=0=>unknown)
AMS-1351790552-1,amsterdam,2.5,50.0,B,88,35.2,0.0,,proxy(qr_star=0=>unknown)
AMS-244428233-0,amsterdam,1.2,50.0,C,6,5.0,20.0,1.0,proxy(qr_star>0=>1)
AMS-4480499-0,amsterdam,1.5,50.0,C,8,5.333,0.0,,proxy(qr_star=0=>unknown)
AMS-4480498-0,amsterdam,2.5,50.0,C,12,4.8,20.0,1.0,proxy(qr_star>0=>1)
AMS-244428233-0,amsterdam,1.2,50.0,C,14,11.667,20.0,1.0,proxy(qr_star>0=>1)
AMS-4480499-0,amsterdam,1.5,50.0,C,18,12.0,0.0,,proxy(qr_star=0=>unknown)
AMS-4480626-0,amsterdam,3.6,50.0,C,18,5.0,15.0,1.0,proxy(qr_star>0=>1)
AMS-4480644-0,amsterdam,3.6,50.0,C,18,5.0,20.0,1.0,proxy(qr_star>0=>1)
AMS-7370881-0,amsterdam,1.5,50.0,C,22,14.667,0.0,,proxy(qr_star=0=>unknown)
AMS-4480498-0,amsterdam,2.5,50.0,C,30,12.0,20.0,1.0,proxy(qr_star>0=>1)
AMS-7370881-0,amsterdam,1.5,50.0,C,38,25.333,0.0,,proxy(qr_star=0=>unknown)
AMS-4480626-0,amsterdam,3.6,50.0,C,43,11.944,8.0,1.0,proxy(qr_star>0=>1)
AMS-4480644-0,amsterdam,3.6,50.0,C,43,11.944,15.0,1.0,proxy(qr_star>0=>1)
AMS-4495978-0,amsterdam,2.5,50.0,D,12,4.8,20.0,1.0,proxy(qr_star>0=>1)
AMS-4495978-0,amsterdam,2.5,50.0,D,30,12.0,15.0,1.0,proxy(qr_star>0=>1)
AMS-7371505-3,amsterdam,4.0,50.0,D,60,15.0,8.0,1.0,proxy(qr_star>0=>1)
AMS-7371505-0,amsterdam,4.0,50.0,D,80,20.0,8.0,1.0,proxy(qr_star>0=>1)
AMS-7371505-3,amsterdam,4.0,50.0,D,100,25.0,3.0,1.0,proxy(qr_star>0=>1)
AMS-7371505-0,amsterdam,4.0,50.0,D,140,35.0,0.0,,proxy(qr_star=0=>unknown)
LON-4082560-0,london,1.5,50.0,A,22,14.667,0.0,,proxy(qr_star=0=>unknown)
LON-4253167-0,london,1.5,50.0,A,22,14.667,0.0,,proxy(qr_star=0=>unknown)
LON-4082523-0,london,1.5,50.0,A,30,20.0,0.0,,proxy(qr_star=0=>unknown)
LON-4244822-0,london,1.5,50.0,A,30,20.0,0.0,,proxy(qr_star=0=>unknown)
LON-4244822-1,london,1.5,50.0,A,30,20.0,0.0,,proxy(qr_star=0=>unknown)
