cell_id,city,type,W,n_qp,qr_star_monotonic,potential_base_pass_reversal,direct_base_pass_monotonic,pattern
AMS-7370864-0,amsterdam,A,2.5,2,True,False,True,11
AMS-234078234-1,amsterdam,B,1.5,2,True,False,,??
AMS-1442153735-0,amsterdam,B,1.5,2,True,False,,??
AMS-4449179-0,amsterdam,B,1.5,2,True,False,,??
AMS-4495979-0,amsterdam,B,2.5,2,True,False,True,11
AMS-4496429-0,amsterdam,B,2.5,2,True,False,True,11
AMS-1386681638-13,amsterdam,B,1.5,2,True,False,,??
AMS-1073074102-0,amsterdam,B,2.5,2,True,False,,1?
AMS-1351790552-1,amsterdam,B,2.5,2,True,False,,??
AMS-244428233-0,amsterdam,C,1.2,2,True,False,True,11
AMS-4480499-0,amsterdam,C,1.5,2,True,False,,??
AMS-4480498-0,amsterdam,C,2.5,2,True,False,True,11
AMS-4480626-0,amsterdam,C,3.6,2,True,False,True,11
AMS-4480644-0,amsterdam,C,3.6,2,True,False,True,11
AMS-7370881-0,amsterdam,C,1.5,2,True,False,,??
AMS-4495978-0,amsterdam,D,2.5,2,True,False,True,11
AMS-7371505-3,amsterdam,D,4.0,2,True,False,True,11
AMS-7371505-0,amsterdam,D,4.0,2,True,False,,1?
LON-4082560-0,london,A,1.5,2,True,False,,??
LON-4253167-0,london,A,1.5,2,True,False,,??
LON-4082523-0,london,A,1.5,2,True,False,,??
LON-4244822-0,london,A,1.5,2,True,False,,??
LON-4244822-1,london,A,1.5,2,True,False,,??
LON-4082553-0,london,A,2.5,2,True,False,True,11
LON-4082554-0,london,A,2.5,2,True,False,True,11
LON-4082521-1,london,A,1.5,2,True,False,,??
LON-1220560922-0,london,B,1.5,2,True,False,,??
LON-4082521-2,london,B,1.5,2,True,False,,??
LON-4244822-2,london,B,1.5,2,True,False,,??
LON-4082521-0,london,B,1.5,2,True,False,,??
LON-4260257-0,london,C,1.0,2,True,False,,??
LON-4260257-1,london,C,1.0,2,True,False,,??
LON-4253884-0,london,C,1.5,2,True,False,,??
LON-4259165-1,london,C,1.5,2,True,False,,??
LON-4260262-0,london,C,1.5,2,True,False,,??
LON-4260262-1,london,C,1.5,2,True,False,,??
LON-4259243-0,london,C,1.2,2,True,False,,??
LON-4260255-0,london,C,1.5,2,True,False,,??
LON-4082592-0,london,C,2.5,2,True,False,True,11
LON-227726113-0,london,D,1.5,2,True,False,,??
LON-227726725-0,london,D,1.5,2,True,False,,??
SIN-865245632-1,singapore,A,1.5,2,True,False,,??
SIN-831704635-1,singapore,A,1.5,2,True,False,,??
SIN-22928582-0,singapore,A,1.8,2,True,False,True,11
SIN-22928582-1,singapore,A,1.8,2,True,False,True,11
SIN-22928582-2,singapore,A,1.8,2,True,False,True,11
SIN-74587409-1,singapore,A,1.8,2,True,False,True,11
SIN-74587409-2,singapore,A,1.8,2,True,False,True,11
SIN-170969415-0,singapore,A,1.8,2,True,False,True,11
SIN-166571436-2,singapore,A,2.0,2,True,False,True,11
SIN-166571436-3,singapore,A,2.0,2,True,False,True,11
SIN-197634752-1,singapore,A,2.0,2,True,False,True,11
SIN-198571185-1,singapore,A,2.0,2,True,False,True,11
SIN-198571185-2,singapore,A,2.0,2,True,False,True,11
SIN-198571185-3,singapore,A,2.0,2,True,False,True,11
