cell_id,city,W,L,type,qp_last_pass,qp_first_fail,threshold_interval,n_tested_qp_levels,note
AMS-7370864-0,amsterdam,2.5,50.0,A,30.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-234078234-1,amsterdam,1.5,50.0,B,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-1442153735-0,amsterdam,1.5,50.0,B,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4449179-0,amsterdam,1.5,50.0,B,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4495979-0,amsterdam,2.5,50.0,B,30.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4496429-0,amsterdam,2.5,50.0,B,30.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-1386681638-13,amsterdam,1.5,50.0,B,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-1073074102-0,amsterdam,2.5,50.0,B,50.0,88.0,"[50, 88)",2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-1351790552-1,amsterdam,2.5,50.0,B,,50.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-244428233-0,amsterdam,1.2,50.0,C,14.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4480499-0,amsterdam,1.5,50.0,C,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4480498-0,amsterdam,2.5,50.0,C,30.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4480626-0,amsterdam,3.6,50.0,C,43.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4480644-0,amsterdam,3.6,50.0,C,43.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-7370881-0,amsterdam,1.5,50.0,C,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-4495978-0,amsterdam,2.5,50.0,D,30.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-7371505-3,amsterdam,4.0,50.0,D,100.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
AMS-7371505-0,amsterdam,4.0,50.0,D,80.0,140.0,"[80, 140)",2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082560-0,london,1.5,50.0,A,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4253167-0,london,1.5,50.0,A,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082523-0,london,1.5,50.0,A,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4244822-0,london,1.5,50.0,A,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4244822-1,london,1.5,50.0,A,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082553-0,london,2.5,50.0,A,62.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082554-0,london,2.5,50.0,A,62.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082521-1,london,1.5,50.0,A,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-1220560922-0,london,1.5,50.0,B,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082521-2,london,1.5,50.0,B,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4244822-2,london,1.5,50.0,B,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082521-0,london,1.5,50.0,B,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4260257-0,london,1.0,50.0,C,,15.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4260257-1,london,1.0,50.0,C,,15.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4253884-0,london,1.5,50.0,C,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4259165-1,london,1.5,50.0,C,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4260262-0,london,1.5,50.0,C,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4260262-1,london,1.5,50.0,C,,22.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4259243-0,london,1.2,50.0,C,,24.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4260255-0,london,1.5,50.0,C,,30.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-4082592-0,london,2.5,50.0,C,62.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-227726113-0,london,1.5,50.0,D,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
LON-227726725-0,london,1.5,50.0,D,,45.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-865245632-1,singapore,1.5,50.0,A,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-831704635-1,singapore,1.5,50.0,A,,8.0,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
SIN-22928582-0,singapore,1.8,50.0,A,22.0,,,2,PROXY interval from qr_star; NOT a base_pass point threshold.
