combo_id,cell_id,city,split,type,context,W,L,qp,x,ood_flags
DC-000,NYC-nyc-10517-0-3,nyc,train,C,residential,0.762,50.0,13.7,18.0,W<W_min
DC-001,NYC-nyc-10517-0-3,nyc,train,C,residential,0.762,50.0,18.3,24.0,W<W_min
DC-002,NYC-nyc-10517-0-3,nyc,train,C,residential,0.762,50.0,22.9,30.0,W<W_min
DC-003,NYC-nyc-53282-0-0,nyc,train,C,residential,0.853,50.0,15.4,18.0,W<W_min
DC-004,NYC-nyc-53282-0-0,nyc,train,C,residential,0.853,50.0,20.5,24.0,W<W_min
DC-005,NYC-nyc-53282-0-0,nyc,train,C,residential,0.853,50.0,25.6,30.0,W<W_min
DC-006,NYC-nyc-46079-0-1,nyc,train,A,residential,1.676,50.0,30.2,18.0,
DC-007,NYC-nyc-46079-0-1,nyc,train,A,residential,1.676,50.0,40.2,24.0,
DC-008,NYC-nyc-46079-0-1,nyc,train,A,residential,1.676,50.0,50.3,30.0,
DC-009,NYC-nyc-110605-0-2,nyc,train,A,residential,1.707,50.0,30.7,18.0,
DC-010,NYC-nyc-110605-0-2,nyc,train,A,residential,1.707,50.0,41.0,24.0,
DC-011,NYC-nyc-110605-0-2,nyc,train,A,residential,1.707,50.0,51.2,30.0,
DC-012,NYC-nyc-17655-0-0,nyc,train,A,residential,2.408,50.0,43.3,18.0,
DC-013,NYC-nyc-17655-0-0,nyc,train,A,residential,2.408,50.0,57.8,24.0,
DC-014,NYC-nyc-17655-0-0,nyc,train,A,residential,2.408,50.0,72.2,30.0,qp>60
DC-015,NYC-nyc-9648-0-0,nyc,train,A,residential,3.719,50.0,66.9,18.0,qp>60
DC-016,NYC-nyc-9648-0-0,nyc,train,A,residential,3.719,50.0,89.3,24.0,qp>60
DC-017,NYC-nyc-9648-0-0,nyc,train,A,residential,3.719,50.0,111.6,30.0,qp>60
DC-018,AMS-amsterdam-chain-77474-550,amsterdam,train,C,residential,0.643,50.0,11.6,18.0,W<W_min
DC-019,AMS-amsterdam-chain-77474-550,amsterdam,train,C,residential,0.643,50.0,15.4,24.0,W<W_min
DC-020,AMS-amsterdam-chain-77474-550,amsterdam,train,C,residential,0.643,50.0,19.3,30.0,W<W_min
DC-021,AMS-amsterdam-chain-75190-0,amsterdam,train,C,residential,0.91,50.0,16.4,18.0,W<W_min
DC-022,AMS-amsterdam-chain-75190-0,amsterdam,train,C,residential,0.91,50.0,21.8,24.0,W<W_min
DC-023,AMS-amsterdam-chain-75190-0,amsterdam,train,C,residential,0.91,50.0,27.3,30.0,W<W_min
DC-024,AMS-amsterdam-chain-173340-0,amsterdam,train,B,residential,1.96,50.0,35.3,18.0,
DC-025,AMS-amsterdam-chain-173340-0,amsterdam,train,B,residential,1.96,50.0,47.0,24.0,
DC-026,AMS-amsterdam-chain-173340-0,amsterdam,train,B,residential,1.96,50.0,58.8,30.0,
DC-027,AMS-amsterdam-chain-3511-0,amsterdam,train,B,residential,1.969,50.0,35.4,18.0,
DC-028,AMS-amsterdam-chain-3511-0,amsterdam,train,B,residential,1.969,50.0,47.3,24.0,
DC-029,AMS-amsterdam-chain-3511-0,amsterdam,train,B,residential,1.969,50.0,59.1,30.0,
DC-030,AMS-amsterdam-chain-22812-0,amsterdam,train,B,residential,2.796,50.0,50.3,18.0,
DC-031,AMS-amsterdam-chain-22812-0,amsterdam,train,B,residential,2.796,50.0,67.1,24.0,qp>60
DC-032,AMS-amsterdam-chain-22812-0,amsterdam,train,B,residential,2.796,50.0,83.9,30.0,qp>60
DC-033,AMS-amsterdam-chain-142287-0,amsterdam,train,B,residential,3.651,50.0,65.7,18.0,qp>60
DC-034,AMS-amsterdam-chain-142287-0,amsterdam,train,B,residential,3.651,50.0,87.6,24.0,qp>60
DC-035,AMS-amsterdam-chain-142287-0,amsterdam,train,B,residential,3.651,50.0,109.5,30.0,qp>60
DC-036,MEL-melbourne-RPSP1011231-0-5,melbourne,train,C,residential,0.209,50.0,3.8,18.0,W<W_min
DC-037,MEL-melbourne-RPSP1011231-0-5,melbourne,train,C,residential,0.209,50.0,5.0,24.0,W<W_min
DC-038,MEL-melbourne-RPSP1011231-0-5,melbourne,train,C,residential,0.209,50.0,6.3,30.0,W<W_min
DC-039,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,train,C,commercial,0.305,50.0,5.5,18.0,W<W_min
DC-040,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,train,C,commercial,0.305,50.0,7.3,24.0,W<W_min
DC-041,MEL-melbourne-RPSP03A13291L1-0-0,melbourne,train,C,commercial,0.305,50.0,9.2,30.0,W<W_min
DC-042,MEL-melbourne-1389612-0-2,melbourne,train,A,residential,1.697,50.0,30.5,18.0,
DC-043,MEL-melbourne-1389612-0-2,melbourne,train,A,residential,1.697,50.0,40.7,24.0,
DC-044,MEL-melbourne-1389612-0-2,melbourne,train,A,residential,1.697,50.0,50.9,30.0,
DC-045,MEL-melbourne-1465622-0-2,melbourne,train,A,residential,1.749,50.0,31.5,18.0,
DC-046,MEL-melbourne-1465622-0-2,melbourne,train,A,residential,1.749,50.0,42.0,24.0,
DC-047,MEL-melbourne-1465622-0-2,melbourne,train,A,residential,1.749,50.0,52.5,30.0,
DC-048,MEL-melbourne-1389823-0-3,melbourne,train,A,residential,2.722,50.0,49.0,18.0,
DC-049,MEL-melbourne-1389823-0-3,melbourne,train,A,residential,2.722,50.0,65.3,24.0,qp>60
DC-050,MEL-melbourne-1389823-0-3,melbourne,train,A,residential,2.722,50.0,81.7,30.0,qp>60
DC-051,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,train,A,commercial,3.609,50.0,65.0,18.0,qp>60
DC-052,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,train,A,commercial,3.609,50.0,86.6,24.0,qp>60
DC-053,MEL-melbourne-RPSP03A10530L1-0-0,melbourne,train,A,commercial,3.609,50.0,108.3,30.0,qp>60
DC-054,TPE-taipei-idx9524-0-2,taipei,train,C,residential,1.19,50.0,21.4,18.0,W<W_min
DC-055,TPE-taipei-idx9524-0-2,taipei,train,C,residential,1.19,50.0,28.6,24.0,W<W_min
DC-056,TPE-taipei-idx9524-0-2,taipei,train,C,residential,1.19,50.0,35.7,30.0,W<W_min
DC-057,TPE-taipei-idx5150-0-0,taipei,train,C,commercial,1.2,50.0,21.6,18.0,W<W_min
DC-058,TPE-taipei-idx5150-0-0,taipei,train,C,commercial,1.2,50.0,28.8,24.0,W<W_min
DC-059,TPE-taipei-idx5150-0-0,taipei,train,C,commercial,1.2,50.0,36.0,30.0,W<W_min
DC-060,TPE-taipei-idx12521-0-5,taipei,train,A,residential,1.75,50.0,31.5,18.0,
DC-061,TPE-taipei-idx12521-0-5,taipei,train,A,residential,1.75,50.0,42.0,24.0,
DC-062,TPE-taipei-idx12521-0-5,taipei,train,A,residential,1.75,50.0,52.5,30.0,
DC-063,TPE-taipei-idx1592-0-2,taipei,train,A,residential,1.96,50.0,35.3,18.0,
DC-064,TPE-taipei-idx1592-0-2,taipei,train,A,residential,1.96,50.0,47.0,24.0,
DC-065,TPE-taipei-idx1592-0-2,taipei,train,A,residential,1.96,50.0,58.8,30.0,
DC-066,TPE-taipei-idx15608-0-1,taipei,train,A,commercial,2.48,50.0,44.6,18.0,
DC-067,TPE-taipei-idx15608-0-1,taipei,train,A,commercial,2.48,50.0,59.5,24.0,
DC-068,TPE-taipei-idx15608-0-1,taipei,train,A,commercial,2.48,50.0,74.4,30.0,qp>60
DC-069,TPE-taipei-idx4344-0-0,taipei,train,A,residential,3.54,50.0,63.7,18.0,qp>60
DC-070,TPE-taipei-idx4344-0-0,taipei,train,A,residential,3.54,50.0,85.0,24.0,qp>60
DC-071,TPE-taipei-idx4344-0-0,taipei,train,A,residential,3.54,50.0,106.2,30.0,qp>60
