cell_id,city,split,W,L,context,type,sinuosity,orig_qp_lo,orig_qp_hi,orig_x_lo,orig_x_hi,geom_approx,rationale
AMS-amsterdam-chain-142287-0,amsterdam,train,3.651,50.0,residential,B,1.0464,18.3,43.8,5.01,12.0,chained,bin=xwide;type=B;ctx=residential;width-spread
AMS-amsterdam-chain-173340-0,amsterdam,train,1.96,50.0,residential,B,1.3994,9.8,23.5,5.0,11.99,chained,bin=mid;type=B;ctx=residential;width-spread
AMS-amsterdam-chain-22812-0,amsterdam,train,2.796,50.0,residential,B,1.0839,14.0,33.6,5.01,12.02,chained,bin=wide;type=B;ctx=residential;width-spread
AMS-amsterdam-chain-3511-0,amsterdam,train,1.969,50.0,residential,B,1.3121,9.8,23.6,4.98,11.99,chained,bin=mid;type=B;ctx=residential;width-spread
AMS-amsterdam-chain-75190-0,amsterdam,train,0.91,50.0,residential,C,1.0001,4.5,10.9,4.95,11.98,chained,bin=narrow;type=C;ctx=residential;width-spread
AMS-amsterdam-chain-77474-550,amsterdam,train,0.643,50.0,residential,C,1.0003,3.2,7.7,4.98,11.98,chained,bin=narrow;type=C;ctx=residential;width-spread
MEL-melbourne-1389612-0-2,melbourne,train,1.697,50.0,residential,A,1.0,8.5,20.4,5.01,12.02,chord,bin=mid;type=A;ctx=residential;width-spread
MEL-melbourne-1389823-0-3,melbourne,train,2.722,50.0,residential,A,1.0,13.6,32.7,5.0,12.01,chord,bin=wide;type=A;ctx=residential;width-spread
MEL-melbourne-1465622-0-2,melbourne,train,1.749,50.0,residential,A,1.0,8.7,21.0,4.97,12.01,chord,bin=mid;type=A;ctx=residential;width-spread
MEL-melbourne-RPSP03A10530L1-0-0,melbourne,train,3.609,50.0,commercial,A,1.0,54.1,90.2,14.99,24.99,chord,bin=xwide;type=A;ctx=commercial;width-spread
MEL-melbourne-RPSP03A13291L1-0-0,melbourne,train,0.305,50.0,commercial,C,1.0,4.6,7.6,15.08,24.92,chord,bin=narrow;type=C;ctx=commercial;width-spread
MEL-melbourne-RPSP1011231-0-5,melbourne,train,0.209,50.0,residential,C,1.0,1.0,2.5,4.78,11.96,chord,bin=narrow;type=C;ctx=residential;width-spread
NTP-newtaipei-idx11808-0-1,newtaipei,train,4.98,50.0,residential,A,1.0,24.9,59.8,5.0,12.01,chord,bin=xwide;type=A;ctx=residential;width-spread
NTP-newtaipei-idx12919-0-1,newtaipei,train,1.12,50.0,residential,C,1.0,5.6,13.4,5.0,11.96,chord,bin=narrow;type=C;ctx=residential;width-spread
NTP-newtaipei-idx13776-0-2,newtaipei,train,1.71,50.0,residential,A,1.0,8.6,20.5,5.03,11.99,chord,bin=mid;type=A;ctx=residential;width-spread
NTP-newtaipei-idx251-0-0,newtaipei,train,2.46,50.0,residential,A,1.0,12.3,29.5,5.0,11.99,chord,bin=wide;type=A;ctx=residential;width-spread
NTP-newtaipei-idx3916-0-1,newtaipei,train,1.4,50.0,MRT-frontage,C,1.0,42.0,63.0,30.0,45.0,chord,bin=narrow;type=C;ctx=MRT-frontage;width-spread
NTP-newtaipei-idx6919-0-0,newtaipei,train,1.74,50.0,residential,A,1.0,8.7,20.9,5.0,12.01,chord,bin=mid;type=A;ctx=residential;width-spread
NYC-nyc-10517-0-3,nyc,train,0.762,50.0,residential,C,1.0,3.8,9.1,4.99,11.94,exact,bin=narrow;type=C;ctx=residential;width-spread
NYC-nyc-110605-0-2,nyc,train,1.707,50.0,residential,A,1.0,8.5,20.5,4.98,12.01,exact,bin=mid;type=A;ctx=residential;width-spread
