cell_id,city,type,context,context_src,W_eff,q_p_peak,q_p_off,d_mrt_m,n_shop,n_amen_com,n_amen_tour,landuse
AMS-amsterdam-chain-138895-0,amsterdam,B,commercial,poi,3.48,"[52.2, 87.0]","[13.9, 24.4]",,0,0,0,commercial
AMS-amsterdam-chain-141619-0,amsterdam,B,residential,poi,2.098,"[10.5, 25.2]","[3.1, 6.3]",,0,0,0,
AMS-amsterdam-chain-142287-0,amsterdam,B,residential,poi,3.651,"[18.3, 43.8]","[5.5, 11.0]",,0,0,0,
AMS-amsterdam-chain-15655-200,amsterdam,C,residential,poi,1.319,"[6.6, 15.8]","[2.0, 4.0]",,0,0,0,
AMS-amsterdam-chain-158080-0,amsterdam,A,residential,poi,3.89,"[19.4, 46.7]","[5.8, 11.7]",,0,0,0,
AMS-amsterdam-chain-166482-0,amsterdam,B,residential,poi,2.267,"[11.3, 27.2]","[3.4, 6.8]",,0,0,0,
AMS-amsterdam-chain-173340-0,amsterdam,B,residential,poi,1.96,"[9.8, 23.5]","[2.9, 5.9]",,0,0,0,
AMS-amsterdam-chain-22812-0,amsterdam,B,residential,poi,2.796,"[14.0, 33.6]","[4.2, 8.4]",,0,0,0,
AMS-amsterdam-chain-32447-100,amsterdam,C,residential,poi,1.352,"[6.8, 16.2]","[2.0, 4.1]",,0,0,0,
AMS-amsterdam-chain-32674-0,amsterdam,C,residential,poi,1.323,"[6.6, 15.9]","[2.0, 4.0]",,0,0,0,
AMS-amsterdam-chain-32802-0,amsterdam,A,residential,poi,2.575,"[12.9, 30.9]","[3.9, 7.7]",,0,0,0,
AMS-amsterdam-chain-3511-0,amsterdam,B,residential,poi,1.969,"[9.8, 23.6]","[3.0, 5.9]",,0,0,0,
AMS-amsterdam-chain-44642-0,amsterdam,A,residential,poi,2.482,"[12.4, 29.8]","[3.7, 7.4]",,0,0,0,
AMS-amsterdam-chain-45268-50,amsterdam,A,residential,poi,2.166,"[10.8, 26.0]","[3.2, 6.5]",,0,0,0,
