model,param,estimate,se,ci95
A,c,32.64848680791532,7.376377277718245,
A,p,-0.8707138064419195,0.09402861575584852,"(np.float64(-1.0550098933233827), np.float64(-0.6864177195604564))"
A+,c,46.111832584466754,10.98391111234929,
A+,alpha,0.3306679565565247,0.21255911973776345,"(np.float64(-0.08594791812949165), np.float64(0.747283831242541))"
A+,p,-0.7892829591248456,0.09172791664280837,"(np.float64(-0.96906967574475), np.float64(-0.6094962425049412))"
L,note,"L has no variance under the frozen protocol (all cells 50 m; the simulator is length-insensitive by construction: per-minute flows + fixed [15,35] m measure zone). gamma cannot be estimated.",,
R,beta,0.2,,
R,x_crit,33.333333333333336,,
R,C_W,final,,
SVR,sv,47,,
