held_city,model,mae,rmse,medae,r2,over_rate,under_rate,over_mae,max_over,not_identifiable,reason
amsterdam,A,2.9444444444444446,5.602578771323871,2.0,0.5349103090308345,0.2777777777777778,0.2777777777777778,4.0,6.0,,
london,A,0.5,1.6352103973123033,0.0,0.7514168973243707,0.06521739130434782,0.06521739130434782,1.6666666666666667,2.0,,
singapore,A,3.625,5.192141497815071,3.0,0.43487051744496386,0.041666666666666664,0.6666666666666666,2.0,3.0,,
tokyo,A,0.32608695652173914,1.224744871391589,0.0,0.8304487179487179,0.06521739130434782,0.021739130434782608,4.666666666666667,6.0,,
amsterdam,A+,2.8333333333333335,5.5677643628300215,1.5,0.5406724821932845,0.25,0.2777777777777778,3.4444444444444446,6.0,,
london,A+,0.5,1.6352103973123033,0.0,0.7514168973243707,0.06521739130434782,0.06521739130434782,1.6666666666666667,2.0,,
singapore,A+,3.0,4.6696419087073,1.0,0.5428885689791825,0.18055555555555555,0.4583333333333333,1.6153846153846154,4.0,,
tokyo,A+,0.30434782608695654,1.06321906614239,0.0,0.8722222222222222,0.06521739130434782,0.021739130434782608,4.0,4.0,,
amsterdam,L,,,,,,,,,True,"L has no variance under the frozen protocol (all cells 50 m; the simulator is length-insensitive by construction: per-minute flows + fixed [15,35] m measure zone). gamma cannot be estimated."
london,L,,,,,,,,,True,"L has no variance under the frozen protocol (all cells 50 m; the simulator is length-insensitive by construction: per-minute flows + fixed [15,35] m measure zone). gamma cannot be estimated."
singapore,L,,,,,,,,,True,"L has no variance under the frozen protocol (all cells 50 m; the simulator is length-insensitive by construction: per-minute flows + fixed [15,35] m measure zone). gamma cannot be estimated."
tokyo,L,,,,,,,,,True,"L has no variance under the frozen protocol (all cells 50 m; the simulator is length-insensitive by construction: per-minute flows + fixed [15,35] m measure zone). gamma cannot be estimated."
amsterdam,R,2.8055555555555554,5.550275268448904,0.5,0.5435535687745092,0.2777777777777778,0.2222222222222222,4.2,8.0,,
london,R,0.2826086956521739,1.0934588121703732,0.0,0.8888449540881332,0.0,0.08695652173913043,0.0,0.0,,
singapore,R,4.902777777777778,6.389009660694249,4.0,0.14429904728013854,0.027777777777777776,0.7222222222222222,1.5,2.0,,
tokyo,R,0.10869565217391304,0.39009474880274697,0.0,0.9827991452991452,0.08695652173913043,0.0,1.25,2.0,,
amsterdam,SVR,2.888888888888889,5.562773089426212,1.0,0.5414956497879201,0.25,0.2777777777777778,3.5555555555555554,7.0,,
london,SVR,0.41304347826086957,1.5811388300841898,0.0,0.7675849040024604,0.0,0.08695652173913043,0.0,0.0,,
singapore,SVR,3.1527777777777777,4.7007682587234845,1.0,0.536774339647057,0.18055555555555555,0.5277777777777778,1.6153846153846154,5.0,,
tokyo,SVR,0.21739130434782608,0.7801894976054939,0.0,0.9311965811965812,0.06521739130434782,0.021739130434782608,2.0,2.0,,
