combo_id,cell_id,city,type,context,W,L,qp,x,sinuosity,qr_star,above_upper
AMS-7370864-0|qp12,AMS-7370864-0,amsterdam,A,residential,2.5,50.0,12,4.8,1.0,20.0,1
AMS-7370864-0|qp30,AMS-7370864-0,amsterdam,A,residential,2.5,50.0,30,12.0,1.0,12.0,0
AMS-234078234-1|qp8,AMS-234078234-1,amsterdam,B,residential,1.5,50.0,8,5.333,1.0492,0.0,0
AMS-1442153735-0|qp8,AMS-1442153735-0,amsterdam,B,residential,1.5,50.0,8,5.333,1.0491,0.0,0
AMS-4449179-0|qp8,AMS-4449179-0,amsterdam,B,residential,1.5,50.0,8,5.333,1.0489,0.0,0
AMS-4495979-0|qp12,AMS-4495979-0,amsterdam,B,residential,2.5,50.0,12,4.8,1.0288,15.0,0
AMS-4496429-0|qp12,AMS-4496429-0,amsterdam,B,residential,2.5,50.0,12,4.8,1.058,20.0,1
AMS-234078234-1|qp18,AMS-234078234-1,amsterdam,B,residential,1.5,50.0,18,12.0,1.0492,0.0,0
AMS-1442153735-0|qp18,AMS-1442153735-0,amsterdam,B,residential,1.5,50.0,18,12.0,1.0491,0.0,0
AMS-4449179-0|qp18,AMS-4449179-0,amsterdam,B,residential,1.5,50.0,18,12.0,1.0489,0.0,0
AMS-1386681638-13|qp30,AMS-1386681638-13,amsterdam,B,tourism/mixed,1.5,50.0,30,20.0,1.0501,0.0,0
AMS-4495979-0|qp30,AMS-4495979-0,amsterdam,B,residential,2.5,50.0,30,12.0,1.0288,8.0,0
AMS-4496429-0|qp30,AMS-4496429-0,amsterdam,B,residential,2.5,50.0,30,12.0,1.058,6.0,0
AMS-1073074102-0|qp50,AMS-1073074102-0,amsterdam,B,tourism/mixed,2.5,50.0,50,20.0,1.0502,4.0,0
AMS-1351790552-1|qp50,AMS-1351790552-1,amsterdam,B,tourism/mixed,2.5,50.0,50,20.0,1.0502,0.0,0
AMS-1386681638-13|qp52,AMS-1386681638-13,amsterdam,B,tourism/mixed,1.5,50.0,52,34.667,1.0501,0.0,0
AMS-1073074102-0|qp88,AMS-1073074102-0,amsterdam,B,tourism/mixed,2.5,50.0,88,35.2,1.0502,0.0,0
AMS-1351790552-1|qp88,AMS-1351790552-1,amsterdam,B,tourism/mixed,2.5,50.0,88,35.2,1.0502,0.0,0
AMS-244428233-0|qp6,AMS-244428233-0,amsterdam,C,residential,1.2,50.0,6,5.0,1.0077,20.0,1
AMS-4480499-0|qp8,AMS-4480499-0,amsterdam,C,residential,1.5,50.0,8,5.333,1.0171,0.0,0
AMS-4480498-0|qp12,AMS-4480498-0,amsterdam,C,residential,2.5,50.0,12,4.8,1.0,20.0,1
AMS-244428233-0|qp14,AMS-244428233-0,amsterdam,C,residential,1.2,50.0,14,11.667,1.0077,20.0,1
AMS-4480499-0|qp18,AMS-4480499-0,amsterdam,C,residential,1.5,50.0,18,12.0,1.0171,0.0,0
AMS-4480626-0|qp18,AMS-4480626-0,amsterdam,C,residential,3.6,50.0,18,5.0,1.0352,15.0,0
