city,in_domain,n,n_positive,n_over,over_pct,max_over,mae,zero_pct,mean_loss_all,mean_loss_positive,median_util_positive,positive_reference_zero_pct
amsterdam,False,46,7,1,2.1739130434782608,3.0,1.5434782608695652,86.95652173913044,1.4782608695652173,9.714285714285714,0.2727272727272727,28.57142857142857
amsterdam,True,12,12,0,0.0,0.0,6.583333333333333,8.333333333333332,6.583333333333333,6.583333333333333,0.3522727272727273,8.333333333333332
melbourne,False,37,13,2,5.405405405405405,2.0,2.027027027027027,70.27027027027027,1.945945945945946,5.538461538461538,0.3333333333333333,15.384615384615385
melbourne,True,21,17,0,0.0,0.0,4.0,38.095238095238095,4.0,4.9411764705882355,0.23076923076923078,23.52941176470588
newtaipei,False,28,10,5,17.857142857142858,7.0,1.0714285714285714,75.0,0.5357142857142857,1.5,0.2857142857142857,50.0
newtaipei,True,30,26,2,6.666666666666667,1.0,4.333333333333333,43.333333333333336,4.266666666666667,4.923076923076923,0.2153846153846154,34.61538461538461
nyc,False,32,14,1,3.125,2.0,2.96875,68.75,2.90625,6.642857142857143,0.3484848484848485,28.57142857142857
nyc,True,26,20,0,0.0,0.0,3.9615384615384617,57.692307692307686,3.9615384615384617,5.15,0.12698412698412698,45.0
seattle,False,30,8,1,3.3333333333333335,1.0,0.3,76.66666666666667,0.26666666666666666,1.0,0.7857142857142857,25.0
seattle,True,25,23,0,0.0,0.0,4.6,24.0,4.6,5.0,0.2,17.391304347826086
taipei,False,33,9,0,0.0,0.0,1.0,81.81818181818183,1.0,3.6666666666666665,0.3333333333333333,33.33333333333333
taipei,True,25,20,0,0.0,0.0,4.0,44.0,4.0,5.0,0.15476190476190477,30.0
taoyuan,False,30,4,2,6.666666666666667,7.0,0.8333333333333334,86.66666666666667,0.5666666666666667,4.25,0.8704545454545454,0.0
taoyuan,True,25,23,0,0.0,0.0,4.88,24.0,4.88,5.304347826086956,0.2,17.391304347826086
