cell_id,way_id,name,highway,type,context,W_eff,width_src,L,sinuosity,cum_turn_deg,max_turn_deg,n_barriers,junc_deg_max,lat0,lon0,evidence
SIN-1105987650-1,1105987650,,pedestrian,B,commercial,2.5,default:pedestrian,23.5,1.0426,103.0,95.1,0,1,1.313722,103.860293,"curve(sin=1.043,cum=103)"
SIN-1189801155-0,1189801155,,footway,C,residential,0.5,tag,41.8,1.2948,95.1,94.7,0,2,1.316148,103.858438,narrow_width=0.5
SIN-131164229-0,131164229,Kallang Park Connector,cycleway,C,residential,2.0,default:cycleway,23.6,1.0,0,0.0,0,2,1.316066,103.870084,bridge=yes
SIN-139715353-1,139715353,Geylang Bahru,secondary,B,residential,1.8,default:secondary,48.9,1.0243,34.2,18.6,0,3,1.324578,103.86844,"curve(sin=1.024,cum=34)"
SIN-1464509030-0,1464509030,,footway,D,MRT-frontage,3.0,tag,39.8,1.0137,47.4,12.1,0,4,1.327423,103.867661,junc(deg=4)
SIN-166571436-2,166571436,Whampoa Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0008,11.5,6.0,0,3,1.321207,103.863923,straight
SIN-166571436-3,166571436,Whampoa Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0003,2.7,2.7,0,3,1.321014,103.864329,straight
SIN-170969415-0,170969415,Kallang Bahru,secondary,A,residential,1.8,default:secondary,50.0,1.0011,5.9,5.9,0,2,1.318387,103.867175,straight
SIN-190681368-0,190681368,Whampoa Park Connector,cycleway,C,residential,2.0,default:cycleway,50.0,1.0,0,0.0,0,3,1.323799,103.858533,bridge=yes
SIN-197634752-1,197634752,Kallang Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0005,7.1,3.5,0,2,1.326002,103.865535,straight
SIN-198571185-1,198571185,Whampoa Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0,0,0.0,0,4,1.323323,103.858543,straight
SIN-198571185-2,198571185,Whampoa Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0,0.8,0.8,0,4,1.32304,103.858892,straight
SIN-198571185-3,198571185,Whampoa Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0,0,0.0,0,4,1.322757,103.859242,straight
SIN-200167221-1,200167221,Kallang Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0,0,0.0,0,4,1.327132,103.865758,straight
SIN-200171267-0,200171267,Kallang Park Connector,cycleway,B,residential,2.0,default:cycleway,50.0,1.0499,98.9,41.1,0,3,1.315685,103.870312,"curve(sin=1.050,cum=99)"
SIN-200171267-2,200171267,Kallang Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0025,11.5,6.5,0,3,1.315027,103.869839,straight
SIN-200171268-0,200171268,Kallang Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0065,20.7,13.7,0,2,1.313077,103.869482,straight
SIN-200171268-4,200171268,Kallang Park Connector,cycleway,A,residential,2.0,default:cycleway,50.0,1.0003,2.8,2.8,0,2,1.311575,103.870298,straight
SIN-22811726-0,22811726,Lavender Street,primary,D,MRT-frontage,1.8,default:primary,50.0,1.0,0.1,0.0,0,4,1.314183,103.860082,junc(deg=4)
SIN-22811727-0,22811727,Lavender Street,primary,D,MRT-frontage,1.8,default:primary,50.0,1.0,1.0,1.0,0,3,1.315765,103.85911,junc(deg=3)
SIN-22811728-0,22811728,Balestier Road,primary,D,MRT-frontage,1.8,default:primary,21.5,1.0,140.9,140.9,0,4,1.31602,103.858765,junc(deg=4)
SIN-22928582-0,22928582,Boon Keng Road,secondary,A,residential,1.8,default:secondary,50.0,1.0008,7.8,4.6,0,2,1.31314,103.868445,straight
SIN-22928582-1,22928582,Boon Keng Road,secondary,A,residential,1.8,default:secondary,50.0,1.0024,11.0,6.9,0,2,1.313072,103.868001,straight
SIN-22928582-2,22928582,Boon Keng Road,secondary,A,residential,1.8,default:secondary,50.0,1.0055,21.0,8.6,0,2,1.31308,103.867552,straight
SIN-546209379-0,546209379,,cycleway,D,MRT-frontage,3.0,tag,50.0,1.1495,87.3,12.5,0,4,1.327749,103.867797,junc(deg=4)
SIN-546209379-1,546209379,,cycleway,A,residential,3.0,tag,50.0,1.0,0.1,0.1,0,4,1.328088,103.867602,straight
SIN-546209379-2,546209379,,cycleway,A,residential,3.0,tag,50.0,1.0,2.3,1.4,0,4,1.328241,103.867179,straight
SIN-546225147-8,546225147,,footway,C,residential,1.5,default:footway,34.2,1.0183,29.5,14.3,1,3,1.318543,103.872276,barrier=lift_gate
SIN-546402626-0,546402626,,footway,C,residential,1.5,default:footway,18.2,1.0,77.8,77.8,1,3,1.31392,103.862429,barrier=gate
SIN-602848280-0,602848280,,path,B,residential,1.2,default:path,50.0,1.022,29.4,29.4,0,3,1.313349,103.862703,"curve(sin=1.022,cum=29)"
SIN-641077845-0,641077845,,service,C,residential,1.5,default:service,18.8,1.0,31.0,31.0,1,4,1.323086,103.870304,barrier=lift_gate
SIN-74587409-1,74587409,Bendemeer Road,primary,A,residential,1.8,default:primary,50.0,1.0,0.5,0.5,0,3,1.316279,103.862127,straight
SIN-74587409-2,74587409,Bendemeer Road,primary,A,residential,1.8,default:primary,50.0,1.0,0.1,0.1,0,3,1.315922,103.861854,straight
SIN-831704635-1,831704635,,footway,A,residential,1.5,default:footway,50.2,1.0,0.1,0.1,0,4,1.313467,103.870106,straight
SIN-865245632-1,865245632,,footway,A,residential,1.5,default:footway,50.3,1.0,0,0.0,0,3,1.328104,103.858296,straight
SIN-877712256-0,877712256,,footway,B,residential,1.5,default:footway,50.0,1.0499,44.7,20.0,0,3,1.327229,103.868695,"curve(sin=1.050,cum=45)"
