cell_id,way_id,name,highway,type,context,W_eff,width_src,L,sinuosity,cum_turn_deg,max_turn_deg,n_barriers,junc_deg_max,lat0,lon0,evidence
TYO-103063342-0,103063342,角筈地下道,footway,C,residential,3.6,tag,50.0,1.0,2.2,2.2,0,2,35.692413,139.700518,tunnel=yes
TYO-1083468017-0,1083468017,JR新宿駅;2階,footway,D,MRT-frontage,1.5,default:footway,27.7,1.0,0,0.0,0,8,35.688488,139.700825,junc(deg=8)
TYO-1218085161-0,1218085161,,footway,D,MRT-frontage,1.5,default:footway,50.0,1.0003,9.1,4.4,0,5,35.691388,139.703526,junc(deg=5)
TYO-1218085161-1,1218085161,,footway,D,MRT-frontage,1.5,default:footway,34.8,1.0,0,0.0,0,5,35.691597,139.703037,junc(deg=5)
TYO-1219088540-0,1219088540,,path,A,residential,1.2,default:path,34.7,1.0,0,0.0,0,1,35.694333,139.702017,straight
TYO-1323228545-3,1323228545,,pedestrian,B,commercial,2.5,default:pedestrian,50.0,1.0499,106.8,51.0,0,1,35.686942,139.704671,"curve(sin=1.050,cum=107)"
TYO-153756863-0,153756863,,path,A,residential,1.2,default:path,15.2,1.0,0,0.0,0,1,35.693832,139.7044,straight
TYO-153756866-0,153756866,,path,A,residential,1.2,default:path,15.7,1.0,0,0.0,0,1,35.693757,139.704652,straight
TYO-153756868-0,153756868,,path,A,residential,1.2,default:path,15.4,1.0,0,0.0,0,1,35.693794,139.704527,straight
TYO-153756871-0,153756871,,path,A,residential,1.2,default:path,15.9,1.0,0,0.0,0,1,35.693719,139.704779,straight
TYO-153756872-0,153756872,,path,A,residential,1.2,default:path,16.0,1.0,0,0.0,0,1,35.693913,139.704642,straight
TYO-154125407-0,154125407,四季の路,footway,C,residential,1.5,default:footway,36.1,1.0666,98.1,37.4,1,1,35.693428,139.703992,barrier=bollard
TYO-154999907-2,154999907,四季の路,footway,C,residential,1.5,default:footway,25.0,1.0024,109.9,101.1,1,3,35.694109,139.704339,barrier=bollard
TYO-184298559-10,184298559,,pedestrian,B,commercial,2.5,default:pedestrian,50.0,1.0504,41.9,40.0,0,1,35.687227,139.69513,"curve(sin=1.050,cum=42)"
TYO-285376873-0,285376873,,path,A,residential,1.2,default:path,50.0,1.0,0,0.0,0,2,35.685246,139.693147,straight
TYO-389335193-1,389335193,,footway,D,MRT-frontage,1.5,default:footway,30.8,1.0,0,0.0,0,4,35.69044,139.704705,junc(deg=4)
TYO-39433580-0,39433580,,path,A,residential,1.2,default:path,50.0,1.0,0,0.0,0,1,35.69473,139.694881,straight
TYO-39433580-1,39433580,,path,A,residential,1.2,default:path,46.0,1.0,0.4,0.4,0,1,35.694328,139.694633,straight
TYO-39433615-0,39433615,,path,A,residential,1.2,default:path,50.0,1.0005,6.2,3.6,0,1,35.696135,139.694058,straight
TYO-39433615-1,39433615,,path,A,residential,1.2,default:path,17.8,1.0,0,0.0,0,1,35.696331,139.69356,straight
TYO-666208842-0,666208842,,path,B,residential,1.2,default:path,15.9,1.0974,49.2,49.0,0,2,35.692696,139.694599,"curve(sin=1.097,cum=49)"
TYO-669243891-0,669243891,,path,C,residential,1.2,default:path,23.9,1.3385,259.7,170.6,1,2,35.697817,139.705468,barrier=gate
TYO-670992443-2,670992443,メトロプロムナード,pedestrian,D,MRT-frontage,2.5,default:pedestrian,19.8,1.0,0.0,0.0,0,5,35.692164,139.699875,junc(deg=5)
