cell_id,city,type,context,context_src,W_eff,q_p_peak,q_p_off,d_mrt_m,n_shop,n_amen_com,n_amen_tour,landuse
AMS-1073074102-0,amsterdam,B,tourism/mixed,poi,2.5,"[50.0, 87.5]","[15.0, 25.0]",201.0,29,16,3,
AMS-1351790552-1,amsterdam,B,tourism/mixed,poi,2.5,"[50.0, 87.5]","[15.0, 25.0]",431.0,35,11,3,
AMS-1386681638-13,amsterdam,B,tourism/mixed,poi,1.5,"[30.0, 52.5]","[9.0, 15.0]",134.0,10,15,12,
AMS-1442153735-0,amsterdam,B,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",695.0,0,0,0,
AMS-234078234-1,amsterdam,B,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",1344.0,0,3,0,residential
AMS-244428233-0,amsterdam,C,residential,poi,1.2,"[6.0, 14.4]","[1.8, 3.6]",1655.0,0,0,0,
AMS-4449179-0,amsterdam,B,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",1557.0,0,0,0,
AMS-4480498-0,amsterdam,C,residential,poi,2.5,"[12.5, 30.0]","[3.8, 7.5]",1133.0,0,2,0,
AMS-4480499-0,amsterdam,C,residential,poi,1.5,"[7.5, 18.0]","[2.2, 4.5]",1147.0,0,0,0,
AMS-4480626-0,amsterdam,C,residential,poi,3.6,"[18.0, 43.2]","[5.4, 10.8]",1634.0,1,0,0,
AMS-4480644-0,amsterdam,C,residential,poi,3.6,"[18.0, 43.2]","[5.4, 10.8]",1626.0,1,0,0,
AMS-4495978-0,amsterdam,D,residential,poi,2.5,"[12.5, 30.0]","[3.8, 7.5]",1485.0,0,1,0,
AMS-4495979-0,amsterdam,B,residential,poi,2.5,"[12.5, 30.0]","[3.8, 7.5]",1515.0,0,1,0,
AMS-4496429-0,amsterdam,B,residential,poi,2.5,"[12.5, 30.0]","[3.8, 7.5]",1116.0,0,2,0,
AMS-7370864-0,amsterdam,A,residential,poi,2.5,"[12.5, 30.0]","[3.8, 7.5]",127.0,2,3,0,
AMS-7370881-0,amsterdam,C,commercial,poi,1.5,"[22.5, 37.5]","[6.0, 10.5]",238.0,3,2,0,
AMS-7371505-0,amsterdam,D,tourism/mixed,poi,4.0,"[80.0, 140.0]","[24.0, 40.0]",391.0,13,19,6,
AMS-7371505-3,amsterdam,D,commercial,poi,4.0,"[60.0, 100.0]","[16.0, 28.0]",461.0,10,30,19,
LON-1220560922-0,london,B,commercial,poi,1.5,"[22.5, 37.5]","[6.0, 10.5]",71.0,16,20,11,retail
LON-227726113-0,london,D,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",60.0,4,4,0,
LON-227726725-0,london,D,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",60.0,4,4,0,
LON-4082521-0,london,B,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",35.0,18,3,3,retail
LON-4082521-1,london,A,MRT-frontage,poi,1.5,"[45.0, 67.5]","[12.0, 18.0]",58.0,15,7,3,retail
LON-4082521-2,london,B,tourism/mixed,poi,1.5,"[30.0, 52.5]","[9.0, 15.0]",69.0,3,10,4,retail
LON-4082523-0,london,A,tourism/mixed,poi,1.5,"[30.0, 52.5]","[9.0, 15.0]",68.0,12,8,4,retail
LON-4082553-0,london,A,commercial,poi,2.5,"[37.5, 62.5]","[10.0, 17.5]",205.0,17,56,12,retail
LON-4082554-0,london,A,commercial,poi,2.5,"[37.5, 62.5]","[10.0, 17.5]",83.0,31,44,4,retail
LON-4082560-0,london,A,commercial,poi,1.5,"[22.5, 37.5]","[6.0, 10.5]",202.0,19,52,6,retail
LON-4082592-0,london,C,commercial,poi,2.5,"[37.5, 62.5]","[10.0, 17.5]",83.0,14,30,11,retail
LON-4244822-0,london,A,tourism/mixed,poi,1.5,"[30.0, 52.5]","[9.0, 15.0]",164.0,9,13,3,retail
LON-4244822-1,london,A,tourism/mixed,poi,1.5,"[30.0, 52.5]","[9.0, 15.0]",117.0,6,17,3,retail
LON-4244822-2,london,B,tourism/mixed,poi,1.5,"[30.0, 52.5]","[9.0, 15.0]",67.0,7,19,3,retail
